cluster_id,title,regression_group,deepseek_rep1_pilot_final_decision,deepseek_rep2_pilot_final_decision,gptoss_rep1_pilot_final_decision,gptoss_rep2_pilot_final_decision,all_runs_decision_set,all_runs_stable,all_runs_include_any,all_runs_include_all,all_runs_uncertain_any,all_runs_include_count,all_runs_exclude_count,all_runs_uncertain_count
780,DNA sequence classification for diabetes mellitus using NuSVC and XGBoost: A comparative,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1192,"Decode-gLM: Tools to Interpret, Audit, and Steer Genomic Language Models",exclude_uncertain_unstable,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN|EXCLUDE|EXCLUDE|EXCLUDE,False,False,False,True,0,3,1
415,Effect of tokenization on transformers for biological sequences.,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
340,Evaluating Generative AI's Ability to Identify Cancer Subtypes in Publicly Available Structured Genetic Datasets.,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
219,Evaluating the representational power of pre-trained DNA language models for regulatory genomics.,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
90,Evaluating the role of pre-training dataset size and diversity on single-cell foundation model performance.,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
644,FKG-MM: A multi-modal fuzzy knowledge graph with data integration in healthcare,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
128,Genos: a human-centric genomic foundation model.,exclude_uncertain_unstable,EXCLUDE,UNCERTAIN,EXCLUDE,UNCERTAIN,EXCLUDE|UNCERTAIN|EXCLUDE|UNCERTAIN,False,False,False,True,0,2,2
1193,IMG-33. Unveiling glioblastoma heterogeneity with deep learning derived MRI subtyping: insights from the global ReSPOND consortium,exclude_uncertain_unstable,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN|EXCLUDE|EXCLUDE|EXCLUDE,False,False,False,True,0,3,1
980,Identification of Parkinson’s disease PACE subtypes and repurposing treatments through integrative analyses of multimodal data,exclude_uncertain_unstable,UNCERTAIN,UNCERTAIN,EXCLUDE,EXCLUDE,UNCERTAIN|UNCERTAIN|EXCLUDE|EXCLUDE,False,False,False,True,0,2,2
177,Integrating Imaging-Derived Clinical Endotypes with Plasma Proteomics and External Polygenic Risk Scores Enhances Coronary Microvascular Disease Risk Prediction.,exclude_uncertain_unstable,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN|EXCLUDE|EXCLUDE|EXCLUDE,False,False,False,True,0,3,1
331,Integrating Prior Knowledge Using Transformer for Gene Regulatory Network Inference.,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
945,Integration of multi-modal datasets to estimate human aging,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
487,Integrative Multiscale Biochemical Mapping of the Brain via Deep-Learning-Enhanced High-Throughput Mass Spectrometry.,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
776,Large language models enable tumor-type classification and localization of cancers of unknown primary from genomic data,exclude_uncertain_unstable,UNCERTAIN,UNCERTAIN,EXCLUDE,EXCLUDE,UNCERTAIN|UNCERTAIN|EXCLUDE|EXCLUDE,False,False,False,True,0,2,2
1153,Measuring performance metrics of machine learning algorithms for detecting and classifying transposable elements,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
69,Multi-modal integration of histopathology and transcriptomics reveals STAB1,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
111,Multi-modal single-cell platform for nanoparticle-enhanced time-series metabolic profiles of CD8,exclude_uncertain_unstable,EXCLUDE,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE|UNCERTAIN|EXCLUDE|EXCLUDE,False,False,False,True,0,3,1
782,Multi-omics approaches for image classification in disease diagnosis,exclude_uncertain_unstable,UNCERTAIN,UNCERTAIN,EXCLUDE,EXCLUDE,UNCERTAIN|UNCERTAIN|EXCLUDE|EXCLUDE,False,False,False,True,0,2,2
347,MultiSC: a deep learning pipeline for analyzing multiomics single-cell data.,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
496,Multimodal AI for prediction of distant metastasis in carcinoma patients.,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1129,Multimodal FACED imaging for large-scale single-cell morphological profiling,exclude_uncertain_unstable,EXCLUDE,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE|UNCERTAIN|EXCLUDE|EXCLUDE,False,False,False,True,0,3,1
612,Natural language processing and recurrent network models for identifying genomic mutation-associated cancer treatment change from patient progress notes.,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
765,Predicting breast cancer treatment response and prognosis using AI-based image classification,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
881,Rare Disease Phenotyping via Self-Supervised Multimodal Learning,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
751,Reaping the Fruits of LLM Pruning: Towards Small Language Models for Efficient Non-Coding Variant Effect Prediction,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
270,Stereopy: modeling comparative and spatiotemporal cellular heterogeneity via multi-sample spatial transcriptomics.,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
266,The Dissipation Theory of Aging: A Quantitative Analysis Using a Cellular Aging Map.,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1062,The Imageable Genome,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1027,The Theranostic Genome,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1106,Variational autoencoding of gene landscapes during mouse CNS development uncovers layered roles of Polycomb Repressor Complex 2,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1163,microCLIP super learning framework uncovers functional transcriptome-wide miRNA interactions,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
3469,ADAM-1: An AI Reasoning and Bioinformatics Model for Alzheimer's Disease Detection and Microbiome-Clinical Data Integration,include_decision_unstable,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN|EXCLUDE|EXCLUDE|EXCLUDE,False,False,False,True,0,3,1
3741,Abstract 4213: Generative genomics accurately predicts cancer gene expression,include_decision_unstable,EXCLUDE,UNCERTAIN,INCLUDE,INCLUDE,EXCLUDE|UNCERTAIN|INCLUDE|INCLUDE,False,True,False,True,2,1,1
2378,Adding layers of information to scRNA-seq data using pre-trained language models,include_decision_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
2191,BioVERSE: Representation Alignment of Biomedical Modalities to LLMs for Multi-Modal Reasoning,include_decision_unstable,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
3378,"CASSIA: a multi-agent large language model for reference free, interpretable, and automated cell annotation of single-cell RNA-sequencing data",include_decision_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1969,Cell2Text: Multimodal LLM for Generating Single-Cell Descriptions from RNA-Seq Data,include_decision_unstable,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
3934,Central-to-Local Adaptive Generative Diffusion Framework for Improving Gene Expression Prediction in Data-Limited Spatial Transcriptomics,include_decision_unstable,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
1245,CoC: Chain-of-Cancer Based on Cross-Modal Autoregressive Traction for Survival Prediction,include_decision_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1349,GALAX: Graph-Augmented Language Model for Explainable Reinforcement-Guided Subgraph Reasoning in Precision Medicine,include_decision_unstable,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
3256,GENEPT: ASimple BUT HARD-TO-BEAT FOUNDATION MODEL FOR GENES AND CELLS BUILT FROM CHATGPT,include_decision_unstable,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN|UNCERTAIN|UNCERTAIN|UNCERTAIN,True,False,False,True,0,0,4
2652,Generative single-cell transcriptomics via large language models,include_decision_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
3302,Gp-gpt: Large language model for gene-phenotype mapping,include_decision_unstable,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN|UNCERTAIN|UNCERTAIN|UNCERTAIN,True,False,False,True,0,0,4
2396,"Human Genome Book:Words,Sentences and Paragraphs",include_decision_unstable,EXCLUDE,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE|UNCERTAIN|EXCLUDE|EXCLUDE,False,False,False,True,0,3,1
4134,Libra-MIL: Multimodal Prototypes Stereoscopic Infused with Task-specific Language Priors for Few-shot Whole Slide Image Classification,include_decision_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1423,Med-PRSIMD: Enhanced Complex Disease Risk Prediction through Integrative Analysis of Multi-Type Data and Medical History Records,include_decision_unstable,EXCLUDE,EXCLUDE,INCLUDE,INCLUDE,EXCLUDE|EXCLUDE|INCLUDE|INCLUDE,False,True,False,False,2,2,0
1378,Modeling and predicting single-cell multi-gene perturbation responses with scLAMBDA,include_decision_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
2564,Synthetic Histopathological Images Generation with Artificial Intelligence to Accelerate Research and Improve Clinical Outcomes in Hematology,include_decision_unstable,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
3274,TEDDY: a family of foundation models for understanding single cell biology,include_decision_unstable,EXCLUDE,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE|UNCERTAIN|EXCLUDE|EXCLUDE,False,False,False,True,0,3,1
3624,The End of Aging Clocks: Training Foundation Models to Reason in Aging and Longevity,include_decision_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
62,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,include_decision_unstable,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
1272,Towards Applying Large Language Models to Complement Single-Cell Foundation Models,include_decision_unstable,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN,EXCLUDE|EXCLUDE|EXCLUDE|UNCERTAIN,False,False,False,True,0,3,1
3178,VCWorld: A Biological World Model for Virtual Cell Simulation,include_decision_unstable,EXCLUDE,UNCERTAIN,INCLUDE,INCLUDE,EXCLUDE|UNCERTAIN|INCLUDE|INCLUDE,False,True,False,True,2,1,1
3805,VGL: Vision-Gene-Language multimodal LLM integrating histopathology and gene expression for cell type classification in lung cancer.,include_decision_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
684,Variant Classification Using Proteomics-Informed Large Language Models Increases Power of Rare Variant Association Studies and Enhances Target Discovery,include_decision_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
181,scOTM: A Deep Learning Framework for Predicting Single-Cell Perturbation Responses with Large Language Models.,include_decision_unstable,EXCLUDE,EXCLUDE,INCLUDE,INCLUDE,EXCLUDE|EXCLUDE|INCLUDE|INCLUDE,False,True,False,False,2,2,0
241,sciLaMA: A Single-Cell Representation Learning Framework to Leverage Prior Knowledge from Large Language Models.,include_decision_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1438,A Multi-Modal AI Copilot for Single-Cell Analysis with Instruction Following,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
3668,A Quantum Edge Federated Graph Transformer for Generative and Causal Digital Twin Healthcare,stable_include,UNCERTAIN,UNCERTAIN,INCLUDE,INCLUDE,UNCERTAIN|UNCERTAIN|INCLUDE|INCLUDE,False,True,False,True,2,0,2
3577,A foundation model for nucleotide sequences.,stable_include,INCLUDE,INCLUDE,INCLUDE,UNCERTAIN,INCLUDE|INCLUDE|INCLUDE|UNCERTAIN,False,True,False,True,3,0,1
807,"A multimodal conversational agent for DNA, RNA and protein tasks",stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
3747,Abstract 2754: VGL: Vision-Gene-Language multimodal LLM integrating histopathology and gene expression for cell type classification in lung cancer.,stable_include,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1644,BioGPT: A Generative Transformer-Based Framework for Personalized Genomic Medicine and Rare Disease Diagnosis,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
1181,BioReason: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
3385,Biomedgpt: Open multimodal generative pre-trained transformer for biomedicine,stable_include,INCLUDE,UNCERTAIN,INCLUDE,INCLUDE,INCLUDE|UNCERTAIN|INCLUDE|INCLUDE,False,True,False,True,3,0,1
3764,CLOP-DiT: Structured-Metadata-Conditioned Single-Cell Latent Generation via Contrastive Language-Omics Pretraining and Diffusion Transformers,stable_include,UNCERTAIN,UNCERTAIN,INCLUDE,INCLUDE,UNCERTAIN|UNCERTAIN|INCLUDE|INCLUDE,False,True,False,True,2,0,2
1818,CaLMFlow: Volterra Flow Matching using Causal Language Models,stable_include,UNCERTAIN,INCLUDE,INCLUDE,INCLUDE,UNCERTAIN|INCLUDE|INCLUDE|INCLUDE,False,True,False,True,3,0,1
1745,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning,stable_include,EXCLUDE,INCLUDE,INCLUDE,INCLUDE,EXCLUDE|INCLUDE|INCLUDE|INCLUDE,False,True,False,False,3,1,0
3377,Cell2Sentence: teaching large language models the language of biology,stable_include,UNCERTAIN,EXCLUDE,INCLUDE,INCLUDE,UNCERTAIN|EXCLUDE|INCLUDE|INCLUDE,False,True,False,True,2,1,1
2246,CellTok: Early-Fusion Multimodal Large Language Model for Single-Cell Transcriptomics via Tokenization,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
3769,Cellwhisperer: Wenn Forscher mit Zellen chatten,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
2686,ChatCell: Facilitating Single-Cell Analysis with Natural Language,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
3707,Designing mRNA coding sequence via multimodal reverse translation language modeling with Pro2RNA,stable_include,EXCLUDE,EXCLUDE,INCLUDE,INCLUDE,EXCLUDE|EXCLUDE|INCLUDE|INCLUDE,False,True,False,False,2,2,0
1896,GeMM-GAN: A Multimodal Generative Model Conditioned on Histopathology Images and Clinical Descriptions for Gene Expression Profile Generation,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
1567,GeneChat: A Multi-Modal Large Language Model for Gene Function Prediction,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
1964,Generation of Multimodal Longitudinal Synthetic Data By Artificial Intelligence to Improve Personalized Medicine in Hematology,stable_include,EXCLUDE,EXCLUDE,INCLUDE,INCLUDE,EXCLUDE|EXCLUDE|INCLUDE|INCLUDE,False,True,False,False,2,2,0
2461,"Genolator: A Multimodal Large Language Model Fusing Natural Language, Genomic, and Structural Tokens for Protein Function Interpretation",stable_include,UNCERTAIN,INCLUDE,UNCERTAIN,EXCLUDE,UNCERTAIN|INCLUDE|UNCERTAIN|EXCLUDE,False,True,False,True,1,1,2
1039,Illuminating protein space with a programmable generative model,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
1236,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes,stable_include,INCLUDE,INCLUDE,INCLUDE,EXCLUDE,INCLUDE|INCLUDE|INCLUDE|EXCLUDE,False,True,False,False,3,1,0
3359,Multimodal Cell Context Instruction Tuning for Conditional DNA Regulatory Sequence Generation with Large Language Models,stable_include,UNCERTAIN,UNCERTAIN,INCLUDE,INCLUDE,UNCERTAIN|UNCERTAIN|INCLUDE|INCLUDE,False,True,False,True,2,0,2
882,Multimodal learning enables chat-based exploration of single-cell data,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
2249,Multimodal learning of transcriptomes and text enables interactive single-cell RNA-seq data exploration with natural-language chats,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
1904,Omni-DNA: A Unified Genomic Foundation Model for Cross-Modal and Multi-Task Learning,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
2485,OmniNA: A foundation model for nucleotide sequences,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
4097,OrgaCast: A Trustworthy Spatiotemporal Diffusion Model for Fluorescence Organoid Forecasting,stable_include,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
3823,Phenotype-Guided In Silico Molecular Generation Using Large Language Models,stable_include,EXCLUDE,EXCLUDE,INCLUDE,INCLUDE,EXCLUDE|EXCLUDE|INCLUDE|INCLUDE,False,True,False,False,2,2,0
