run_label,summary_path,server_info_path,run_started_at_utc,model,input_csv,num_records_in_this_job_or_repeat,max_concurrent,pipeline_mode,request_temperature,request_top_p,request_n,request_seed,request_max_tokens,enable_thinking,reasoning_effort,response_format_json_object,server_seed,server_model_name,served_model_name,node_name,server_max_tokens_env,max_num_seqs_env,request_timeout,pipeline_seconds,decision_counts_json
deepseek_v4_review_pipeline_11157_smoke35_foundation_metadata_thinking_high_mtp32k_s4_c4_mt16000,runs/deepseek_v4_review_pipeline_11157_smoke35_foundation_metadata_thinking_high_mtp32k_s4_c4_mt16000/guideline_pilot_summary.json,,2026-05-06T00:43:24Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/data/pilot_smoke_input.csv,35,4,streaming,0.7,1.0,1,0,16000.0,True,high,False,,,,,,,,,"{""EXCLUDE"": 29, ""INCLUDE"": 4, ""UNCERTAIN"": 2}"
deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z,runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/job_11544/guideline_pilot_summary.json,runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/job_11544/server_info.env,2026-05-11T02:34:09Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/job_11544/remaining_input.csv,440,72,streaming,0.7,1.0,1,0,16000.0,True,high,False,0,/valhalla/projects/ehpc-aif-2026pg01-346/models/deepseek-v4-flash-lfs,deepseek-v4-flash,dgx2,16000,,1800,6600,"{""EXCLUDE"": 302, ""INCLUDE"": 4, ""UNCERTAIN"": 134}"
deepseek_v4_review_pipeline_all4027_current_rep2_watchdog_20260510T013948Z,runs/deepseek_v4_review_pipeline_all4027_current_rep2_watchdog_20260510T013948Z/job_11535/guideline_pilot_summary.json,runs/deepseek_v4_review_pipeline_all4027_current_rep2_watchdog_20260510T013948Z/job_11535/server_info.env,2026-05-10T22:40:44Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/deepseek_v4_review_pipeline_all4027_current_rep2_watchdog_20260510T013948Z/job_11535/remaining_input.csv,466,72,streaming,0.7,1.0,1,0,16000.0,True,high,False,0,/valhalla/projects/ehpc-aif-2026pg01-346/models/deepseek-v4-flash-lfs,deepseek-v4-flash,dgx1,16000,,1800,6600,"{""EXCLUDE"": 337, ""INCLUDE"": 3, ""UNCERTAIN"": 126}"
deepseek_v4_review_pipeline_all4027_foundation_metadata_replicate2_nondeterminism,runs/deepseek_v4_review_pipeline_all4027_foundation_metadata_replicate2_nondeterminism/job_11394/guideline_pilot_summary.json,runs/deepseek_v4_review_pipeline_all4027_foundation_metadata_replicate2_nondeterminism/job_11394/server_info.env,2026-05-08T14:53:13Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/deepseek_v4_review_pipeline_all4027_foundation_metadata_replicate2_nondeterminism/job_11394/remaining_input.csv,431,48,streaming,0.7,1.0,1,0,16000.0,True,high,False,0,/valhalla/projects/ehpc-aif-2026pg01-346/models/deepseek-v4-flash-lfs,deepseek-v4-flash,dgx2,16000,,1800,,"{""EXCLUDE"": 284, ""INCLUDE"": 4, ""UNCERTAIN"": 143}"
deepseek_v4_review_pipeline_all4027_foundation_metadata_rerun_watchdog,runs/deepseek_v4_review_pipeline_all4027_foundation_metadata_rerun_watchdog/job_11313/guideline_pilot_summary.json,runs/deepseek_v4_review_pipeline_all4027_foundation_metadata_rerun_watchdog/job_11313/server_info.env,2026-05-07T16:01:09Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/deepseek_v4_review_pipeline_all4027_foundation_metadata_rerun_watchdog/job_11313/remaining_input.csv,346,48,streaming,0.7,1.0,1,0,16000.0,True,high,False,0,/valhalla/projects/ehpc-aif-2026pg01-346/models/deepseek-v4-flash-lfs,deepseek-v4-flash,dgx2,16000,,1800,,"{""EXCLUDE"": 215, ""INCLUDE"": 2, ""UNCERTAIN"": 129}"
gpt_oss_120b_review_pipeline_all4027_current_rep2_watchdog_20260511T1642Z,runs/gpt_oss_120b_review_pipeline_all4027_current_rep2_watchdog_20260511T1642Z/job_11584/guideline_pilot_summary.json,runs/gpt_oss_120b_review_pipeline_all4027_current_rep2_watchdog_20260511T1642Z/job_11584/server_info.env,2026-05-11T20:13:20Z,gpt-oss-120b,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/gpt_oss_120b_review_pipeline_all4027_current_rep2_watchdog_20260511T1642Z/job_11584/remaining_input.csv,1202,24,streaming,0.7,1.0,1,0,16000.0,False,,True,0,openai/gpt-oss-120b,gpt-oss-120b,dgx1,16000,,1800,6600,"{""EXCLUDE"": 1048, ""INCLUDE"": 36, ""UNCERTAIN"": 118}"
gpt_oss_120b_review_pipeline_all4027_current_watchdog_20260511T1116Z,runs/gpt_oss_120b_review_pipeline_all4027_current_watchdog_20260511T1116Z/job_11561/guideline_pilot_summary.json,runs/gpt_oss_120b_review_pipeline_all4027_current_watchdog_20260511T1116Z/job_11561/server_info.env,2026-05-11T14:06:57Z,gpt-oss-120b,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/gpt_oss_120b_review_pipeline_all4027_current_watchdog_20260511T1116Z/job_11561/remaining_input.csv,1129,24,streaming,0.7,1.0,1,0,16000.0,False,,True,0,openai/gpt-oss-120b,gpt-oss-120b,dgx1,16000,,1800,6600,"{""EXCLUDE"": 1006, ""INCLUDE"": 33, ""UNCERTAIN"": 90}"
nemotron3_super_120b_fp8_review_pipeline_all4027_current_rep2_watchdog_20260511T2040Z,runs/nemotron3_super_120b_fp8_review_pipeline_all4027_current_rep2_watchdog_20260511T2040Z/job_11609/guideline_pilot_summary.json,runs/nemotron3_super_120b_fp8_review_pipeline_all4027_current_rep2_watchdog_20260511T2040Z/job_11609/server_info.env,2026-05-12T01:45:47Z,nemotron3-super-120b-a12b-fp8,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/nemotron3_super_120b_fp8_review_pipeline_all4027_current_rep2_watchdog_20260511T2040Z/job_11609/remaining_input.csv,1805,48,streaming,0.7,1.0,1,0,16000.0,False,,True,0,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,nemotron3-super-120b-a12b-fp8,dgx2,16000,8,1800,6000,"{""EXCLUDE"": 1496, ""INCLUDE"": 45, ""UNCERTAIN"": 264}"
nemotron3_super_120b_fp8_review_pipeline_all4027_current_watchdog_20260511T1116Z,runs/nemotron3_super_120b_fp8_review_pipeline_all4027_current_watchdog_20260511T1116Z/job_11583/guideline_pilot_summary.json,runs/nemotron3_super_120b_fp8_review_pipeline_all4027_current_watchdog_20260511T1116Z/job_11583/server_info.env,2026-05-11T19:20:38Z,nemotron3-super-120b-a12b-fp8,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/nemotron3_super_120b_fp8_review_pipeline_all4027_current_watchdog_20260511T1116Z/job_11583/remaining_input.csv,215,48,streaming,0.7,1.0,1,0,16000.0,False,,True,0,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,nemotron3-super-120b-a12b-fp8,dgx2,16000,8,1800,6000,"{""EXCLUDE"": 151, ""INCLUDE"": 4, ""UNCERTAIN"": 60}"
prompt_iter1_current_highsignal25_deepseekv4_3gpu_11472_20260509T125610Z,runs/prompt_iter1_current_highsignal25_deepseekv4_3gpu_11472_20260509T125610Z/guideline_pilot_summary.json,,2026-05-09T13:12:35Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/prompt_regression_highsignal_25.csv,25,9,streaming,0.7,1.0,1,0,4000.0,True,high,False,,,,,,,,,"{""EXCLUDE"": 17, ""INCLUDE"": 3, ""UNCERTAIN"": 5}"
prompt_iter2_wrapper_relax_highsignal25_deepseekv4_3gpu_11472_20260509T131343Z,runs/prompt_iter2_wrapper_relax_highsignal25_deepseekv4_3gpu_11472_20260509T131343Z/guideline_pilot_summary.json,,2026-05-09T13:26:55Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/prompt_regression_highsignal_25.csv,25,9,streaming,0.7,1.0,1,0,4000.0,True,high,False,,,,,,,,,"{""EXCLUDE"": 13, ""INCLUDE"": 8, ""UNCERTAIN"": 4}"
prompt_iter3_bridge_thin_highsignal25_deepseekv4_3gpu_11472_20260509T132756Z,runs/prompt_iter3_bridge_thin_highsignal25_deepseekv4_3gpu_11472_20260509T132756Z/guideline_pilot_summary.json,,2026-05-09T13:43:05Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/prompt_regression_highsignal_25.csv,25,9,streaming,0.7,1.0,1,0,4000.0,True,high,False,,,,,,,,,"{""EXCLUDE"": 13, ""INCLUDE"": 8, ""UNCERTAIN"": 4}"
prompt_iter3_repeat2_highsignal25_deepseekv4_3gpu_11472_20260509T134453Z,runs/prompt_iter3_repeat2_highsignal25_deepseekv4_3gpu_11472_20260509T134453Z/guideline_pilot_summary.json,,2026-05-09T13:59:43Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/prompt_regression_highsignal_25.csv,25,9,streaming,0.7,1.0,1,0,4000.0,True,high,False,,,,,,,,,"{""EXCLUDE"": 14, ""INCLUDE"": 7, ""UNCERTAIN"": 4}"
prompt_iter4_repeat2_highsignal25_deepseekv4_3gpu_11472_20260509T141758Z,runs/prompt_iter4_repeat2_highsignal25_deepseekv4_3gpu_11472_20260509T141758Z/guideline_pilot_summary.json,,2026-05-09T14:33:21Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/prompt_regression_highsignal_25.csv,25,9,streaming,0.7,1.0,1,0,4000.0,True,high,False,,,,,,,,,"{""EXCLUDE"": 15, ""INCLUDE"": 8, ""UNCERTAIN"": 2}"
prompt_iter4_text_conditioning_highsignal25_deepseekv4_3gpu_11472_20260509T140133Z,runs/prompt_iter4_text_conditioning_highsignal25_deepseekv4_3gpu_11472_20260509T140133Z/guideline_pilot_summary.json,,2026-05-09T14:17:02Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/prompt_regression_highsignal_25.csv,25,9,streaming,0.7,1.0,1,0,4000.0,True,high,False,,,,,,,,,"{""EXCLUDE"": 14, ""INCLUDE"": 9, ""UNCERTAIN"": 2}"
prompt_iter5_ambiguous_tiebreak_unstable3_deepseekv4_3gpu_11472_20260509T143515Z,runs/prompt_iter5_ambiguous_tiebreak_unstable3_deepseekv4_3gpu_11472_20260509T143515Z/guideline_pilot_summary.json,,2026-05-09T14:40:59Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/prompt_regression_iter5_unstable3.csv,3,3,streaming,0.7,1.0,1,0,4000.0,True,high,False,,,,,,,,,"{""INCLUDE"": 1, ""UNCERTAIN"": 2}"
prompt_regression_116_deepseek_v4_iter5_3repeats_20260509T213855Z_rep1,runs/prompt_regression_116_deepseek_v4_iter5_3repeats_20260509T213855Z_rep1/repeat_1/guideline_pilot_summary.json,runs/prompt_regression_116_deepseek_v4_iter5_3repeats_20260509T213855Z_rep1/server_info.env,2026-05-09T23:48:03Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/protocol/screening_prompt_regression_cases.csv,116,12,streaming,0.7,1.0,1,0,4000.0,True,high,False,0,/valhalla/projects/ehpc-aif-2026pg01-346/models/deepseek-v4-flash-lfs,deepseek-v4-flash,dgx1,4000,,900,,"{""EXCLUDE"": 62, ""INCLUDE"": 34, ""UNCERTAIN"": 20}"
prompt_regression_116_deepseek_v4_iter5_3repeats_20260509T213855Z_rep2,runs/prompt_regression_116_deepseek_v4_iter5_3repeats_20260509T213855Z_rep2/repeat_1/guideline_pilot_summary.json,runs/prompt_regression_116_deepseek_v4_iter5_3repeats_20260509T213855Z_rep2/server_info.env,2026-05-10T00:40:35Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/protocol/screening_prompt_regression_cases.csv,116,12,streaming,0.7,1.0,1,0,4000.0,True,high,False,0,/valhalla/projects/ehpc-aif-2026pg01-346/models/deepseek-v4-flash-lfs,deepseek-v4-flash,dgx1,4000,,900,,"{""EXCLUDE"": 61, ""INCLUDE"": 37, ""UNCERTAIN"": 18}"
prompt_regression_116_deepseek_v4_iter5_3repeats_20260509T213855Z_rep3,runs/prompt_regression_116_deepseek_v4_iter5_3repeats_20260509T213855Z_rep3/repeat_1/guideline_pilot_summary.json,runs/prompt_regression_116_deepseek_v4_iter5_3repeats_20260509T213855Z_rep3/server_info.env,2026-05-10T01:30:28Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/protocol/screening_prompt_regression_cases.csv,116,12,streaming,0.7,1.0,1,0,4000.0,True,high,False,0,/valhalla/projects/ehpc-aif-2026pg01-346/models/deepseek-v4-flash-lfs,deepseek-v4-flash,dgx1,4000,,900,,"{""EXCLUDE"": 63, ""INCLUDE"": 36, ""UNCERTAIN"": 17}"
prompt_regression_116_gpt_oss_120b_2repeats_20260509T214053Z_rep1,runs/prompt_regression_116_gpt_oss_120b_2repeats_20260509T214053Z_rep1/repeat_1/guideline_pilot_summary.json,runs/prompt_regression_116_gpt_oss_120b_2repeats_20260509T214053Z_rep1/server_info.env,2026-05-10T00:00:49Z,gpt-oss-120b,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/protocol/screening_prompt_regression_cases.csv,116,6,streaming,0.7,1.0,1,0,4000.0,False,,True,not_recorded_explicitly,openai/gpt-oss-120b,gpt-oss-120b,dgx2,4000,,900,,"{""EXCLUDE"": 63, ""INCLUDE"": 49, ""UNCERTAIN"": 4}"
prompt_regression_116_gpt_oss_120b_2repeats_20260509T214053Z_rep2,runs/prompt_regression_116_gpt_oss_120b_2repeats_20260509T214053Z_rep2/repeat_1/guideline_pilot_summary.json,runs/prompt_regression_116_gpt_oss_120b_2repeats_20260509T214053Z_rep2/server_info.env,2026-05-10T00:10:49Z,gpt-oss-120b,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/protocol/screening_prompt_regression_cases.csv,116,6,streaming,0.7,1.0,1,0,4000.0,False,,True,not_recorded_explicitly,openai/gpt-oss-120b,gpt-oss-120b,dgx2,4000,,900,,"{""EXCLUDE"": 64, ""INCLUDE"": 47, ""UNCERTAIN"": 5}"
