record_id,source_corpus,title,section_index,section_type,heading,heading_level,line_start,line_end,original_chars,markdown
full_2026-07-06__rec_000090,include,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,7,data_representation,Dataset interpretation,4,1621,1734,3166,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000090.md
full_2026-07-06__rec_000099,include,Semantic design of functional de novo genes from a genomic language model.,1,discussion_conclusion,Discussion,3,151,158,2724,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000099.md
full_2026-07-06__rec_000099,include,Semantic design of functional de novo genes from a genomic language model.,2,data_representation,Methods,5,253,280,8114,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000099.md
full_2026-07-06__rec_000099,include,Semantic design of functional de novo genes from a genomic language model.,3,data_representation,Analysis of species tag-prompting methods,7,285,295,1942,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000099.md
full_2026-07-06__rec_000160,include,PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms.,1,abstract,Abstract,3,81,150,1706,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000160.md
full_2026-07-06__rec_000160,include,PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms.,2,introduction,Introduction,3,151,333,11062,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000160.md
full_2026-07-06__rec_000160,include,PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms.,3,data_representation,PlantCAD2 model architecture and pre-training 562,6,1210,1279,2191,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000160.md
full_2026-07-06__rec_000160,include,PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms.,4,data_representation,Methods,3,1204,1577,18101,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000160.md
full_2026-07-06__rec_000184,include,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction.,1,abstract,Abstract,5,17,24,1719,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000184.md
full_2026-07-06__rec_000184,include,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction.,2,introduction,Introduction,2,25,44,7556,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000184.md
full_2026-07-06__rec_000184,include,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction.,3,discussion_conclusion,Discussion,2,141,148,3819,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000184.md
full_2026-07-06__rec_000184,include,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction.,4,data_representation,In vitro TF-DNA binding affinity prediction on the DREAM5 PBM datasets,2,105,108,2817,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000184.md
full_2026-07-06__rec_000184,include,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction.,5,data_representation,TF-DNA binding affinity prediction using TRAFICA fine-tuned by HT-SELEX datasets,2,109,122,6189,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000184.md
full_2026-07-06__rec_000184,include,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction.,6,data_representation,Model architecture,3,101,104,1139,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000184.md
full_2026-07-06__rec_000246,include,Cross-species modeling of plant genomes at single-nucleotide resolution using a pretrained DNA language model.,1,discussion_conclusion,Discussion,3,137,156,7003,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000246.md
full_2026-07-06__rec_000246,include,Cross-species modeling of plant genomes at single-nucleotide resolution using a pretrained DNA language model.,2,data_representation,Methods,3,157,281,31847,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000246.md
full_2026-07-06__rec_000313,include,GENA-LM: a family of open-source foundational DNA language models for long sequences.,1,abstract,Abstract,4,31,34,1540,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000313.md
full_2026-07-06__rec_000313,include,GENA-LM: a family of open-source foundational DNA language models for long sequences.,2,introduction,Introduction,2,47,58,5511,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000313.md
full_2026-07-06__rec_000313,include,GENA-LM: a family of open-source foundational DNA language models for long sequences.,3,discussion_conclusion,Discussion,2,418,441,8304,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000313.md
full_2026-07-06__rec_000313,include,GENA-LM: a family of open-source foundational DNA language models for long sequences.,4,data_representation,Genomic datasets for language model pre-training,4,63,101,4945,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000313.md
full_2026-07-06__rec_000313,include,GENA-LM: a family of open-source foundational DNA language models for long sequences.,5,data_representation,Downstream task datasets,4,102,133,5704,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000313.md
full_2026-07-06__rec_000313,include,GENA-LM: a family of open-source foundational DNA language models for long sequences.,6,data_representation,Nucleotide Transformer dataset,5,126,129,109,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000313.md
full_2026-07-06__rec_000313,include,GENA-LM: a family of open-source foundational DNA language models for long sequences.,7,data_representation,HyenaDNA species classification dataset,5,130,133,706,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000313.md
full_2026-07-06__rec_000323,include,L2G: Repurposing Language Models for Genomics Tasks.,1,abstract,Abstract,4,11,16,1949,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000323.md
full_2026-07-06__rec_000323,include,L2G: Repurposing Language Models for Genomics Tasks.,2,introduction,Introduction,3,17,32,4580,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000323.md
full_2026-07-06__rec_000323,include,L2G: Repurposing Language Models for Genomics Tasks.,3,discussion_conclusion,Discussion,3,187,202,4793,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000323.md
full_2026-07-06__rec_000323,include,L2G: Repurposing Language Models for Genomics Tasks.,4,data_representation,Architecture A,4,81,86,1030,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000323.md
full_2026-07-06__rec_000323,include,L2G: Repurposing Language Models for Genomics Tasks.,5,data_representation,Neural Architecture Search,4,101,110,2065,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000323.md
full_2026-07-06__rec_000323,include,L2G: Repurposing Language Models for Genomics Tasks.,6,data_representation,Methods,3,33,126,15685,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000323.md
full_2026-07-06__rec_000329,include,RNA language models predict mutations that improve RNA function.,1,discussion_conclusion,Discussion,3,131,140,8995,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000329.md
full_2026-07-06__rec_000329,include,RNA language models predict mutations that improve RNA function.,2,data_representation,Building RNA sequence datasets from GTDB genomes,4,39,44,2784,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000329.md
full_2026-07-06__rec_000329,include,RNA language models predict mutations that improve RNA function.,3,data_representation,Methods,3,141,230,32626,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000329.md
full_2026-07-06__rec_000347,include,Protein Set Transformer: A protein-based genome language model to power high diversity viromics.,1,abstract,Abstract,7,55,58,1120,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000347.md
full_2026-07-06__rec_000347,include,Protein Set Transformer: A protein-based genome language model to power high diversity viromics.,2,introduction,Introduction,7,59,96,4327,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000347.md
full_2026-07-06__rec_000347,include,Protein Set Transformer: A protein-based genome language model to power high diversity viromics.,3,discussion_conclusion,Discussion,7,377,458,7144,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000347.md
full_2026-07-06__rec_000347,include,Protein Set Transformer: A protein-based genome language model to power high diversity viromics.,4,data_representation,Online Methods Viral genome datasets,7,477,484,2713,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000347.md
full_2026-07-06__rec_000347,include,Protein Set Transformer: A protein-based genome language model to power high diversity viromics.,5,data_representation,Host prediction training and test datasets,7,1340,1347,2096,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000347.md
full_2026-07-06__rec_000347,include,Protein Set Transformer: A protein-based genome language model to power high diversity viromics.,6,data_representation,The Protein Set Transformer model architecture,7,489,623,6651,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000347.md
full_2026-07-06__rec_000401,include,A 5' UTR Language Model for Decoding Untranslated Regions of mRNA and Function Predictions.,1,abstract,Abstract,2,25,56,5907,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000401.md
full_2026-07-06__rec_000401,include,A 5' UTR Language Model for Decoding Untranslated Regions of mRNA and Function Predictions.,2,discussion_conclusion,Discussion,2,113,126,3338,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000401.md
full_2026-07-06__rec_000401,include,A 5' UTR Language Model for Decoding Untranslated Regions of mRNA and Function Predictions.,3,data_representation,Datasets,3,123,126,402,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000401.md
full_2026-07-06__rec_000401,include,A 5' UTR Language Model for Decoding Untranslated Regions of mRNA and Function Predictions.,4,data_representation,Architecture and pre-training of UTR-LM,3,145,166,3305,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000401.md
full_2026-07-06__rec_000401,include,A 5' UTR Language Model for Decoding Untranslated Regions of mRNA and Function Predictions.,5,data_representation,Methods,2,127,228,16094,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000401.md
full_2026-07-06__rec_000486,include,HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution,1,abstract,Abstract,6,9,12,2291,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000486.md
full_2026-07-06__rec_000486,include,HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution,2,introduction,Introduction,2,13,46,8085,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000486.md
full_2026-07-06__rec_000486,include,HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution,3,discussion_conclusion,Conclusion,2,243,379,19923,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000486.md
full_2026-07-06__rec_000534,include,Deciphering microbial gene function using natural language processing.,1,discussion_conclusion,Discussion,3,109,122,6282,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000534.md
full_2026-07-06__rec_000534,include,Deciphering microbial gene function using natural language processing.,2,data_representation,Genomic corpus compilation,4,35,38,1629,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000534.md
full_2026-07-06__rec_000534,include,Deciphering microbial gene function using natural language processing.,3,data_representation,Dataset compilation and initial gene annotation,4,125,130,2141,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000534.md
full_2026-07-06__rec_000534,include,Deciphering microbial gene function using natural language processing.,4,data_representation,Corpus generation,4,131,138,2522,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000534.md
full_2026-07-06__rec_000534,include,Deciphering microbial gene function using natural language processing.,5,data_representation,Methods,3,123,194,15800,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000534.md
full_2026-07-06__rec_000607,include,Modeling aspects of the language of life through transfer-learning protein sequences.,1,abstract,Abstract,2,11,131,23199,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000607.md
full_2026-07-06__rec_000607,include,Modeling aspects of the language of life through transfer-learning protein sequences.,2,introduction,Background,3,33,46,7150,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000607.md
full_2026-07-06__rec_000607,include,Modeling aspects of the language of life through transfer-learning protein sequences.,3,discussion_conclusion,Discussion,2,158,189,12100,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000607.md
full_2026-07-06__rec_000607,include,Modeling aspects of the language of life through transfer-learning protein sequences.,4,discussion_conclusion,Conclusion,3,184,189,1882,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000607.md
full_2026-07-06__rec_000607,include,Modeling aspects of the language of life through transfer-learning protein sequences.,5,data_representation,Methods,2,190,237,20476,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000607.md
full_2026-07-06__rec_000619,include,Large-scale multi-omic biosequence transformers for modeling protein–nucleic acid interactions,1,abstract,Abstract,3,38,425,72723,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000619.md
full_2026-07-06__rec_000619,include,Large-scale multi-omic biosequence transformers for modeling protein–nucleic acid interactions,2,introduction,Introduction,4,66,81,4652,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000619.md
full_2026-07-06__rec_000619,include,Large-scale multi-omic biosequence transformers for modeling protein–nucleic acid interactions,3,discussion_conclusion,Discussion,4,286,311,8099,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000619.md
full_2026-07-06__rec_000619,include,Large-scale multi-omic biosequence transformers for modeling protein–nucleic acid interactions,4,discussion_conclusion,Conclusions,4,312,319,1716,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000619.md
full_2026-07-06__rec_000619,include,Large-scale multi-omic biosequence transformers for modeling protein–nucleic acid interactions,5,data_representation,Training data,5,126,131,1577,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000619.md
full_2026-07-06__rec_000619,include,Large-scale multi-omic biosequence transformers for modeling protein–nucleic acid interactions,6,data_representation,Architecture and training,5,132,139,2647,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000619.md
full_2026-07-06__rec_000619,include,Large-scale multi-omic biosequence transformers for modeling protein–nucleic acid interactions,7,data_representation,Methods,4,94,241,35787,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000619.md
full_2026-07-06__rec_000626,include,Probing genomic language models: Nucleotide Generative Pretrained Transformer and the role of pretraining in learned representations,1,abstract,Abstract,3,13,38,7065,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000626.md
full_2026-07-06__rec_000626,include,Probing genomic language models: Nucleotide Generative Pretrained Transformer and the role of pretraining in learned representations,2,discussion_conclusion,Discussion,3,231,252,10038,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000626.md
full_2026-07-06__rec_000626,include,Probing genomic language models: Nucleotide Generative Pretrained Transformer and the role of pretraining in learned representations,3,data_representation,Datasets,4,255,262,2497,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000626.md
full_2026-07-06__rec_000626,include,Probing genomic language models: Nucleotide Generative Pretrained Transformer and the role of pretraining in learned representations,4,data_representation,Methods,3,253,387,11127,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000626.md
full_2026-07-06__rec_000709,include,Protein-nucleic acid language model-assisted design of precise and compact adenine base editor,1,data_representation,"Screening of precise and compact ABEs via PNLM Using our constructed PNLM model, we explored using PNLM for further engineering TadA-8e proteins. We fine-tuned the PNLM with our curated TadA-8e variant dataset. We utilized the PNLM to generate 150 TadA-8elike sequences, including 39 insertion, 73 mutation, and 38 truncated variants (Fig. 2a and Supplementary Data 1). During the fine-tuning process, we observed that incorporating nucleic acid and editing position information, compared to only using protein sequences, led to a reduction in the model's fine-tuning loss (Fig. 2b). We used ESM-1v 26 to predict the transformed log-likelihood of all generated sequences and PNLM has higher conservation degree of the catalytic domain (Fig. 2c). Existing machine learning scoring methods demonstrated diverse evaluation techniques. Using the sequence-based evaluation method, ESM-1v 26 reported 21 of the generated sequences outperformed the wild-type (Supplementary Fig. 2c and Supplementary Data 1). We further combined ESM-1v 26 ， MIF-ST 27 ， Rosetta 28 and AlphaFold2 29 to screen and characterize the generated truncated sequences(Fig. 2a and Supplementary Fig. 2). ARTICLE IN PRESS",7,351,412,1982,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000709.md
full_2026-07-06__rec_000771,include,"A multimodal conversational agent for DNA, RNA and protein tasks",1,discussion_conclusion,Discussion,3,149,170,8403,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000771.md
full_2026-07-06__rec_000771,include,"A multimodal conversational agent for DNA, RNA and protein tasks",2,data_representation,curated instructions dataset of biologically relevant tasks,4,65,80,4550,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000771.md
full_2026-07-06__rec_000771,include,"A multimodal conversational agent for DNA, RNA and protein tasks",3,data_representation,Genomics instructions datasets,4,195,206,3284,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000771.md
full_2026-07-06__rec_000771,include,"A multimodal conversational agent for DNA, RNA and protein tasks",4,data_representation,Methods,3,171,232,13588,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000771.md
full_2026-07-06__rec_000822,include,HydraRNA: a hybrid architecture based full-length RNA language model,1,abstract,Abstract,3,15,22,1602,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000822.md
full_2026-07-06__rec_000822,include,HydraRNA: a hybrid architecture based full-length RNA language model,2,introduction,Background,3,23,34,5631,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000822.md
full_2026-07-06__rec_000822,include,HydraRNA: a hybrid architecture based full-length RNA language model,3,discussion_conclusion,Discussion,3,137,146,4984,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000822.md
full_2026-07-06__rec_000822,include,HydraRNA: a hybrid architecture based full-length RNA language model,4,discussion_conclusion,Conclusions,3,147,152,1487,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000822.md
full_2026-07-06__rec_000822,include,HydraRNA: a hybrid architecture based full-length RNA language model,5,data_representation,HydraRNA: a hybrid architecture based fulllength RNA language model,2,5,305,66970,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000822.md
full_2026-07-06__rec_000822,include,HydraRNA: a hybrid architecture based full-length RNA language model,6,data_representation,HydraRNA architecture and pre-training strategy,4,155,164,3882,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000822.md
full_2026-07-06__rec_000822,include,HydraRNA: a hybrid architecture based full-length RNA language model,7,data_representation,Methods,3,153,240,16874,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000822.md
full_2026-07-06__rec_000843,include,mRNA-LM: full-length integrated SLM for mRNA analysis,1,abstract,Abstract,4,23,26,1262,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000843.md
full_2026-07-06__rec_000843,include,mRNA-LM: full-length integrated SLM for mRNA analysis,2,introduction,Introduction,2,31,54,5581,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000843.md
full_2026-07-06__rec_000843,include,mRNA-LM: full-length integrated SLM for mRNA analysis,3,discussion_conclusion,Conclusion,2,182,211,12127,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000843.md
full_2026-07-06__rec_000843,include,mRNA-LM: full-length integrated SLM for mRNA analysis,4,data_representation,Datasets for pretraining UTRBERTs,4,57,60,884,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000843.md
full_2026-07-06__rec_000843,include,mRNA-LM: full-length integrated SLM for mRNA analysis,5,data_representation,Datasets,4,117,135,2728,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000843.md
full_2026-07-06__rec_000843,include,mRNA-LM: full-length integrated SLM for mRNA analysis,6,data_representation,Materials and methods,2,55,114,9363,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000843.md
full_2026-07-06__rec_000843,include,mRNA-LM: full-length integrated SLM for mRNA analysis,7,data_representation,Learning the joint representation of segment sequence using CLIP,4,77,102,3925,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000843.md
full_2026-07-06__rec_000867,include,A long-context language model for deciphering and generating bacteriophage genomes,1,discussion_conclusion,Discussion,3,73,76,2017,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000867.md
full_2026-07-06__rec_000867,include,A long-context language model for deciphering and generating bacteriophage genomes,2,data_representation,Methods,3,77,118,10163,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000867.md
full_2026-07-06__rec_000908,include,DNA language model GROVER learns sequence context in the human genome,1,discussion_conclusion,Discussion,3,105,114,2860,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000908.md
full_2026-07-06__rec_000908,include,DNA language model GROVER learns sequence context in the human genome,2,data_representation,Methods,3,115,210,13709,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000908.md
full_2026-07-06__rec_000915,include,'Bingo' - a large language model- and graph neural network-based workflow for the prediction of essential genes from protein data,1,introduction,INTRODUCTION,3,11,52,8717,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000915.md
full_2026-07-06__rec_000915,include,'Bingo' - a large language model- and graph neural network-based workflow for the prediction of essential genes from protein data,2,discussion_conclusion,DISCUSSION,3,217,224,2511,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000915.md
full_2026-07-06__rec_000915,include,'Bingo' - a large language model- and graph neural network-based workflow for the prediction of essential genes from protein data,3,data_representation,Datasets,4,55,60,1661,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000915.md
full_2026-07-06__rec_000915,include,'Bingo' - a large language model- and graph neural network-based workflow for the prediction of essential genes from protein data,4,data_representation,Curated datasets obtained,4,129,134,433,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000915.md
