record_id,source_record_id,source_corpus,context_status,selected_section_count,full_text_context_chars,abstract_chars,selected_original_chars_total,abstract_headings,introduction_headings,discussion_conclusion_headings,data_representation_headings,document_opening_headings,docling_markdown,title,doi
full_2026-07-06__rec_001497,rec_001497,include,ok,5,7389,1580,36640,Abstract,Introduction,Conclusions,Architecture | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001497.md,SARITA: a large language model for generating the S1 subunit of the SARS-CoV-2 spike protein,10.1101/2024.12.10.627777
full_2026-07-06__rec_001519,rec_001519,include,ok,6,6739,0,11861,,INTRODUCTION,DISCUSSION | CONCLUSION,Datasets | Data Preprocessing | Embedding and Representation,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001519.md,BioGPT: A Generative Transformer-Based Framework for Personalized Genomic Medicine and Rare Disease Diagnosis,10.58496/mjaih/2025/015
full_2026-07-06__rec_001534,rec_001534,include,ok,7,9546,1457,75224,ABSTRACT,Introduction,Discussion,Embedding Representation | Benchmark Datasets | Architecture Comparison | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001534.md,GENERator: A Long-Context Generative Genomic Foundation Model,10.48550/arXiv.2502.07272
full_2026-07-06__rec_001617,rec_001617,include,ok,4,6222,1537,29216,Abstract,Introduction,Conclusion,Dataset,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001617.md,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning,10.48550/arXiv.2506.02911
full_2026-07-06__rec_001618,rec_001618,include,ok,7,10076,0,46155,,Introduction,Discussion | Conclusions,Dataset Weighting | Pre-training Data Composition and Sampling | Post-training Dataset | Model Architecture,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001618.md,A foundational model for joint sequence-function multi-species modeling at scale for long-range genomic prediction,10.64898/2025.12.22.695963
full_2026-07-06__rec_001623,rec_001623,include,ok,6,8686,1341,17219,Abstract,Introduction,,Training data | Training Data | Extended Results on Benchmark datasets | Model Architecture,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001623.md,A Genomic Language Model for Zero-Shot Prediction of Promoter Variant Effects,10.1101/2024.11.11.623015
full_2026-07-06__rec_001625,rec_001625,include,ok,7,10544,1510,42683,Abstract,Introduction,Conclusion,Dataset | Multiple Sclerosis (MS) and hPancreas dataset | Celler-75 dataset | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001625.md,Celler:A Genomic Language Model for Long-Tailed Single-Cell Annotation,10.48550/arXiv.2504.00020
full_2026-07-06__rec_001633,rec_001633,include,ok,2,2940,1389,6056,ABSTRACT,,,Data collection and description,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001633.md,GenSLMs: Genome-scale language models reveal SARS-CoV-2 evolutionary dynamics,10.1101/2022.10.10.511571
full_2026-07-06__rec_001641,rec_001641,include,ok,8,10038,1296,28375,Abstract,Introduction,Discussion | Conclusion,"Data Representation | Model Architecture | Fig. 1. CanBART model overview, token construction, training architecture, and downstream use cases. | Methods",,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001641.md,CanBART: A generative foundation model of cancer molecular alterations for synthetic patient generation and genomic profile completion,10.1101/2025.11.04.25339512
full_2026-07-06__rec_001655,rec_001655,include,ok,5,5977,0,9806,,Introduction,Discussion | Conclusion,Datasets | Method,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001655.md,Exploring the Potentials and Challenges of Using Large Language Models for the Analysis of Transcriptional Regulation of Long Non-coding RNAs,10.48550/arXiv.2411.03522
full_2026-07-06__rec_001676,rec_001676,include,ok,4,3866,1093,7131,Abstract,Introduction,Conclusion,Datasets,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001676.md,Caduceus: Bi-Directional Equivariant Long-Range DNA Sequence Modeling,
full_2026-07-06__rec_001683,rec_001683,include,ok,7,8243,1066,32268,ABSTRACT,INTRODUCTION,DISCUSSION AND CONCLUSION,DATASETS | DATASET | PRETRAINING DATA CURATION AND QC | FINETUNING DATA CURATION (HA/NA-ONLY),,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001683.md,AntigenLM: Structure-Aware DNA Language Modeling for Influenza,
full_2026-07-06__rec_001687,rec_001687,include,ok,3,3848,1065,9134,ABSTRACT,INTRODUCTION,,SYNTHETIC DATASETS,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001687.md,CaLMFlow: Volterra Flow Matching using Causal Language Models,10.48550/arXiv.2410.05292
full_2026-07-06__rec_001700,rec_001700,include,ok,3,4709,0,12780,,,Discussion,Methods | Analysis of species tag-prompting methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001700.md,Semantic mining of functional de novo genes from a genomic language model,10.1101/2024.12.17.628962
full_2026-07-06__rec_001714,rec_001714,include,ok,5,7842,1557,32337,Abstract,Introduction,Discussion | Conclusion,Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001714.md,Open-weight genome language model safeguards: Assessing robustness via adversarial fine-tuning,10.48550/arXiv.2511.19299
full_2026-07-06__rec_001725,rec_001725,include,ok,5,7227,1213,17651,Abstract,Introduction,Discussion,Methods Development of the GC-atlas scRNA-seq corpus | Processing of validation scRNA-seq dataset,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001725.md,Gene-Family Encoding Boosts Domain-Adapted Single-Cell Language Models,10.1101/2025.09.16.676672
full_2026-07-06__rec_001730,rec_001730,include,ok,4,5234,0,10292,,Introduction,Conclusions,Dataset | Materials and Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001730.md,Enhanced Viral Genome Classification Using Large Language Models,10.3390/a18060302
full_2026-07-06__rec_001735,rec_001735,include,ok,7,9898,1497,58428,Abstract,Introduction,Discussion | Conclusion,"Datasets and Implementation Details | Method | FROM GENE NAMES, EXPRESSION VALUES AND IMAGES: Contrastive Masked Text-Image Pretraining for Spatial Transcriptomics Representation Learning",,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001735.md,"Learning from Gene Names, Expression Values and Images: Contrastive Masked Text-Image Pretraining for Spatial Transcriptomics Representation Learning",10.48550/arXiv.2509.16892
full_2026-07-06__rec_001761,rec_001761,include,ok,7,10383,1581,47217,Abstract,Introduction,Discussion,Dataset and Training | Dataset Curation | Preprocessing and Filtering Strategy | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001761.md,Generative design and construction of functional plasmids with a DNA language model,10.64898/2025.12.06.692736
full_2026-07-06__rec_001773,rec_001773,include,ok,5,6675,1398,71945,Abstract,Introduction,Conclusion,Final Dataset Composition | Ablation on Positional Embedding Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001773.md,Omni-DNA: A Unified Genomic Foundation Model for Cross-Modal and Multi-Task Learning,10.48550/arXiv.2502.03499
full_2026-07-06__rec_001838,rec_001838,include,ok,7,10798,1462,33756,ABSTRACT,INTRODUCTION,CONCLUSION,DATASET CONSTRUCTION | DATASET CONSTRUCTION DETAILS | DATASET STATISTICS AND DISTRIBUTIONS | MODEL ARCHITECTURE,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001838.md,Cell2Text: Multimodal LLM for Generating Single-Cell Descriptions from RNA-Seq Data,10.48550/arXiv.2509.24840
full_2026-07-06__rec_001889,rec_001889,include,ok,7,9510,1441,24135,Abstract,Introduction,Discussion,Construction of question-answer pairs | Datasets and processing | Datasets | snRNA-seq datasets and preprocessing,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001889.md,scMOBA: A conversational single-cell Multi-Omics Brain Agent across species,10.64898/2025.12.01.691565
full_2026-07-06__rec_002049,rec_002049,include,ok,6,9065,1269,18663,ABSTRACT,INTRODUCTION,,DATASETS AND EVALUATION | MODULAR ARCHITECTURE | METHOD | BIOVERSE: REPRESENTATION ALIGNMENT OF BIOMEDICAL MODALITIES TO LLMS FOR MULTIMODAL REASONING,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_002049.md,BioVERSE: Representation Alignment of Biomedical Modalities to LLMs for Multi-Modal Reasoning,10.48550/arXiv.2510.01428
full_2026-07-06__rec_002105,rec_002105,include,ok,7,12449,1523,60504,Abstract,Introduction,Discussion,"Third, to enable natural-language chats with CellWhisperer, we customized and fine-tuned the Mistral 7B open-source LLM (Jiang et al. 2023) to incorporate transcriptome information in addition to textual input. Our approach is inspired by the ability of multimodal LLMs - such as GPT-4, Gemini, and the open-source LLaVA model (H. Liu et al. 2023) - to interpret and converse about images. We generated a training dataset of 106,610 question-answer-style conversations, including simple rule-based conversations (e.g., 'What does the sample represent?' , with the sample's textual annotation as the designated answer) as well as more complex LLMgenerated conversations that all take transcriptome profiles into account (see Methods section for technical details and Supplementary Note 1 for examples). Based on this training dataset, we used the CellWhispererderived transcriptome embeddings together with the prepared questions as input to the Mistral 7B LLM (with an adapter layer that converts the transcriptome embeddings into Mistral -compatible token-level embeddings), and we fine-tuned this LLM to produce the matched answers. The resulting fine-tuned LLM responds to freetext questions and engages in natural-language chats about cells and their biological functions, gene-regulatory mechanisms, and other biological processes that can be linked to transcriptional cell states. | CellWhisperer enables interactive explorative analysis of user-provided transcriptome datasets | Creation of a multimodal training dataset with pairs of transcriptomes and text | Integration of CellWhisperer into CELLxGENE Explorer, web hosting, and user-provided dataset processing",,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_002105.md,Multimodal learning of transcriptomes and text enables interactive single-cell RNA-seq data exploration with natural-language chats,10.1101/2024.10.15.618501
full_2026-07-06__rec_002151,rec_002151,include,ok,5,5860,1482,6208,Abstract,Introduction,Conclusions,Methods and Features | Table 1 Model performance (validation accuracy%) on scGenAI and other methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_002151.md,scGenAI: A generative AI platform with biological context embedding of multimodal features enhances single cell state classification,10.1101/2025.05.07.652733
full_2026-07-06__rec_002162,rec_002162,include,ok,5,7277,1257,19970,Abstract,Introduction,Conclusion,Encoder-decoder architecture with modified masking | Method,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_002162.md,Enhancing DNA Foundation Models to Address Masking Inefficiencies,10.48550/arXiv.2502.18405
full_2026-07-06__rec_002304,rec_002304,include,ok,5,6564,1417,23983,Abstract,,,Construction of Custom QA Datasets: | Similarity-Aware Dataset Splitting: | Methods: | Model Interpretability and Representation Analysis:,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_002304.md,"Genolator: A Multimodal Large Language Model Fusing Natural Language, Genomic, and Structural Tokens for Protein Function Interpretation",10.1101/2025.11.14.688396
