"id","label","type","__class__","route_label","model_name","lifecycle_phase","task_or_configuration_verbatim","source_object_verbatim","source_object_normalized","source_modality_normalized","transformation_chain_verbatim","transformation_chain_normalized","model_visible_form_verbatim","carrier_family","carrier_subtype","insertion_or_fusion_verbatim","fusion_topology","text_role","input_status","evidence_quote","section_heading","supporting_figure_or_table","evidence_status","uncertainty","__provenance__","merged_aliases","taxonomy_version","title","doi","input_routes"
"TaxonomyCodedRoute_0f92e9261efe1f72","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Aligned OCellus Base Model","Aligned OCellus Base Model","unclear","OCellus pretraining and alignment (based on Qwen LLM)","Tiny LLM","tiny llm","unclear","['Tiny LLM', 'Aligned OCellus Base Model']","['tiny llm', 'aligned ocellus base model']","Aligned OCellus Base Model","other_evidence_grounded","other_evidence_grounded","connects to the final `Aligned OCellus Base Model`","other_explicit","generated_output","generated_output","The Tiny LLM connects to the final `Aligned OCellus Base Model`.","The OCellus framework","Figure 1a","text_plus_figure","The alignment step producing the base model is not further specified.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7], ""pages"": [6, 7], ""refs"": [""#/texts/139"", ""#/pictures/0""], ""spans"": [{""chunk"": 7, ""start"": 1997, ""end"": 2023}]}","","","","",""
"TaxonomyCodedRoute_e3a9426bbf97b56e","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Cell Data","Cell Data","pretraining","Central training hub and plug-in modular integration (Emulating self-supervised learning)","Cell Data","cell data","cell data","['Cell Data', 'Encoder']","['cell data', 'encoder']","Cell Data","other_evidence_grounded","other_evidence_grounded","feed into an `Encoder`","other_explicit","biological_payload","actual_model_input","Inputs on the left are biological data sources: `Cell Data`.","The OCellus framework","Figure 1b","text_plus_figure","The exact representation of Cell Data before the encoder is not specified.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7, 8, 17, 19], ""pages"": [6, 7, 13, 14, 15, 16, 17], ""refs"": [""#/texts/139"", ""#/pictures/0"", ""#/pictures/1"", ""#/pictures/4"", ""#/texts/254"", ""#/texts/255"", ""#/texts/256"", ""#/texts/257""], ""spans"": [{""chunk"": 7, ""start"": 1387, ""end"": 1396}, {""chunk"": 8, ""start"": 458, ""end"": 467}, {""chunk"": 17, ""start"": 222, ""end"": 231}, {""chunk"": 19, ""start"": 561, ""end"": 570}]}","","","","",""
"TaxonomyCodedRoute_83c93a2e391d8682","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Spatial Transcriptome Data","OCellus","pretraining","Central training hub and plug-in modular integration (Emulating self-supervised learning)","Spatial Transcriptome Data","spatial transcriptomics data","spatial transcriptomics","['Spatial Transcriptome Data', 'Encoder', 'Qwen LLM backbone']","['spatial transcriptomics data', 'encoder', 'Qwen LLM backbone']","Spatial Transcriptome Data","other_evidence_grounded","other_evidence_grounded","These feed into an Encoder","other_explicit","biological_payload","actual_model_input","Spatial Transcriptome Data","The OCellus framework","Panel b","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8], ""pages"": [7], ""refs"": [""#/pictures/1""], ""spans"": [{""chunk"": 8, ""start"": 473, ""end"": 499}]}","","","","",""
"TaxonomyCodedRoute_fcfe38fdfe67137d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Gene Knockout database","OCellus","pretraining","Central training hub and plug-in modular integration (Emulating self-supervised learning)","Gene Knockout database","gene knockout database","gene knockout data","['Gene Knockout database', 'Encoder', 'Qwen LLM backbone']","['gene knockout data', 'encoder', 'Qwen LLM backbone']","Gene Knockout database","other_evidence_grounded","other_evidence_grounded","These feed into an Encoder","other_explicit","biological_payload","actual_model_input","Gene Knockout database","The OCellus framework","Panel b","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8], ""pages"": [7], ""refs"": [""#/pictures/1""], ""spans"": [{""chunk"": 8, ""start"": 511, ""end"": 533}]}","","","","",""
"TaxonomyCodedRoute_819e814db4ce4d0f","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Qwen LLM backbone","OCellus","pretraining","OCellus pretraining and alignment (based on Qwen LLM)","Qwen LLM backbone","Qwen large language model backbone","large language model backbone","['Data integration', 'Qwen LLM model', 'Tiny LLM', 'Aligned OCellus Base Model']","['data integration', 'Qwen LLM model', 'Tiny LLM', 'aligned OCellus base model']","Qwen LLM backbone","other_evidence_grounded","other_evidence_grounded","Data integration connects to a Qwen LLM model","other_explicit","no_text_on_this_route","unclear","Qwen LLM backbone","The OCellus framework","Panel b","explicit_text","Described as an internal backbone component; the exact carrier role is not explicit.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8, 10], ""pages"": [7, 8, 9], ""refs"": [""#/pictures/1"", ""#/texts/169"", ""#/texts/170"", ""#/texts/171"", ""#/texts/174"", ""#/texts/175"", ""#/texts/176"", ""#/texts/177""], ""spans"": [{""chunk"": 8, ""start"": 599, ""end"": 616}, {""chunk"": 10, ""start"": 598, ""end"": 615}]}","","","","",""
"TaxonomyCodedRoute_2c573e0786abf6de","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","GNN+PPI","OCellus","unclear","Central training hub and plug-in modular integration (Emulating self-supervised learning)","GNN+PPI","graph neural network plus protein-protein interaction","graph and protein-protein interaction","['GNN+PPI', 'Qwen LLM backbone']","['graph neural network plus protein-protein interaction', 'Qwen LLM backbone']","GNN+PPI","other_evidence_grounded","other_evidence_grounded","Around the LLM backbone are plug-in/interface modules labeled GNN+PPI","other_explicit","no_text_on_this_route","unclear","GNN+PPI","The OCellus framework","Panel b","explicit_text","Described as a plug-in module around the backbone; the exact input carrier and phase are not explicit.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8], ""pages"": [7], ""refs"": [""#/pictures/1""], ""spans"": [{""chunk"": 8, ""start"": 709, ""end"": 716}]}","","","","",""
"TaxonomyCodedRoute_4eab5ac1fc5d90a3","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Agent-driven knowledge recall","OCellus","inference","Agent-driven knowledge recall","knowledge","knowledge","text","[]","[]","Agent-driven knowledge recall","text_native_token_stream","other_evidence_grounded","Agent-driven knowledge recall","retrieval_or_tool_context","metadata_or_context","actual_model_input","Agent-driven knowledge recall","The OCellus framework","Panel b","figure_only","The document names the module but does not specify a more precise retrieved source object beyond the knowledge-recall label.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8], ""pages"": [7], ""refs"": [""#/pictures/1""], ""spans"": [{""chunk"": 8, ""start"": 722, ""end"": 751}]}","","","","",""
"TaxonomyCodedRoute_10adceb7905c4845","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","LoRA fine-tuning","OCellus","fine_tuning","LoRA fine-tuning","Qwen LLM backbone","Qwen LLM backbone","unclear","[]","[]","LoRA fine-tuning","other_evidence_grounded","other_evidence_grounded","LoRA fine-tuning","other_explicit","metadata_or_context","unclear","LoRA fine-tuning","The OCellus framework","Panel b","figure_only","The figure shows LoRA as an interface module, not as a data carrier or a standalone output.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8], ""pages"": [7], ""refs"": [""#/pictures/1""], ""spans"": [{""chunk"": 8, ""start"": 805, ""end"": 821}]}","","","","",""
"TaxonomyCodedRoute_016ec34f02bdc638","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Cell Types","OCellus","inference","Cell Types","Cell Data","cell data","single-cell data","['Cell Data', 'Encoder', 'Qwen LLM backbone', 'Predictor', 'Cell Types']","['cell data', 'encoder', 'Qwen LLM backbone', 'predictor', 'cell types']","Cell Types","text_native_token_stream","other_evidence_grounded","Cell Data -> Encoder -> Qwen LLM backbone -> Predictor","other_explicit","generated_output","generated_output","Cell Types","The OCellus framework","Panel b","figure_only","The figure only labels the input as 'Cell Data', so the carrier coding is conservative.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7, 17, 19], ""pages"": [6, 7, 13, 14, 15, 16, 17], ""refs"": [""#/texts/139"", ""#/pictures/0"", ""#/pictures/4"", ""#/texts/254"", ""#/texts/255"", ""#/texts/256"", ""#/texts/257"", ""#/texts/258""], ""spans"": [{""chunk"": 7, ""start"": 1380, ""end"": 1396}, {""chunk"": 17, ""start"": 215, ""end"": 231}, {""chunk"": 19, ""start"": 554, ""end"": 570}]}","","","","",""
"TaxonomyCodedRoute_e36a80397b7c4ae7","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Perturbation Predictions","OCellus","inference","Perturbation Predictions","Gene Knockout database","gene knockout database","database","['Gene Knockout database', 'Encoder', 'Qwen LLM backbone', 'Predictor', 'Perturbation Predictions']","['gene knockout database', 'encoder', 'Qwen LLM backbone', 'predictor', 'perturbation predictions']","Perturbation Predictions","other_evidence_grounded","other_evidence_grounded","Gene Knockout database -> Encoder -> Qwen LLM backbone -> Predictor","other_explicit","generated_output","generated_output","Perturbation Predictions","The OCellus framework","Panel b","figure_only","The figure does not specify the internal representation of the knockout-database input.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8, 9], ""pages"": [7, 8], ""refs"": [""#/pictures/1"", ""#/pictures/2"", ""#/texts/145"", ""#/texts/146"", ""#/texts/147"", ""#/texts/148"", ""#/texts/149"", ""#/texts/150""], ""spans"": [{""chunk"": 8, ""start"": 872, ""end"": 896}, {""chunk"": 9, ""start"": 2141, ""end"": 2165}]}","","","","",""
"TaxonomyCodedRoute_ab6ea3ab9ff12a93","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Spatial Maps","OCellus","inference","Spatial Maps","Spatial Transcriptome Data","spatial transcriptomics","spatial transcriptomics","['Spatial Transcriptome Data', 'Encoder', 'Qwen LLM backbone', 'Predictor', 'Spatial Maps']","['spatial transcriptomics data', 'encoder', 'qwen llm backbone', 'predictor', 'spatial maps']","Spatial Maps","visual_raster_carrier","other_evidence_grounded","Central training hub and plug-in modular integration","encoder_decoder","generated_output","generated_output","Outputs on the right include Cell Types, Perturbation Predictions, Spatial Maps, and NL Explanations.","The OCellus framework","Figure 1b","text_plus_figure","Spatial maps are shown as an output; the input-to-output path is inferred from the shared encoder/predictor diagram.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8, 9], ""pages"": [7, 8], ""refs"": [""#/pictures/1"", ""#/pictures/2"", ""#/texts/145"", ""#/texts/146"", ""#/texts/147"", ""#/texts/148"", ""#/texts/149"", ""#/texts/150""], ""spans"": [{""chunk"": 8, ""start"": 902, ""end"": 914}, {""chunk"": 9, ""start"": 1818, ""end"": 1830}]}","","","","",""
"TaxonomyCodedRoute_17f660e4d13e659d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","NL Explanations","OCellus","inference","NL Explanations","Cell Data, Spatial Transcriptome Data, and a Gene Knockout database","cell data, spatial transcriptomics data, and gene knockout database","cell data; spatial transcriptomics; gene knockout database","['Cell Data', 'Spatial Transcriptome Data', 'Gene Knockout database', 'Encoder', 'Qwen LLM backbone', 'Predictor', 'NL Explanations']","['cell data', 'spatial transcriptomics data', 'gene knockout database', 'encoder', 'qwen llm backbone', 'predictor', 'nl explanations']","NL Explanations","text_native_token_stream","other_evidence_grounded","Agent-driven knowledge recall","retrieval_or_tool_context","generated_output","generated_output","Outputs on the right include Cell Types, Perturbation Predictions, Spatial Maps, and NL Explanations.","The OCellus framework","Figure 1b","text_plus_figure","Natural-language explanations are associated with the agent layer in the text; the exact source object is not separately specified.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8], ""pages"": [7], ""refs"": [""#/pictures/1""], ""spans"": [{""chunk"": 8, ""start"": 924, ""end"": 939}]}","","","","",""
"TaxonomyCodedRoute_99ace76068a40aaa","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Pretrain","OCellus","pretraining","Pre-training base model","scRNA-seq, scPerturb-seq, Spatial transcriptomics","multi-modal single-cell data","single-cell RNA sequencing; perturbation single-cell sequencing; spatial transcriptomics","['scRNA-seq', 'scPerturb-seq', 'Spatial transcriptomics', 'OCellus Transformer Encoder', 'Multi-modal Cell Embedding', 'Data integration', 'Qwen LLM model', 'Tiny LLM', 'Aligned OCellus Base Model']","['scrna-seq', 'scperturb-seq', 'spatial transcriptomics', 'ocellus transformer encoder', 'multi-modal cell embedding', 'data integration', 'qwen llm model', 'tiny llm', 'aligned ocellus base model']","Pre-training base model","dense_continuous_carrier","pooled_or_aggregated_embedding","Data integration","shared_latent_alignment","biological_payload","actual_model_input","1 Pretrain with “Pre-training base model,”","The OCellus framework","Figure 1a and Figure 1c","text_plus_figure","The pretraining route is described by the stage list in panel c and the multi-modal input flow in panel a, so the carrier chain is inferred across both panels.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7], ""pages"": [6, 7], ""refs"": [""#/texts/139"", ""#/pictures/0""], ""spans"": [{""chunk"": 7, ""start"": 1368, ""end"": 1396}]}","","","","",""
"TaxonomyCodedRoute_f64961e84755aa84","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Merge","OCellus","unclear","Multi-model integration","Pre-training base model","pre-training base model","model configuration","['Pre-train', 'Merge', 'Multi-model integration']","['pretrain', 'merge', 'multi-model integration']","Multi-model integration","dense_continuous_carrier","other_evidence_grounded","Multi-model integration","shared_latent_alignment","metadata_or_context","actual_model_input","2 Merge with “Multi-model integration,”","The OCellus framework","Figure 1c","text_plus_figure","The excerpt does not state whether Merge should be coded as pretraining or fine_tuning; I kept it unclear.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8], ""pages"": [7], ""refs"": [""#/pictures/1""], ""spans"": [{""chunk"": 8, ""start"": 1108, ""end"": 1131}]}","","","","",""
"TaxonomyCodedRoute_935c57332d4c1b9d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Multi-task","OCellus","fine_tuning","multi-task instruction tuning","OCellus-Pretrain checkpoint","pretrained checkpoint","model checkpoint","['multi-task instruction tuning', 'OCellus checkpoint']","['instruction tuning', 'final checkpoint']","OCellus checkpoint","text_native_token_stream","structured_biological_prompt_or_task_scaffold","multi-task instruction tuning to produce the OCellus checkpoint","other_explicit","instruction_or_query","actual_model_input","multi-task instruction tuning to produce the OCellus checkpoint","The OCellus framework","Figure 1","text_plus_figure","Stage 3 in Figure 1(c).","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [10], ""pages"": [8, 9], ""refs"": [""#/texts/169"", ""#/texts/170"", ""#/texts/171"", ""#/texts/174"", ""#/texts/175"", ""#/texts/176"", ""#/texts/177"", ""#/texts/178""], ""spans"": [{""chunk"": 10, ""start"": 1024, ""end"": 1087}]}","","","","",""
