record_id,source_record_id,title,doi,restored_path,sha256,characters,historical_source_docling_json,historical_source_docling_sha256,recovery_log,recovery_request_index,recovery_log_line,recovery_status
full_2026-07-06__rec_001319,rec_001319,A Multi-Modal AI Copilot for Single-Cell Analysis with Instruction Following,10.48550/arXiv.2501.08187,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001319.md,21bf270ef3e5d1ef4d2472f27332787c216747089e18c835ce2bd927325fe544,131715,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001319.docling.json,707e9e8698b030acbfc41ce3ea8a3735bee147f86f152c6f7f5dd3e253400003,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_04/llm_calls.jsonl,5,9,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001343,rec_001343,A General Single-Cell Analysis Framework via Conditional Diffusion Generative Models,10.1101/2023.10.13.562243,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001343.md,7394879d7965246fe00b14622a1a38dee29b0b87fa98e0dbceed00ffd689254d,75834,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001343.docling.json,f573f2db7657d84efeb815c9c44766b34b3254a0761efc0b0c535a604d59d623,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_05/llm_calls.jsonl,6,11,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001352,rec_001352,Towards Generalist Biomedical AI,10.48550/arXiv.2307.14334,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001352.md,408d288429d876bd519524172ca9b268afa9d2d18b45caf3cd7d5e4a70924d25,180269,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001352.docling.json,d0b86731584a3b2b079e9aa7c0e48fe189d468cccc58afec17842a799cbf7c9b,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_02/llm_calls.jsonl,7,13,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001381,rec_001381,Language-Enhanced Representation Learning for Single-Cell Transcriptomics,,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001381.md,c81c3d9544c07957b2c206a3044e440d0a37199282bc8021c4388e5081c978f8,115377,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001381.docling.json,7dd6a5deb58e5f6b0a9fcb682c2c61009ea7bc720182185ff90cba77b8bdfef7,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_01/llm_calls.jsonl,9,17,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001519,rec_001519,BioGPT: A Generative Transformer-Based Framework for Personalized Genomic Medicine and Rare Disease Diagnosis,10.58496/mjaih/2025/015,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001519.md,5e2b2cfeeeb9e65f63382bc621644d81148507d635544341b7824170bf6228bf,42828,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001519.docling.json,08da4d298e83091017c5cd3a55ee66a56b9f433980d9bbc0807735230d8f45c1,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_00/llm_calls.jsonl,1,1,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001617,rec_001617,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning,10.48550/arXiv.2506.02911,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001617.md,189d3060bb362d416b017fb3970473d2abbb1f5f640ee52be09dbba01aa58799,151456,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001617.docling.json,e73906d65bfc3f7949ade453b86a423c93479887b4dd1d4a6a1d33b5cab0165e,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_07/llm_calls.jsonl,1,1,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001687,rec_001687,CaLMFlow: Volterra Flow Matching using Causal Language Models,10.48550/arXiv.2410.05292,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001687.md,cfbfbb44ed1d612a14e566ea65a3fbce9c370292989df816f5b859f8f1266124,80506,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001687.docling.json,9f6a492712ddf06dc6f36e9d1a88482b4132720223fd199369cece91de4b0175,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_00/llm_calls.jsonl,12,23,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001773,rec_001773,Omni-DNA: A Unified Genomic Foundation Model for Cross-Modal and Multi-Task Learning,10.48550/arXiv.2502.03499,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001773.md,439707f363837fade594bcab62bd0d6326e9d61d58a27ccec519183043b9a0f3,127767,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001773.docling.json,192b022c02fc58fe6010e9ef27696f55a9a3fc8b94266cfa4a12037267a3c418,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_00/llm_calls.jsonl,3,5,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001830,rec_001830,Rethinking Genomic Modeling Through Optical Character Recognition,,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001830.md,dba556d7928366993b13d3b69fcf844a2a5afa865ef49199d775e00eeae63ed0,215843,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001830.docling.json,3c90ea5fb94d6958a87d1bce2cf572fe99f62b5d7d5857815a98ff4796f4f8e1,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_00/llm_calls.jsonl,14,27,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001838,rec_001838,Cell2Text: Multimodal LLM for Generating Single-Cell Descriptions from RNA-Seq Data,10.48550/arXiv.2509.24840,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001838.md,98244587384a5c7cf97afa9f2a2191ec983f4965875a6a68a9cbc691110dec8c,68633,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001838.docling.json,0df39f74caaa3651db8e0e419410e3ab7a92052cac3d31b6ea3215544f027c76,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_04/llm_calls.jsonl,3,5,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001889,rec_001889,scMOBA: A conversational single-cell Multi-Omics Brain Agent across species,10.64898/2025.12.01.691565,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001889.md,3617457ae04062a48abe09627163e1737fc066544a448518110d87ea2d75b7b5,104399,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001889.docling.json,19de6892a677e151533e49bccc0b77ca9158f7e130732ff56c9357f87a785b78,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_00/llm_calls.jsonl,6,11,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_002049,rec_002049,BioVERSE: Representation Alignment of Biomedical Modalities to LLMs for Multi-Modal Reasoning,10.48550/arXiv.2510.01428,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_002049.md,5b41ceb501ea083f65e2448fc2fb5b8de13630329bbfa2c32082f68d296f2fca,47281,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_002049.docling.json,c597b60c0441c6dbc001a390f06c96f32524f071b08afd59a01b99a5cd9e3743,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_06/llm_calls.jsonl,6,11,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_002105,rec_002105,Multimodal learning of transcriptomes and text enables interactive single-cell RNA-seq data exploration with natural-language chats,10.1101/2024.10.15.618501,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_002105.md,91a40879e301c02082c9be543bc84a1663f55fc4189bf364bffbcaff924a71e4,95206,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_002105.docling.json,1bddaa0298619ba316e89e0028e2ebef39ff585a31ad2f0cca4c4da09e863d91,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_07/llm_calls.jsonl,5,9,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_002243,rec_002243,"Human Genome Book:Words,Sentences and Paragraphs",10.1101/2025.01.23.634629,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_002243.md,814821f6a1562eeb5058a2e2afaeb1aec78c17b9838be0671f33c0f37c372e51,36686,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_002243.docling.json,7da609acdc01cab6d8f3c5148a9d7da7bb7e7a6a816b4f2b8689eb796fad0f5a,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_03/llm_calls.jsonl,7,13,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_002304,rec_002304,"Genolator: A Multimodal Large Language Model Fusing Natural Language, Genomic, and Structural Tokens for Protein Function Interpretation",10.1101/2025.11.14.688396,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_002304.md,f0692509ed9c1ae3853569404b249169ad35019bc6237a76290318d161c6b36b,95395,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_002304.docling.json,f1cf2e3d58d02999e4b3a796be843393201a112a3a4383cd2cfe27882e0f17f8,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_02/llm_calls.jsonl,9,17,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_002327,rec_002327,OmniNA: A foundation model for nucleotide sequences,10.1101/2024.01.14.575543,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_002327.md,a3a2ea8735399bbfa3990e259c5271fd8cf678458670b1e8ef8c4ec930331089,66559,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_002327.docling.json,72787268d3586e1696b7129e2616848f244a312008ae736173cf1c6b7773e33e,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_05/llm_calls.jsonl,10,19,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_002517,rec_002517,ChatCell: Facilitating Single-Cell Analysis with Natural Language,10.48550/arXiv.2402.08303,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_002517.md,70137f6d3e6ed2d12a70e8a8ac181911b1fbd6830c24d74414a8d10df019f40e,71913,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_002517.docling.json,adf9a466a18d317542b5508208337dc6a164093f7b10ec5901b3088ebc02e332,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_01/llm_calls.jsonl,5,9,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_003008,rec_003008,Aligning LLMs with Biomedical Knowledge using Balanced Fine-Tuning,,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003008.md,0f3bb8317816f61c52a8efa946d8e0606d27a36c5336eb815dfe89de0f7d709d,69139,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003008.docling.json,56283c7307354c8fe8b11e6764318320cece74f4eeac204a02828aff7e011d80,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_02/llm_calls.jsonl,11,21,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_003043,rec_003043,Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research,,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003043.md,604f5f43da3875a9a3b13e31a723e1b976661d96781559e568548a3b58d4d5b1,66749,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003043.docling.json,e9e9cb8c600f1b9bc0b1ee86f30aa14bdae5521d6d4d84083494b37e71a82b1f,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_01/llm_calls.jsonl,13,25,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_003131,rec_003131,Gp-gpt: Large language model for gene-phenotype mapping,,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003131.md,b4bbccfbee3a23501a26f71cd4065631d8454ef2e503c121b29d5e1173dc50e6,100550,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003131.docling.json,ffae4169896de028fbfd3224cf7f38c1d7cfc1c341863b5c348956cba9a821c5,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_02/llm_calls.jsonl,5,9,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_003188,rec_003188,Multimodal Cell Context Instruction Tuning for Conditional DNA Regulatory Sequence Generation with Large Language Models,,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003188.md,d69751d265f5a27d2eb6912c24a0052addfc61c11cc84393ad930457f6164e1b,33330,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003188.docling.json,c928a32f2669c6d9a3dd9677184ef8c4a6081079d23b04aafd0733faaea4c6f4,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_00/llm_calls.jsonl,8,15,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_003206,rec_003206,Cell2Sentence: teaching large language models the language of biology,,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003206.md,92281477b65b74c5faaa038544b444304f816f9b697e00ae261028ca53d6362f,69987,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003206.docling.json,2bb7558f486e83ec64e82c92c6e2228302721cada75f8a43a672739b4e675dbb,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_04/llm_calls.jsonl,7,13,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_003214,rec_003214,Biomedgpt: Open multimodal generative pre-trained transformer for biomedicine,,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003214.md,b60b2eb582a392502febda97b7db2d1c0a41daf9e9d344cebd5f94268f7cde07,48014,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003214.docling.json,0f9b71ba988cb8267a40aaa64a14022b8111a751bedcb9841eaf6217731664df,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_03/llm_calls.jsonl,9,17,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_003323,rec_003323,Teampath: Building multimodal pathology experts with reasoning ai copilots,,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003323.md,73fa6243612c975dd87051f47c265e23baf226281ce148ea824f24df605e008c,93424,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003323.docling.json,52f674ca899bf1f1d960146cf201b2f081944f3edf17fbcc95ba211e13c91bcb,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_05/llm_calls.jsonl,8,15,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_003394,rec_003394,A foundation model for nucleotide sequences.,10.1093/nar/gkag083,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003394.md,23440e24385e61d20daa2b12e7855344ebc986fc924dd1c251f7cd29e65e72ef,85396,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003394.docling.json,a2e668d24e805c34a68498351874775a95bdc06fd23e7fee9ed6005fa98d0f2c,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_02/llm_calls.jsonl,13,25,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_003434,rec_003434,The End of Aging Clocks: Training Foundation Models to Reason in Aging and Longevity,10.64898/2026.03.28.714980,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003434.md,b092bf785727e1d8ef04a5e74aa08be99aef5085cba9531536f3e85a9e36d872,42283,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003434.docling.json,422acbf8f36ccdd564ec87c0b27dcf61da351e17c758b1e2cf2ce2f747e9b265,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_03/llm_calls.jsonl,11,21,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_003517,rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,10.64898/2026.03.18.712807,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003517.md,47c64fd9297c1e1fcba44ef6cf0d6ce1eafd566eb3e5f0620c9432ffb1ccf2f9,215710,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003517.docling.json,ab0d4dfa2519161b067788918b35936748a44ec1d557cfcee276b42dc87d7be8,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_03/llm_calls.jsonl,5,9,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_003629,rec_003629,Phenotype-Guided In Silico Molecular Generation Using Large Language Models,,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003629.md,80178ba1c82317522c563417bb0f78a422b6239711bb64d7cd5bf76002698154,112620,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003629.docling.json,619af17c172315506c0fa244709302d8534f2b3068840c012bf899cbe8f0bf3a,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_07/llm_calls.jsonl,7,13,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_003852,rec_003852,A Generative Foundation Model for Multimodal Histopathology,,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003852.md,38d2c0372a0bd53fb7b613423707c7cf8f7293a9f7b7e884471da2643802f006,79783,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003852.docling.json,1d5a7233aa67b8857f539d2d027eef7f982ee4c943f92123282e99eabd424e15,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_04/llm_calls.jsonl,12,23,exact_markdown_recovered_from_logged_direct_prompt
july_update_2026-07-06__rec_000050,rec_000050,How Post-Training Shapes Biological Reasoning Models,,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/july_update_2026_07_06_rec_000050.md,04a8e6bfd6d4114a4f4d37cf7d5534ac79dd234384ed36ec3653e5a4f8acd4fb,136860,data/docling_include_vlm_52_2026-07-10_nolimits/documents/july_update_2026_07_06_rec_000050.docling.json,47448318ce9a5feb86e45b38fe6cc8201c3cc8c185311be1b85b115b4b1443d8,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_03/llm_calls.jsonl,13,25,exact_markdown_recovered_from_logged_direct_prompt
