record_id,candidate_id,source_record_id,source_corpus,docling_markdown,title,doi,final_decision,final_code,uncertainty_reason,final_source,final_rationale,evidence_snippet,scope_primary_exclusion_code,scope_uncertainty_reason,architecture_primary_exclusion_code,architecture_uncertainty_reason
full_2026-07-06__rec_003627,full_2026-07-06__rec_003627,rec_003627,uncertain,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003627.md,Towards Spatial Transcriptomics-driven Pathology Foundation Models,,EXCLUDE,EC2_no_text_component,none,adjudicator,"SEAL is presented as a new vision-omics self-supervised framework over paired spatial transcriptomics and histology, with a VAE/encoder-decoder for image-to-gene reconstruction. The record shows no natural-language text or text-bio alignment, so it is excluded for lacking a text component.","""paired H&E morphology image patches and corresponding Visium ST spots""; ""align the transcriptomics and histomorphology embeddings""; ""train a transcriptomic encoder-decoder using a variational autoencoder (VAE)""; ""widely used pathology foundation models""",EC2_no_text_component,none,application_wrapper,none
july_update_2026-07-06__rec_000073,july_update_2026-07-06__rec_000073,rec_000073,include,data/docling_include_no_vlm_2026-07-09/markdown/july_update_2026_07_06_rec_000073.md,Generating antimicrobial peptides via genomic transfer learning,10.64898/2026.06.16.732639,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
june_update_2026-06-10__rec_000118,june_update_2026-06-10__rec_000118,rec_000118,include,data/docling_include_no_vlm_2026-07-09/markdown/june_update_2026_06_10_rec_000118.md,CodonMoE: DNA language models for codon-dependent mRNA prediction,10.1093/bioinformatics/btag285,EXCLUDE,EC2_no_text_component,none,adjudicator,"This is a new biological-sequence method for DNA-to-RNA/mRNA prediction, not a review, benchmark, or wrapper. The record shows only codon/DNA/mRNA sequence modeling and no natural-language text component or text-bio bridge, and no explicit generative mechanism.","""DNA language models for codon-dependent mRNA prediction""; ""adapts DNA models for RNA analysis""; ""pretrained on DNA sequences""; ""RNA prediction tasks""; ""codon sequences to target properties""",EC2_no_text_component,none,none,generative_status_unclear
full_2026-07-06__rec_000063,full_2026-07-06__rec_000063,rec_000063,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000063.md,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,10.1101/2025.11.24.690325,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_000626,full_2026-07-06__rec_000626,rec_000626,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000626.md,Probing genomic language models: Nucleotide Generative Pretrained Transformer and the role of pretraining in learned representations,10.1093/bib/bbag011,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_001200,full_2026-07-06__rec_001200,rec_001200,uncertain,data/docling_uncertain_biorxiv_chrome_no_vlm_2026-07-08/markdown/rec_001200_2025_04_27_649905v1_full.md,Systematic discovery of single-cell protein networks in cancer with Shusi,10.1101/2025.04.27.649905,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_001289,full_2026-07-06__rec_001289,rec_001289,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001289.md,scGPT: Towards Building a Foundation Model for Single-Cell Multi-omics Using Generative AI,10.1101/2023.04.30.538439,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_001617,full_2026-07-06__rec_001617,rec_001617,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001617.md,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning,10.48550/arXiv.2506.02911,INCLUDE,none,none,adjudicator,"The record presents a new named model, Cell-o1, trained with supervised fine-tuning and reinforcement learning for single-cell reasoning. It explicitly combines gene expression with contextual descriptions and generates interpretable reasoning traces, so the text-bio bridge and generative criteria are both met.","""ranked top-expressed genes""; ""contextual description""; ""generating interpretable reasoning traces""; ""Cell-o1, a 7B LLM trained via supervised fine-tuning ... followed by reinforcement learning""",none,none,application_wrapper,none
full_2026-07-06__rec_001773,full_2026-07-06__rec_001773,rec_001773,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001773.md,Omni-DNA: A Unified Genomic Foundation Model for Cross-Modal and Multi-Task Learning,10.48550/arXiv.2502.03499,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_001897,full_2026-07-06__rec_001897,rec_001897,uncertain,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_001897.md,CodonMoE: DNA Language Models for mRNA Analyses,10.48550/arXiv.2508.04739,EXCLUDE,EC2_no_text_component,none,adjudicator,"This is a new model paper for DNA/mRNA sequence analysis, not a review, benchmark, or wrapper. The provided evidence describes biological sequence/codon modeling and RNA prediction tasks, with no natural-language text component or text-bio bridge.","""pretrained on DNA sequences""; ""fine-tuned on mRNA sequences""; ""Across four RNA prediction tasks""; ""codon sequences to target properties""; ""DNA language models""; ""RNA analyses""; ""no natural-language text described""; ""codon-level representation""; biological token only; not_assessed; biological_token_only_boundary",EC2_no_text_component,none,application_wrapper,none
full_2026-07-06__rec_002496,full_2026-07-06__rec_002496,rec_002496,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_002496.md,scGPT: toward building a foundation model for single-cell multi-omics using generative AI,10.1038/s41592-024-02201-0,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_003087,full_2026-07-06__rec_003087,rec_003087,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_003087.md,scKEPLM: Knowledge enhanced large-scale pre-trained language model for single-cell transcriptomics,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
full_2026-07-06__rec_003090,full_2026-07-06__rec_003090,rec_003090,uncertain,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003090.md,OKR-Cell: Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training,,EXCLUDE,EC3_not_generative,none,adjudicator,"This is a new single-cell foundation model with explicit cell-text pretraining and cross-modal language alignment, so it is not a review, benchmark, or wrapper. The only generative language is in the LLM-based text-augmentation pipeline; the candidate model itself is described and evaluated as a cross-modal pretrained model with retrieval and annotation tasks, not a generative architecture.",“cross-modal Cell-Language pre-training framework”; “after pretraining on 32M cell-text pairs”; “LLM-based workflow with retrieval-augmented generation enriches cell textual descriptions”,none,none,none,generative_status_unclear
full_2026-07-06__rec_003258,full_2026-07-06__rec_003258,rec_003258,uncertain,data/docling_uncertain_problem_retry_no_vlm_2026-07-08/markdown/rec_003258_acl.md,Foundation model for biomedical graphs: Integrating knowledge graphs and protein structures to large language models,,UNCERTAIN,none,mixed_signals,adjudicator,"The record is a proposal for a multimodal LLM architecture, not a completed model paper, and it does not clearly describe an explicit natural-language text modality or text-biology conditioning path. Biological modalities are present, but the decisive text/bridge/generative criteria remain unresolved from the provided evidence.","""Here I propose to work on multimodal LLM architecture for biomedical graphs""; ""protein structure and chemical molecules""; ""Galactica mini and base models"" for ""DNA, protein, and chemical sequences""; ""images, text, and/or sequence data""; ""specialized embedding""",none,text_component_unclear,none,paper_type_unclear
full_2026-07-06__rec_003509,full_2026-07-06__rec_003509,rec_003509,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_003509.md,Poisoning the Genome: Targeted Backdoor Attacks on DNA Foundation Models,,EXCLUDE,EC2_no_text_component,none,adjudicator,"This is a primary paper on DNA foundation models and backdoor attacks, but the provided evidence only shows biological sequence modeling. No natural-language text component or text-bio bridge is described, so it is out of scope for a generative text-bio model review.","""genomic foundation models trained on DNA sequences""; ""trillions of nucleotide tokens""; ""selectively degrade generative behavior""; Methods describe ""ClinVar noncoding SNVs"" and ""CTCF"" windows only, not text prompts or descriptions",EC2_no_text_component,none,none,paper_type_unclear
full_2026-07-06__rec_003644,full_2026-07-06__rec_003644,rec_003644,uncertain,data/docling_uncertain_no_vlm_retry_2026-07-08/markdown/run_rec_003644.md,Toward a universal foundation model for graph-structured data,,EXCLUDE,EC1_no_bio_modality,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC1_no_bio_modality,none,EC3_not_generative,none
july_update_2026-07-06__rec_000074,july_update_2026-07-06__rec_000074,rec_000074,include,data/docling_include_no_vlm_2026-07-09/markdown/july_update_2026_07_06_rec_000074.md,CellOS: Learning a World Model of Cellular State through Joint Embedding Prediction,10.64898/2026.06.18.733163,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
june_update_2026-06-10__rec_000121,june_update_2026-06-10__rec_000121,rec_000121,include,data/docling_include_no_vlm_2026-07-09/markdown/june_update_2026_06_10_rec_000121.md,RVQ-Alpha: Bridging Single-Cell Transcriptomics and Large Language Models via Discrete Tokenization and Verifiable Reinforcement Learning,10.64898/2026.04.20.719773,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_000086,full_2026-07-06__rec_000086,rec_000086,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000086.md,ProCyon: A multimodal foundation model for protein phenotypes.,10.1101/2024.12.10.627665,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_000709,full_2026-07-06__rec_000709,rec_000709,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000709.md,Protein-nucleic acid language model-assisted design of precise and compact adenine base editor,10.1038/s41467-025-65311-z,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_001277,full_2026-07-06__rec_001277,rec_001277,uncertain,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_001277.md,WITHDRAWN: OKR-Cell: Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training,10.64898/2026.01.09.698573,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_001291,full_2026-07-06__rec_001291,rec_001291,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001291.md,Unsupervised Whole-Genome Representation Learning Captures Bacterial Phenotypes,10.1101/2025.04.01.646674,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_001618,full_2026-07-06__rec_001618,rec_001618,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001618.md,A foundational model for joint sequence-function multi-species modeling at scale for long-range genomic prediction,10.64898/2025.12.22.695963,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_001838,full_2026-07-06__rec_001838,rec_001838,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001838.md,Cell2Text: Multimodal LLM for Generating Single-Cell Descriptions from RNA-Seq Data,10.48550/arXiv.2509.24840,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_001935,full_2026-07-06__rec_001935,rec_001935,uncertain,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_001935.md,dnaGrinder: a lightweight and high-capacity genomic foundation model,10.48550/arXiv.2409.15697,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
full_2026-07-06__rec_002511,full_2026-07-06__rec_002511,rec_002511,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_002511.md,Generative pretraining from large-scale transcriptomes: Implications for single-cell deciphering and clinical translation,10.1101/2022.01.31.478596,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_003091,full_2026-07-06__rec_003091,rec_003091,uncertain,data/docling_uncertain_problem_retry_no_vlm_2026-07-08/markdown/rec_003091_web_found.md,Tabula: A Tabular Self-Supervised Foundation Model for Single-Cell Transcriptomics,,EXCLUDE,EC2_no_text_component,none,adjudicator,"This is a primary single-cell transcriptomics foundation model, but the evidence only shows gene/cell token modeling over a cell-by-gene matrix. No natural-language text or text-bio bridge is described, and the learning objectives are reconstruction plus contrastive self-supervision rather than explicit generation.","""cell-by-gene matrix""; ""While the current implementation models only gene tokens""; ""column-wise gene reconstruction and row-wise cell contrastive learning""",EC2_no_text_component,none,none,generative_status_unclear
full_2026-07-06__rec_003121,full_2026-07-06__rec_003121,rec_003121,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_003121.md,A long range foundation model for zero-shot predictions in single-cell and spatial transcriptomics data,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
