record_id,title,study_id_stable,old_routes,current_routes,route_delta,accepted_primary_links,high_confidence_links,moderate_confidence_links,old_unmatched,current_unmatched,old_models,current_models,old_configurations,current_configurations,old_family_counts,current_family_counts,old_model_names,current_model_names
full_2026-07-06__rec_001200,Systematic discovery of single-cell protein networks in cancer with Shusi,True,4,6,2,2,0,2,2,4,1,1,2,5,dense_continuous_carrier=4,dense_continuous_carrier=2; geometric_or_diffusion_state_carrier=4,Shusi,Shusi
full_2026-07-06__rec_001218,Any-to-Any Learning in Computational Pathology via Triplet Multimodal Pretraining,True,8,8,0,6,1,5,2,2,1,1,5,5,discrete_biological_symbol_stream=2; text_native_token_stream=1; visual_raster_carrier=5,dense_continuous_carrier=2; text_native_token_stream=1; visual_raster_carrier=5,ALTER,ALTER
full_2026-07-06__rec_001277,Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training,True,5,5,0,2,0,2,3,3,2,3,4,4,discrete_biological_symbol_stream=2; text_native_token_stream=3,dense_continuous_carrier=3; text_native_token_stream=2,Deepseek-V3; OKR-CELL,Clinical-LongFormer; Deepseek-V3; OKR-CELL
full_2026-07-06__rec_001319,A Multi-Modal AI Copilot for Single-Cell Analysis with Instruction Following,True,3,5,2,1,0,1,2,4,1,1,2,3,dense_continuous_carrier=2; text_native_token_stream=1,dense_continuous_carrier=2; text_native_token_stream=3,InstructCell,InstructCell
full_2026-07-06__rec_001343,A General Single-Cell Analysis Framework via Conditional Diffusion Generative Models,True,6,8,2,3,2,1,3,5,1,1,6,8,dense_continuous_carrier=5; geometric_or_diffusion_state_carrier=1,dense_continuous_carrier=8,scDiff,scDiff
full_2026-07-06__rec_001352,Towards Generalist Biomedical AI,True,14,29,15,14,4,10,0,15,1,1,13,17,text_native_token_stream=2; visual_raster_carrier=12,text_native_token_stream=15; visual_raster_carrier=14,Med-PaLM M,Med-PaLM M
full_2026-07-06__rec_001381,Language-Enhanced Representation Learning for Single-Cell Transcriptomics,True,7,8,1,5,0,5,2,3,1,4,5,7,dense_continuous_carrier=4; text_native_token_stream=3,dense_continuous_carrier=4; discrete_biological_symbol_stream=1; text_native_token_stream=3,scMMGPT,LLaMA-2 7B; scGPT; scMMGPT; text LLM
full_2026-07-06__rec_001519,BioGPT: A Generative Transformer-Based Framework for Personalized Genomic Medicine and Rare Disease Diagnosis,True,4,2,-2,2,0,2,2,0,1,1,2,2,discrete_biological_symbol_stream=2; text_native_token_stream=2,discrete_biological_symbol_stream=1; text_native_token_stream=1,BioGPT,BioGPT
full_2026-07-06__rec_001617,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning,True,4,26,22,3,0,3,1,23,2,8,4,26,text_native_token_stream=4,text_native_token_stream=26,Cell-o1; OpenAI's o1,Cell-o1; GPT-4o; GPT-4o-mini; Llama3.1-8B-Instruct; OpenAI's o1; Qwen2.5-7B-Instruct; o1; o3-mini
full_2026-07-06__rec_001687,CaLMFlow: Volterra Flow Matching using Causal Language Models,True,8,6,-2,2,1,1,6,4,1,1,7,5,dense_continuous_carrier=3; geometric_or_diffusion_state_carrier=2; text_native_token_stream=2; visual_raster_carrier=1,dense_continuous_carrier=2; geometric_or_diffusion_state_carrier=2; text_native_token_stream=2,CaLMFlow,CaLMFlow
full_2026-07-06__rec_001773,Omni-DNA: A Unified Genomic Foundation Model for Cross-Modal and Multi-Task Learning,True,5,6,1,2,0,2,3,4,5,1,5,6,discrete_biological_symbol_stream=5,discrete_biological_symbol_stream=2; text_native_token_stream=4,Omni-DNA; Omni-DNA (1B); Omni-DNA@ft; Omni-DNA@mult; Omni-DNA@sgl.,Omni-DNA
full_2026-07-06__rec_001830,Rethinking Genomic Modeling Through Optical Character Recognition,True,12,6,-6,6,0,6,6,0,1,1,6,6,visual_raster_carrier=12,visual_raster_carrier=6,OpticalDNA,OpticalDNA
full_2026-07-06__rec_001838,Cell2Text: Multimodal LLM for Generating Single-Cell Descriptions from RNA-Seq Data,True,2,3,1,0,0,0,2,3,1,3,2,3,dense_continuous_carrier=1; text_native_token_stream=1,dense_continuous_carrier=3,Cell2Text,Cell2Text-Gemma-4B; Cell2Text-Llama-1B; Cell2Text-Llama-1B-LoRA
full_2026-07-06__rec_001889,scMOBA: A conversational single-cell Multi-Omics Brain Agent across species,True,7,13,6,3,1,2,4,10,1,1,4,9,dense_continuous_carrier=3; discrete_biological_symbol_stream=3; text_native_token_stream=1,discrete_biological_symbol_stream=12; text_native_token_stream=1,scMOBA,scMOBA
full_2026-07-06__rec_002049,BIOVERSE: Representation Alignment of Biomedical Modalities to LLMs for Multi-Modal Reasoning,True,9,9,0,7,0,7,2,2,1,1,7,7,dense_continuous_carrier=9,dense_continuous_carrier=9,BIOVERSE,BIOVERSE
full_2026-07-06__rec_002105,Multimodal learning of transcriptomes and text enables interactive single-cell RNA-seq data exploration with natural-language chats,True,10,7,-3,3,0,3,7,4,4,3,9,7,dense_continuous_carrier=3; text_native_token_stream=7,dense_continuous_carrier=4; text_native_token_stream=3,CellWhisperer; GPT-4; Mistral 7B; Mixtral 8x7b,GPT-4; Mistral 7B; Mixtral 8x7b
full_2026-07-06__rec_002243,"Human Genome Book:Words,Sentences and Paragraphs",True,10,13,3,9,6,3,1,4,4,4,10,10,discrete_biological_symbol_stream=5; text_native_token_stream=5,discrete_biological_symbol_stream=5; text_native_token_stream=8,gene_eng_gpt2_para_seg; gene_eng_gpt2_summary; gpt2-gene-eng; gpt2-gene-eng-ft,gene_eng_gpt2_para_seg; gene_eng_gpt2_summary; gpt2-gene-eng; gpt2-gene-eng-ft
full_2026-07-06__rec_002304,"Genolator: A Multimodal Large Language Model Fusing Natural Language, Genomic, and Structural Tokens for Protein Function Interpretation",True,4,4,0,1,0,1,3,3,1,1,1,1,dense_continuous_carrier=3; text_native_token_stream=1,dense_continuous_carrier=3; text_native_token_stream=1,Genolator,Genolator
full_2026-07-06__rec_002327,OmniNA: A foundation model for nucleotide sequences,True,5,6,1,5,1,4,0,1,2,1,3,4,text_native_token_stream=5,text_native_token_stream=6,OmniNA; OmniNA-1.7B,OmniNA
full_2026-07-06__rec_002517,ChatCell: Facilitating Single-Cell Analysis with Natural Language,True,8,6,-2,5,1,4,3,1,2,1,8,4,text_native_token_stream=8,text_native_token_stream=6,CHATCELL; GPT-3.5turbo,CHATCELL
full_2026-07-06__rec_003008,Aligning LLMs with Biomedical Knowledge using Balanced Fine-Tuning,True,12,12,0,2,0,2,10,10,8,5,12,10,text_native_token_stream=12,text_native_token_stream=12,70B Llama; BFT 70B; DeepSeek-R1-Distill 70B; DeepSeek-R1-Distill series; GPT-5.1; GPT-OSS-120B; OpenAI TEXT-EMBEDDING-ADA-002; SFT-aligned 70B model,"DeepSeek; DeepSeek-R1-Distill (1.5B); DeepSeek-R1-Distill 70B; DeepSeek-R1-Distill series (14B, 32B, and 70B); GPT-OSS-120B"
full_2026-07-06__rec_003043,Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research,True,15,9,-6,6,0,6,9,3,14,8,15,9,text_native_token_stream=13; visual_raster_carrier=2,text_native_token_stream=7; visual_raster_carrier=2,Gemma-7B (LoRA); Gemma-7B (RAG); LLaMA2-13B (LoRA); LLaMA2-13B (RAG); LLaMA2-7B (LoRA); LLaMA2-7B (RAG); LLaMA2-7B (full); LLaMA3-8B (LoRA); LLaMA3-8B (RAG); LLaMAPro-8B (LoRA); LLaMAPro-8B (RAG); LLaVA-7B (LoRA); Mistral-7B (LoRA); Mistral-7B (RAG),Gemma-7B; Geneverse; LLaMA2-13B; LLaMA2-7B; LLaMA3-8B; LLaMAPro-8B; LLaVA-7B (LoRA); Mistral-7B
full_2026-07-06__rec_003131,GP-GPT: Large Language Model for Gene-Phenotype Mapping,True,11,9,-2,9,6,3,2,0,1,1,9,7,text_native_token_stream=11,text_native_token_stream=9,GP-GPT,GP-GPT
full_2026-07-06__rec_003188,Multimodal Cell Context Instruction Tuning for Conditional DNA Regulatory Sequence Generation with Large Language Models,True,3,6,3,1,0,1,2,5,1,2,1,4,dense_continuous_carrier=2; discrete_biological_symbol_stream=1,dense_continuous_carrier=4; discrete_biological_symbol_stream=2,LEONINE,LEONINE; LEONINE-GPT-2
full_2026-07-06__rec_003206,Cell2Sentence: teaching large language models the language of biology,True,8,12,4,6,0,6,2,6,2,2,6,12,text_native_token_stream=8,text_native_token_stream=12,GPT-2 Medium; GPT-2 Small,GPT-2 Medium; GPT-2 Small
full_2026-07-06__rec_003214,Biomedgpt: Open multimodal generative pre-trained transformer for biomedicine,True,4,8,4,4,1,3,0,4,2,2,4,8,dense_continuous_carrier=2; text_native_token_stream=2,dense_continuous_carrier=4; text_native_token_stream=4,BioMedGPT-10B; BioMedGPT-LM-7B,BioMedGPT-10B; BioMedGPT-LM-7B
full_2026-07-06__rec_003323,Teampath: Building multimodal pathology experts with reasoning ai copilots,True,21,10,-11,7,0,7,14,3,3,2,8,6,text_native_token_stream=15; visual_raster_carrier=6,text_native_token_stream=6; visual_raster_carrier=4,R(); TeamPath; o4-mini,TeamPath-7B; o4-mini
full_2026-07-06__rec_003394,A foundation model for nucleotide sequences.,True,8,21,13,4,2,2,4,17,2,2,4,20,discrete_biological_symbol_stream=4; text_native_token_stream=4,discrete_biological_symbol_stream=19; text_native_token_stream=2,OmniNA; OmniNA-1.7B,OmniNA; OmniNA-1.7B
full_2026-07-06__rec_003434,The End of Aging Clocks: Training Foundation Models to Reason in Aging and Longevity,True,18,9,-9,8,1,7,10,1,2,1,18,9,text_native_token_stream=18,text_native_token_stream=9,Longevity-LLM v0.1; Qwen3-14B RFT,Longevity-LLM v0.1
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,True,14,29,15,5,1,4,9,24,2,2,9,20,dense_continuous_carrier=7; discrete_biological_symbol_stream=3; text_native_token_stream=4,dense_continuous_carrier=20; text_native_token_stream=9,X-Cell; X-Cell-Ultra,X-Cell; X-Cell-Ultra
full_2026-07-06__rec_003629,Phenotype-Guided In Silico Molecular Generation Using Large Language Models,True,5,10,5,2,0,2,3,8,1,2,5,8,text_native_token_stream=5,text_native_token_stream=10,GEMGen,GEMGen; compound-phenotype scoring model
full_2026-07-06__rec_003852,A Generative Foundation Model for Multimodal Histopathology,True,12,11,-1,10,2,8,2,1,1,1,11,9,dense_continuous_carrier=6; geometric_or_diffusion_state_carrier=1; text_native_token_stream=3; visual_raster_carrier=2,dense_continuous_carrier=6; geometric_or_diffusion_state_carrier=1; text_native_token_stream=3; visual_raster_carrier=1,MUPAD,MUPAD
july_update_2026-07-06__rec_000050,How Post-Training Shapes Biological Reasoning Models,True,8,9,1,8,6,2,0,1,4,4,6,5,dense_continuous_carrier=3; text_native_token_stream=5,dense_continuous_carrier=4; text_native_token_stream=5,"Qwen3-1.7B; Qwen3-1.7B and Qwen3-4B; Qwen3-1.7B and Qwen3-4B-Thinking; Qwen3-1.7B, Qwen3-4B, and Gemma 4 E2B","Qwen3-1.7B; Qwen3-1.7B and Qwen3-4B; Qwen3-1.7B and Qwen3-4B-Thinking; Qwen3-1.7B, Qwen3-4B, and Gemma 4 E2B"
july_update_2026-07-06__rec_000060,CellTosg2Sequence: A Unified Text-Omics-Signaling-Graph Large Language Model for Single-Cell Analysis,True,6,15,9,3,0,3,3,12,1,1,3,12,dense_continuous_carrier=2; text_native_token_stream=4,dense_continuous_carrier=2; text_native_token_stream=13,CellTosg2Sequence,CellTosg2Sequence
june_update_2026-06-10__rec_000121,RVQ-Alpha: Bridging Single-Cell Transcriptomics and Large Language Models via Discrete Tokenization and Verifiable Reinforcement Learning,True,7,7,0,7,7,0,0,0,2,2,6,6,discrete_biological_symbol_stream=3; text_native_token_stream=4,discrete_biological_symbol_stream=3; text_native_token_stream=4,RVQ-Alpha; replaceable LLM backend,RVQ-Alpha; replaceable LLM backend
june_update_2026-06-10__rec_000133,GenNA: Conditional generation of nucleotide sequences guided by natural-language annotations,True,11,11,0,9,3,6,2,2,1,1,10,10,discrete_biological_symbol_stream=1; text_native_token_stream=10,discrete_biological_symbol_stream=1; text_native_token_stream=10,GenNA,GenNA
june_update_2026-06-10__rec_000148,"SciCore-Omics: a tri-modal foundation model unifying histology, spatial transcriptomics and language for spatial biology",True,19,11,-8,9,0,9,10,2,1,1,13,9,dense_continuous_carrier=5; text_native_token_stream=4; visual_raster_carrier=10,dense_continuous_carrier=4; visual_raster_carrier=7,SciCore-Omics,SciCore-Omics
june_update_2026-06-10__rec_000152,H2O: A Foundation Model Bridging Histopathology to Spatial Multi-Omics Profiling,True,10,7,-3,5,0,5,5,2,4,3,10,7,discrete_biological_symbol_stream=1; visual_raster_carrier=9,discrete_biological_symbol_stream=1; visual_raster_carrier=6,H2O; H2O-PRAD; H2O-ccRCC; scGPT-FT,H2O; in-house DINO-V2-based histopathology FM; scGPT-FT
june_update_2026-06-10__rec_000194,Bio-BLIP: A Multimodal Architecture for Transferable Reasoning in Genomic Variant Interpretation,True,5,6,1,3,0,3,2,3,2,1,2,2,dense_continuous_carrier=3; discrete_biological_symbol_stream=1; text_native_token_stream=1,dense_continuous_carrier=6,AlphaGenome; Bio-BLIP,Bio-BLIP
june_update_2026-06-10__rec_000246,OmicsLM: A Multimodal Large Language Model for Multi-Sample Omics Reasoning,True,5,8,3,3,0,3,2,5,1,1,5,8,dense_continuous_carrier=2; text_native_token_stream=3,dense_continuous_carrier=2; text_native_token_stream=6,OmicsLM,OmicsLM
june_update_2026-06-10__rec_000248,Cell2Text: Multimodal LLM for generating textual descriptions from single-cell RNA-Seq profiles,True,7,2,-5,1,0,1,6,1,4,1,4,2,dense_continuous_carrier=3; text_native_token_stream=4,dense_continuous_carrier=1; text_native_token_stream=1,Cell2Text; Cell2Text-Gemma-4B; Cell2Text-Llama-1B; Cell2Text-Llama-1B-LoRa,Cell2Text
june_update_2026-06-10__rec_000350,OmniGene-4: a unified bio-language MoE model with router-level interpretability,True,18,23,5,18,0,18,0,5,2,2,7,9,discrete_biological_symbol_stream=5; text_native_token_stream=13,discrete_biological_symbol_stream=5; text_native_token_stream=18,OmniGene-4; OmniGene-4 v3,OmniGene-4; OmniGene-4 v3
update_2026-08-09__manual_recall_xunzi,"XunZi, an AI biologist, reveals disease-modifying targets",False,0,10,10,0,,,0,10,,,,,,,,
update_2026-08-09__rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,False,0,10,10,0,,,0,10,,,,,,,,
update_2026-08-09__rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",False,0,17,17,0,,,0,17,,,,,,,,
