record_id,status,old_study_ids,current_study_ids,title,old_routes,current_routes
full_2026-07-06__rec_001687,shared_stable_study_id,study_d75a5cb4cc6a,study_d75a5cb4cc6a,CaLMFlow: Volterra Flow Matching using Causal Language Models,8,6
full_2026-07-06__rec_001773,shared_stable_study_id,study_c438b06dcc03,study_c438b06dcc03,Omni-DNA: A Unified Genomic Foundation Model for Cross-Modal and Multi-Task Learning,5,6
full_2026-07-06__rec_001830,shared_stable_study_id,study_4162fc52fa19,study_4162fc52fa19,Rethinking Genomic Modeling Through Optical Character Recognition,12,6
full_2026-07-06__rec_001838,shared_stable_study_id,study_4250fe0b5a77,study_4250fe0b5a77,Cell2Text: Multimodal LLM for Generating Single-Cell Descriptions from RNA-Seq Data,2,3
full_2026-07-06__rec_001889,shared_stable_study_id,study_d28c97a665ce,study_d28c97a665ce,scMOBA: A conversational single-cell Multi-Omics Brain Agent across species,7,13
full_2026-07-06__rec_002049,shared_stable_study_id,study_f456cf1340ce,study_f456cf1340ce,BIOVERSE: Representation Alignment of Biomedical Modalities to LLMs for Multi-Modal Reasoning,9,9
full_2026-07-06__rec_002105,shared_stable_study_id,study_266ca9b669f4,study_266ca9b669f4,Multimodal learning of transcriptomes and text enables interactive single-cell RNA-seq data exploration with natural-language chats,10,7
full_2026-07-06__rec_002243,shared_stable_study_id,study_2db24aaf3a41,study_2db24aaf3a41,"Human Genome Book:Words,Sentences and Paragraphs",10,13
full_2026-07-06__rec_002304,shared_stable_study_id,study_6a167f2added,study_6a167f2added,"Genolator: A Multimodal Large Language Model Fusing Natural Language, Genomic, and Structural Tokens for Protein Function Interpretation",4,4
full_2026-07-06__rec_002327,shared_stable_study_id,study_c317900baf0b,study_c317900baf0b,OmniNA: A foundation model for nucleotide sequences,5,6
full_2026-07-06__rec_002517,shared_stable_study_id,study_cb14749fff1d,study_cb14749fff1d,ChatCell: Facilitating Single-Cell Analysis with Natural Language,8,6
full_2026-07-06__rec_003008,shared_stable_study_id,study_b6246bd13ef4,study_b6246bd13ef4,Aligning LLMs with Biomedical Knowledge using Balanced Fine-Tuning,12,12
full_2026-07-06__rec_003043,shared_stable_study_id,study_3bbf77870504,study_3bbf77870504,Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research,15,9
full_2026-07-06__rec_003131,shared_stable_study_id,study_d3496a7d304f,study_d3496a7d304f,GP-GPT: Large Language Model for Gene-Phenotype Mapping,11,9
full_2026-07-06__rec_003188,shared_stable_study_id,study_36da55ad5ac4,study_36da55ad5ac4,Multimodal Cell Context Instruction Tuning for Conditional DNA Regulatory Sequence Generation with Large Language Models,3,6
full_2026-07-06__rec_003206,shared_stable_study_id,study_dd3851edd677,study_dd3851edd677,Cell2Sentence: teaching large language models the language of biology,8,12
full_2026-07-06__rec_003214,shared_stable_study_id,study_89ea5bd2179f,study_89ea5bd2179f,Biomedgpt: Open multimodal generative pre-trained transformer for biomedicine,4,8
full_2026-07-06__rec_003323,shared_stable_study_id,study_27fd0c39d9c3,study_27fd0c39d9c3,Teampath: Building multimodal pathology experts with reasoning ai copilots,21,10
full_2026-07-06__rec_003394,shared_stable_study_id,study_5b610ed9c766,study_5b610ed9c766,A foundation model for nucleotide sequences.,8,21
full_2026-07-06__rec_003434,shared_stable_study_id,study_74691182f5b8,study_74691182f5b8,The End of Aging Clocks: Training Foundation Models to Reason in Aging and Longevity,18,9
full_2026-07-06__rec_003517,shared_stable_study_id,study_bcfca4a74dd0,study_bcfca4a74dd0,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,14,29
full_2026-07-06__rec_003629,shared_stable_study_id,study_6fd67e763424,study_6fd67e763424,Phenotype-Guided In Silico Molecular Generation Using Large Language Models,5,10
full_2026-07-06__rec_003852,shared_stable_study_id,study_d208190fc72d,study_d208190fc72d,A Generative Foundation Model for Multimodal Histopathology,12,11
july_update_2026-07-06__rec_000050,shared_stable_study_id,study_cccbb8d94eda,study_cccbb8d94eda,How Post-Training Shapes Biological Reasoning Models,8,9
july_update_2026-07-06__rec_000060,shared_stable_study_id,study_c16cbcac015c,study_c16cbcac015c,CellTosg2Sequence: A Unified Text-Omics-Signaling-Graph Large Language Model for Single-Cell Analysis,6,15
june_update_2026-06-10__rec_000121,shared_stable_study_id,study_9cc3c78888c3,study_9cc3c78888c3,RVQ-Alpha: Bridging Single-Cell Transcriptomics and Large Language Models via Discrete Tokenization and Verifiable Reinforcement Learning,7,7
june_update_2026-06-10__rec_000133,shared_stable_study_id,study_476f8441c752,study_476f8441c752,GenNA: Conditional generation of nucleotide sequences guided by natural-language annotations,11,11
june_update_2026-06-10__rec_000148,shared_stable_study_id,study_b476c65521c3,study_b476c65521c3,"SciCore-Omics: a tri-modal foundation model unifying histology, spatial transcriptomics and language for spatial biology",19,11
june_update_2026-06-10__rec_000152,shared_stable_study_id,study_1e6901520f8e,study_1e6901520f8e,H2O: A Foundation Model Bridging Histopathology to Spatial Multi-Omics Profiling,10,7
june_update_2026-06-10__rec_000194,shared_stable_study_id,study_44ce36825624,study_44ce36825624,Bio-BLIP: A Multimodal Architecture for Transferable Reasoning in Genomic Variant Interpretation,5,6
june_update_2026-06-10__rec_000246,shared_stable_study_id,study_257d7c4ee751,study_257d7c4ee751,OmicsLM: A Multimodal Large Language Model for Multi-Sample Omics Reasoning,5,8
june_update_2026-06-10__rec_000248,shared_stable_study_id,study_4250fe0b5a77,study_4250fe0b5a77,Cell2Text: Multimodal LLM for generating textual descriptions from single-cell RNA-Seq profiles,7,2
june_update_2026-06-10__rec_000350,shared_stable_study_id,study_3f11aba2d4f5,study_3f11aba2d4f5,OmniGene-4: a unified bio-language MoE model with router-level interpretability,18,23
update_2026-08-09__manual_recall_xunzi,current_only_record,,study_db50018753cc,"XunZi, an AI biologist, reveals disease-modifying targets",0,10
update_2026-08-09__rec_000106,current_only_record,,study_ab49825e939e,scMIR: a vision-language foundation model for single-cell light microscopy image representation,0,10
update_2026-08-09__rec_000138,current_only_record,,study_6673da673ba0,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",0,17
