"id","label","type","__class__","route_label","model_name","lifecycle_phase","task_or_configuration_verbatim","source_object_verbatim","source_object_normalized","source_modality_normalized","transformation_chain_verbatim","transformation_chain_normalized","model_visible_form_verbatim","carrier_family","carrier_subtype","insertion_or_fusion_verbatim","fusion_topology","text_role","input_status","evidence_quote","section_heading","supporting_figure_or_table","evidence_status","uncertainty","__provenance__","taxonomy_version","title","doi","input_routes"
"TaxonomyCodedRoute_2e6104988dddc1c0","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","EvenClock: text-only spatial reasoning 3","OCellus","evaluation","representing two-dimensional coordinates in text","two-dimensional coordinates","spatial transcriptomics neighborhoods","spatial transcriptomics","[]","[]","text encoding","text_native_token_stream","serialized_biological_context_or_ordered_profile","neighboring-cell gene lists are concatenated into a text prefix","prefix","metadata_or_context","actual_model_input","EvenClock discretizes the continuous two-dimensional plane into a clockface of six angular directions","","","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [21], ""pages"": [18, 19], ""refs"": [""#/texts/339"", ""#/texts/340"", ""#/texts/341"", ""#/texts/342"", ""#/texts/343"", ""#/texts/344"", ""#/texts/345"", ""#/texts/346""], ""spans"": [{""chunk"": 21, ""start"": 623, ""end"": 724}]}","","","",""
"TaxonomyCodedRoute_7787856dbea2f2b0","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Figure 4 . EvenClock spatial encoding and full-slice celltype prediction.","OCellus","inference","full-slice celltype prediction on a MOSTA E12.5 mouse-embryo Stereo-seq slice","real MOSTA E12.5 mouse-embryo Stereo-seq slice (23,640 cells, all submitted to OCellus inference)","MOSTA E12.5 mouse-embryo Stereo-seq slice","spatial transcriptomics","[]","[]","EvenClock spatial encoding and full-slice celltype prediction","text_native_token_stream","serialized_biological_context_or_ordered_profile","the center cell's full ranked-gene sentence and its complete neighborhood context fit within the model's effective input length together","prefix","metadata_or_context","actual_model_input","MOSTA E12.5 mouse-embryo Stereo-seq slice of 23,640 cells submitted in full to OCellus inference","","","text_plus_figure","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [22], ""pages"": [19, 20], ""refs"": [""#/texts/386"", ""#/texts/389"", ""#/texts/390"", ""#/texts/391"", ""#/texts/392"", ""#/texts/393"", ""#/texts/394"", ""#/pictures/6""], ""spans"": [{""chunk"": 22, ""start"": 994, ""end"": 1067}]}","","","",""
"TaxonomyCodedRoute_760f676f20c0688f","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Perturbation prediction with natural-language explanations","OCellus-GNN","evaluation","Perturbation prediction with natural-language explanations","completely unseen genetic perturbations","completely unseen genetic perturbations","single-cell perturbation transcriptomics","[]","[]","per-gene embeddings","dense_continuous_carrier","direct_projected_embedding","providing per-gene embeddings that capture co-expression, pathway membership, and regulatory role","side_or_generative_conditioning","generated_output","actual_model_input","The most consequential test of a virtual cell is predicting transcriptional responses to completely unseen genetic perturbations.","Perturbation prediction with natural-language explanations","Figure 5","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [24], ""pages"": [21, 22, 23], ""refs"": [""#/texts/429"", ""#/texts/432"", ""#/texts/433"", ""#/texts/434"", ""#/texts/435"", ""#/texts/436"", ""#/texts/437"", ""#/texts/438""], ""spans"": [{""chunk"": 24, ""start"": 227, ""end"": 356}]}","","","",""
"TaxonomyCodedRoute_7a5fafa0e5dd7d39","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Figure 5 . Perturbation prediction: OCellus-GNN benchmark, response network, pathway heatmap, and response manifold.","OCellus-GNN","evaluation","Figure 5 . Perturbation prediction: OCellus-GNN benchmark, response network, pathway heatmap, and response manifold.","top-20 differentially expressed genes per perturbation","top-20 differentially expressed genes per perturbation","single-cell perturbation transcriptomics","[]","[]","top-20 differentially expressed genes per perturbation","dense_continuous_carrier","direct_projected_embedding","OCellus-GNN 0.945 (n=457 test perturbations, Replogle 2022 K562)","side_or_generative_conditioning","metadata_or_context","actual_model_input","OCellus-GNN 0.945 (n=457 test perturbations, Replogle 2022 K562), GEARS 0.84 (reproduced), scGPT 0.80 and CPA 0.78","Perturbation prediction with natural-language explanations","Figure 5","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [25], ""pages"": [23], ""refs"": [""#/pictures/7""], ""spans"": [{""chunk"": 25, ""start"": 431, ""end"": 495}]}","","","",""
"TaxonomyCodedRoute_1562dd7cb045f4c6","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Figure 6a","OCellus","evaluation","Figure 6a","TP53-knockout case study","TP53 knockout case study","gene perturbation case study","[]","[]","the LoRA-enabled head predicts log2 fold-change values for the top response genes","dense_continuous_carrier","other_evidence_grounded","Using dynamic LoRA switching","other_explicit","generated_output","actual_model_input","Figure 6a illustrates this two-step process for a TP53-knockout case study:","Perturbation prediction with natural-language explanations","Figure 6a","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [28], ""pages"": [24, 25, 26], ""refs"": [""#/texts/489"", ""#/texts/492"", ""#/texts/493"", ""#/texts/494"", ""#/texts/495"", ""#/texts/496"", ""#/texts/497"", ""#/texts/498""], ""spans"": [{""chunk"": 28, ""start"": 1984, ""end"": 1993}]}","","","",""
"TaxonomyCodedRoute_79bd519cded3f9fb","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Figure 6b","OCellus","evaluation","Figure 6b","BRCA1-knockout case study","BRCA1 knockout case study","gene perturbation case study","[]","[]","the model predicts upregulation of MDM2, RAD51, and FANCD2","dense_continuous_carrier","other_evidence_grounded","Using dynamic LoRA switching","other_explicit","generated_output","actual_model_input","Figure 6b shows an analogous BRCA1-knockout case:","Perturbation prediction with natural-language explanations","Figure 6b","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [28], ""pages"": [24, 25, 26], ""refs"": [""#/texts/489"", ""#/texts/492"", ""#/texts/493"", ""#/texts/494"", ""#/texts/495"", ""#/texts/496"", ""#/texts/497"", ""#/texts/498""], ""spans"": [{""chunk"": 28, ""start"": 2520, ""end"": 2529}]}","","","",""
"TaxonomyCodedRoute_f8a61a69a99872aa","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Figure 6c","OCellus","evaluation","Protein-interaction response network centered on TP53 (STRING v12, confidence ≥ 0.70)","Figure 6c","TP53-centered protein-interaction response network","visual","[]","[]","Protein-interaction response network centered on TP53 (STRING v12, confidence ≥ 0.70)","visual_raster_carrier","patch_context_or_case_level_visual_reasoning","Figure 6c","unclear","generated_output","generated_output","Protein-interaction response network centered on TP53 (STRING v12, confidence ≥ 0.70)","Results","Figure 6","text_plus_figure","Coded as a visual figure-panel route from the paper caption and panel description.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [29], ""pages"": [26, 27], ""refs"": [""#/texts/541"", ""#/texts/544"", ""#/texts/545"", ""#/texts/546"", ""#/texts/547"", ""#/texts/548"", ""#/texts/549""], ""spans"": [{""chunk"": 29, ""start"": 510, ""end"": 519}]}","","","",""
"TaxonomyCodedRoute_172658092f2f5c85","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Table 2 . Perturbation case study -top-5 response genes following TP53 knockout in K562/HeLA.","OCellus","evaluation","Perturbation case study -top-5 response genes following TP53 knockout in K562/HeLA.","Table 2 . Perturbation case study -top-5 response genes following TP53 knockout in K562/HeLA.","top-five response genes following TP53 knockout in K562/HeLA","text","['LoRA-enabled mode', 'LoRA-disabled mode']","['prediction', 'biological interpretation']","MDM2, Predicted FC bin = down_2. CDKN1A (p21), Predicted FC bin = down_2. BAX, Predicted FC bin = down_1. SERPINE1, Predicted FC bin = up_2. PMAIP1 (NOXA), Predicted FC bin = down_1.","text_native_token_stream","serialized_biological_context_or_ordered_profile","Table 2","tokenizer_sequence","generated_output","generated_output","Table 2 . Perturbation case study -top-5 response genes following TP53 knockout in K562/HeLA.","Results","Table 2","explicit_text","The table contents are serialized in the document text rather than shown as a separate rendered table.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [29], ""pages"": [26, 27], ""refs"": [""#/texts/541"", ""#/texts/544"", ""#/texts/545"", ""#/texts/546"", ""#/texts/547"", ""#/texts/548"", ""#/texts/549""], ""spans"": [{""chunk"": 29, ""start"": 2455, ""end"": 2548}]}","","","",""
"TaxonomyCodedRoute_d7c041d6fd598338","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","TP53-knockout prediction case study","OCellus","evaluation","TP53-knockout prediction case study","TP53-knockout prediction case study","TP53 knockout prediction case study","visual","[]","[]","(a) TP53-knockout prediction case study.","visual_raster_carrier","patch_context_or_case_level_visual_reasoning","Figure 6a","unclear","generated_output","generated_output","(a) TP53-knockout prediction case study.","Results","Figure 6a","text_plus_figure","The route corresponds to the Figure 6a panel and its captioned case-study description.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [31], ""pages"": [28], ""refs"": [""#/pictures/8""], ""spans"": [{""chunk"": 31, ""start"": 354, ""end"": 389}]}","","","",""
"TaxonomyCodedRoute_9789c6fa899d5ef0","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","BRCA1-knockout prediction case study","OCellus","evaluation","BRCA1-knockout prediction case study","BRCA1-knockout prediction case study","BRCA1 knockout prediction case study","visual","[]","[]","(b) BRCA1-knockout prediction case study.","visual_raster_carrier","patch_context_or_case_level_visual_reasoning","Figure 6b","unclear","generated_output","generated_output","(b) BRCA1-knockout prediction case study.","Results","Figure 6b","text_plus_figure","The route corresponds to the Figure 6b panel and its captioned case-study description.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [31], ""pages"": [28], ""refs"": [""#/pictures/8""], ""spans"": [{""chunk"": 31, ""start"": 887, ""end"": 923}]}","","","",""
"TaxonomyCodedRoute_98165209c48d9477","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Protein-interaction response network centered on TP53","OCellus","evaluation","Perturbation prediction with natural-language explanations","TP53","TP53-centered protein interaction network","protein-protein interaction network","[]","[]","Protein-interaction response network centered on TP53 (STRING v12, confidence ≥ 0.70)","visual_raster_carrier","patch_context_or_case_level_visual_reasoning","dark-blue node marks the knocked-out gene (TP53), grey nodes are direct PPI neighbors, and green nodes are predicted response genes","unclear","metadata_or_context","generated_output","Protein-interaction response network centered on TP53","Perturbation prediction with natural-language explanations","Figure 6","text_plus_figure","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [31], ""pages"": [28], ""refs"": [""#/pictures/8""], ""spans"": [{""chunk"": 31, ""start"": 1180, ""end"": 1233}]}","","","",""
"TaxonomyCodedRoute_68e610e6e720437e","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Cross-domain reasoning 1","OCellus","evaluation","cross-species cell-type task","a mouse cell's top-ranked genes on the shared ortholog panel of approximately 250 genes","mouse single-cell gene expression profile","single-cell gene expression","[]","[]","a mouse cell's top-ranked genes on the shared ortholog panel of approximately 250 genes","text_native_token_stream","serialized_biological_context_or_ordered_profile","given a mouse cell's top-ranked genes on the shared ortholog panel of approximately 250 genes","tokenizer_sequence","instruction_or_query","actual_model_input","OCellus is given a mouse cell's top-ranked genes on the shared ortholog panel of approximately 250 genes","Cross-domain reasoning 1","Figure 7","text_plus_figure","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [33, 34], ""pages"": [29, 30, 31], ""refs"": [""#/texts/573"", ""#/pictures/9"", ""#/texts/577"", ""#/texts/578"", ""#/texts/579"", ""#/texts/580"", ""#/texts/581"", ""#/texts/582""], ""spans"": [{""chunk"": 33, ""start"": 127, ""end"": 151}, {""chunk"": 34, ""start"": 127, ""end"": 151}]}","","","",""
"TaxonomyCodedRoute_4fa92cd799c9c3f9","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Figure 7 . Cross-species cell type identification -OCellus on shared ortholog genes","OCellus","evaluation","Cross-species cell type identification -OCellus on shared ortholog genes","Mouse (1000) vs Human (1000)","cross-species single-cell embedding","2D cell embedding scatter plot","[]","[]","Mouse (1000) vs Human (1000)","visual_raster_carrier","patch_context_or_case_level_visual_reasoning","Cells colored by species","unclear","metadata_or_context","generated_output","Figure 7 . Cross-species cell type identification -OCellus on shared ortholog genes","Cross-domain reasoning 1","Figure 7","text_plus_figure","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [34], ""pages"": [30, 31], ""refs"": [""#/texts/594"", ""#/texts/595"", ""#/texts/596"", ""#/texts/597"", ""#/texts/598"", ""#/texts/599"", ""#/texts/600"", ""#/texts/601""], ""spans"": [{""chunk"": 34, ""start"": 173, ""end"": 256}]}","","","",""
"TaxonomyCodedRoute_030e4319786bfff5","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Figure 8 . OCellus-Agent.","OCellus-Agent","evaluation","an agent layer that translates natural-language queries into executable pipelines","natural-language queries","natural-language queries","text-based agent workflow","[]","[]","three layers over a single Qwen3.5-9B backbone","visual_raster_carrier","patch_context_or_case_level_visual_reasoning","translates natural-language queries into executable pipelines","retrieval_or_tool_context","metadata_or_context","generated_output","translates natural-language queries into executable pipelines","OCellus-Agent 7","Figure 8","text_plus_figure","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [36], ""pages"": [32, 33], ""refs"": [""#/pictures/10"", ""#/texts/611"", ""#/texts/612"", ""#/texts/613"", ""#/texts/614"", ""#/texts/615"", ""#/texts/616"", ""#/texts/617""], ""spans"": [{""chunk"": 36, ""start"": 2159, ""end"": 2184}]}","","","",""
"TaxonomyCodedRoute_a6ccfce230b3bd97","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Figure 8a","OCellus-Agent","inference","Planner emits a structured directed acyclic graph of typed tool calls with explicit inter-task dependencies","I have a PBMC h5adshow me Tcell fraction and predict the effect of CD4 knockout","I have a PBMC h5adshow me Tcell fraction and predict the effect of CD4 knockout","natural language text","['Planner emits a structured directed acyclic graph of typed tool calls', 'The output is parsed as JSON', 'Each task in the graph is then dispatched to an expert role by a rule-based Router']","['natural-language query -> directed acyclic graph of typed tool calls', 'JSON parsing', 'rule-based dispatch to expert roles']","I have a PBMC h5adshow me Tcell fraction and predict the effect of CD4 knockout","text_native_token_stream","plain_language_prompt_or_question","parsed as JSON","unclear","instruction_or_query","actual_model_input","the Planner emits a structured directed acyclic graph of typed tool calls","Results","Figure 8a","text_plus_figure","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [37], ""pages"": [33, 34], ""refs"": [""#/texts/629"", ""#/texts/630"", ""#/texts/631"", ""#/texts/632"", ""#/texts/633"", ""#/texts/634"", ""#/texts/635"", ""#/texts/636""], ""spans"": [{""chunk"": 37, ""start"": 1460, ""end"": 1469}]}","","","",""
