record_id,study_id,model_id,model_name,title
full_2026-07-06__rec_001838,study_4250fe0b5a77,model_99366b543213,Cell2Text-Llama-1B,Cell2Text: Multimodal LLM for Generating Single-Cell Descriptions from RNA-Seq Data
full_2026-07-06__rec_001838,study_4250fe0b5a77,model_35105bbde921,Cell2Text-Gemma-4B,Cell2Text: Multimodal LLM for Generating Single-Cell Descriptions from RNA-Seq Data
full_2026-07-06__rec_001889,study_d28c97a665ce,model_5fd880eafa1a,scMOBA,scMOBA: A conversational single-cell Multi-Omics Brain Agent across species
full_2026-07-06__rec_002049,study_f456cf1340ce,model_9be63ad52f90,BIOVERSE,BIOVERSE: Representation Alignment of Biomedical Modalities to LLMs for Multi-Modal Reasoning
full_2026-07-06__rec_002105,study_266ca9b669f4,model_7edc725404f8,Mixtral 8x7b,Multimodal learning of transcriptomes and text enables interactive single-cell RNA-seq data exploration with natural-language chats
full_2026-07-06__rec_002105,study_266ca9b669f4,model_1fb19463c978,GPT-4,Multimodal learning of transcriptomes and text enables interactive single-cell RNA-seq data exploration with natural-language chats
full_2026-07-06__rec_002105,study_266ca9b669f4,model_16a912645955,Mistral 7B,Multimodal learning of transcriptomes and text enables interactive single-cell RNA-seq data exploration with natural-language chats
full_2026-07-06__rec_002243,study_2db24aaf3a41,model_d2833fcd27aa,gpt2-gene-eng,"Human Genome Book:Words,Sentences and Paragraphs"
full_2026-07-06__rec_002243,study_2db24aaf3a41,model_5e9bb9e443dc,gpt2-gene-eng-ft,"Human Genome Book:Words,Sentences and Paragraphs"
full_2026-07-06__rec_002243,study_2db24aaf3a41,model_3841ec0733e7,gene_eng_gpt2_para_seg,"Human Genome Book:Words,Sentences and Paragraphs"
full_2026-07-06__rec_002243,study_2db24aaf3a41,model_58435d2084b0,gene_eng_gpt2_summary,"Human Genome Book:Words,Sentences and Paragraphs"
full_2026-07-06__rec_002304,study_6a167f2added,model_0e34c1fd11f6,Genolator,"Genolator: A Multimodal Large Language Model Fusing Natural Language, Genomic, and Structural Tokens for Protein Function Interpretation"
full_2026-07-06__rec_002327,study_c317900baf0b,model_74758c50e662,OmniNA,OmniNA: A foundation model for nucleotide sequences
full_2026-07-06__rec_002517,study_cb14749fff1d,model_68562cc69016,CHATCELL,ChatCell: Facilitating Single-Cell Analysis with Natural Language
full_2026-07-06__rec_003008,study_b6246bd13ef4,model_c7150172725e,DeepSeek-R1-Distill (1.5B),Aligning LLMs with Biomedical Knowledge using Balanced Fine-Tuning
full_2026-07-06__rec_003008,study_b6246bd13ef4,model_3d02d9393c92,"DeepSeek-R1-Distill series (14B, 32B, and 70B)",Aligning LLMs with Biomedical Knowledge using Balanced Fine-Tuning
full_2026-07-06__rec_003008,study_b6246bd13ef4,model_8553f59d67fa,GPT-OSS-120B,Aligning LLMs with Biomedical Knowledge using Balanced Fine-Tuning
full_2026-07-06__rec_003008,study_b6246bd13ef4,model_0b491a7a5d54,DeepSeek-R1-Distill 70B,Aligning LLMs with Biomedical Knowledge using Balanced Fine-Tuning
full_2026-07-06__rec_003008,study_b6246bd13ef4,model_7ed6448bcdeb,DeepSeek,Aligning LLMs with Biomedical Knowledge using Balanced Fine-Tuning
full_2026-07-06__rec_003043,study_3bbf77870504,model_fa94e391fe47,Geneverse,Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research
full_2026-07-06__rec_003043,study_3bbf77870504,model_c443713ee155,LLaMA2-7B,Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research
full_2026-07-06__rec_003043,study_3bbf77870504,model_4b363c370943,LLaMA2-13B,Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research
full_2026-07-06__rec_003043,study_3bbf77870504,model_364e087c07ba,Mistral-7B,Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research
full_2026-07-06__rec_003043,study_3bbf77870504,model_6cd07bd7db7c,Gemma-7B,Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research
full_2026-07-06__rec_003043,study_3bbf77870504,model_af471cc4e529,LLaMAPro-8B,Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research
full_2026-07-06__rec_003043,study_3bbf77870504,model_78760ba29751,LLaMA3-8B,Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research
full_2026-07-06__rec_003043,study_3bbf77870504,model_f35a32a6436b,LLaVA-7B (LoRA),Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research
full_2026-07-06__rec_003131,study_d3496a7d304f,model_6b93a9600bf1,GP-GPT,GP-GPT: Large Language Model for Gene-Phenotype Mapping
full_2026-07-06__rec_003188,study_36da55ad5ac4,model_0f8f776fb068,LEONINE,Multimodal Cell Context Instruction Tuning for Conditional DNA Regulatory Sequence Generation with Large Language Models
full_2026-07-06__rec_003188,study_36da55ad5ac4,model_9b1025af9fe7,LEONINE-GPT-2,Multimodal Cell Context Instruction Tuning for Conditional DNA Regulatory Sequence Generation with Large Language Models
full_2026-07-06__rec_003206,study_dd3851edd677,model_6694aa9f2590,GPT-2 Small,Cell2Sentence: teaching large language models the language of biology
full_2026-07-06__rec_003206,study_dd3851edd677,model_72e70c356b7a,GPT-2 Medium,Cell2Sentence: teaching large language models the language of biology
full_2026-07-06__rec_003214,study_89ea5bd2179f,model_fba98a35871c,BioMedGPT-LM-7B,Biomedgpt: Open multimodal generative pre-trained transformer for biomedicine
full_2026-07-06__rec_003214,study_89ea5bd2179f,model_77f5da416a80,BioMedGPT-10B,Biomedgpt: Open multimodal generative pre-trained transformer for biomedicine
full_2026-07-06__rec_003323,study_27fd0c39d9c3,model_6a1d79c2e81c,TeamPath-7B,Teampath: Building multimodal pathology experts with reasoning ai copilots
full_2026-07-06__rec_003323,study_27fd0c39d9c3,model_382b827ca741,o4-mini,Teampath: Building multimodal pathology experts with reasoning ai copilots
full_2026-07-06__rec_003394,study_5b610ed9c766,model_958497e0e4e2,OmniNA,A foundation model for nucleotide sequences.
full_2026-07-06__rec_003394,study_5b610ed9c766,model_eb69df38d690,OmniNA-1.7B,A foundation model for nucleotide sequences.
full_2026-07-06__rec_003434,study_74691182f5b8,model_4ae9868de1c9,Longevity-LLM v0.1,The End of Aging Clocks: Training Foundation Models to Reason in Aging and Longevity
full_2026-07-06__rec_003517,study_bcfca4a74dd0,model_4361ad5c9fbb,X-Cell,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models
full_2026-07-06__rec_003517,study_bcfca4a74dd0,model_3c62ea9d84a1,X-Cell-Ultra,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models
full_2026-07-06__rec_003629,study_6fd67e763424,model_a2ae3a8f5414,GEMGen,Phenotype-Guided In Silico Molecular Generation Using Large Language Models
full_2026-07-06__rec_003629,study_6fd67e763424,model_14bc733e1633,compound-phenotype scoring model,Phenotype-Guided In Silico Molecular Generation Using Large Language Models
full_2026-07-06__rec_003852,study_d208190fc72d,model_59fd1ac5f56e,MUPAD,A Generative Foundation Model for Multimodal Histopathology
july_update_2026-07-06__rec_000050,study_cccbb8d94eda,model_b8eba3c26c46,Qwen3-1.7B and Qwen3-4B,How Post-Training Shapes Biological Reasoning Models
july_update_2026-07-06__rec_000050,study_cccbb8d94eda,model_ab432decc9aa,"Qwen3-1.7B, Qwen3-4B, and Gemma 4 E2B",How Post-Training Shapes Biological Reasoning Models
july_update_2026-07-06__rec_000050,study_cccbb8d94eda,model_a493b5670a18,Qwen3-1.7B and Qwen3-4B-Thinking,How Post-Training Shapes Biological Reasoning Models
july_update_2026-07-06__rec_000050,study_cccbb8d94eda,model_ac7794e51425,Qwen3-1.7B,How Post-Training Shapes Biological Reasoning Models
july_update_2026-07-06__rec_000060,study_c16cbcac015c,model_8b27781d1156,CellTosg2Sequence,CellTosg2Sequence: A Unified Text-Omics-Signaling-Graph Large Language Model for Single-Cell Analysis
june_update_2026-06-10__rec_000121,study_9cc3c78888c3,model_4ba985125332,replaceable LLM backend,RVQ-Alpha: Bridging Single-Cell Transcriptomics and Large Language Models via Discrete Tokenization and Verifiable Reinforcement Learning
june_update_2026-06-10__rec_000121,study_9cc3c78888c3,model_7ccbcc7f850b,RVQ-Alpha,RVQ-Alpha: Bridging Single-Cell Transcriptomics and Large Language Models via Discrete Tokenization and Verifiable Reinforcement Learning
june_update_2026-06-10__rec_000133,study_476f8441c752,model_69a439438d24,GenNA,GenNA: Conditional generation of nucleotide sequences guided by natural-language annotations
june_update_2026-06-10__rec_000148,study_b476c65521c3,model_f67272a54ac0,SciCore-Omics,"SciCore-Omics: a tri-modal foundation model unifying histology, spatial transcriptomics and language for spatial biology"
june_update_2026-06-10__rec_000152,study_1e6901520f8e,model_3827a28edefc,H2O,H2O: A Foundation Model Bridging Histopathology to Spatial Multi-Omics Profiling
june_update_2026-06-10__rec_000152,study_1e6901520f8e,model_498b709f811c,scGPT-FT,H2O: A Foundation Model Bridging Histopathology to Spatial Multi-Omics Profiling
june_update_2026-06-10__rec_000152,study_1e6901520f8e,model_5588f179e503,in-house DINO-V2-based histopathology FM,H2O: A Foundation Model Bridging Histopathology to Spatial Multi-Omics Profiling
june_update_2026-06-10__rec_000194,study_44ce36825624,model_699b7d92d927,Bio-BLIP,Bio-BLIP: A Multimodal Architecture for Transferable Reasoning in Genomic Variant Interpretation
june_update_2026-06-10__rec_000246,study_257d7c4ee751,model_064ca265f9bb,OmicsLM,OmicsLM: A Multimodal Large Language Model for Multi-Sample Omics Reasoning
june_update_2026-06-10__rec_000248,study_4250fe0b5a77,model_285e25ae2bfb,Cell2Text,Cell2Text: Multimodal LLM for generating textual descriptions from single-cell RNA-Seq profiles
june_update_2026-06-10__rec_000350,study_3f11aba2d4f5,model_74e685d85fa8,OmniGene-4,OmniGene-4: a unified bio-language MoE model with router-level interpretability
june_update_2026-06-10__rec_000350,study_3f11aba2d4f5,model_fa039bd90d50,OmniGene-4 v3,OmniGene-4: a unified bio-language MoE model with router-level interpretability
update_2026-08-09__manual_recall_xunzi,study_db50018753cc,model_0b0332ce2b16,XunZi-R,"XunZi, an AI biologist, reveals disease-modifying targets"
update_2026-08-09__manual_recall_xunzi,study_db50018753cc,model_d3b03caa65b1,XunZi-M,"XunZi, an AI biologist, reveals disease-modifying targets"
update_2026-08-09__rec_000106,study_ab49825e939e,model_e0f70ec41e97,scMIR,scMIR: a vision-language foundation model for single-cell light microscopy image representation
update_2026-08-09__rec_000138,study_6673da673ba0,model_f924e02d892f,OCellus,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning"
update_2026-08-09__rec_000138,study_6673da673ba0,model_1bd0fe9134d7,OCellus-GNN,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning"
update_2026-08-09__rec_000138,study_6673da673ba0,model_f12e33a1e764,OCellus-Agent,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning"
