candidate_type,route_id,configuration_id,model_id,study_id,record_id,title,route_label,model_name,lifecycle_phase,task_or_configuration_verbatim,source_object_verbatim,source_object_normalized,source_modality_normalized,transformation_chain_verbatim,transformation_chain_normalized,model_visible_form_verbatim,carrier_family,carrier_subtype,insertion_or_fusion_verbatim,fusion_topology,text_role,input_status,evidence_quote,section_heading,supporting_figure_or_table,evidence_status,uncertainty,source_candidate_refs,dense_candidate_refs,pages,doc_item_refs,provenance_match,picture_only_provenance,candidate_quote_match,quote_verified_in_canonical_markdown,quote_verified_in_native_items,taxonomy_consistent,final_grounding_valid,semantic_correction
accepted_input_route,route_a3f58fcbfec1,config_bdaf00473df9,model_df8ed6559ceb,study_b53ceb5b4db2,full_2026-07-06__rec_000063,TISSUENARRATOR: Generative Modeling of Spatial Transcriptomics with Large Language Models.,Spatial Q&A: region summarization,TISSUENARRATOR,evaluation,"given the name of an anatomical structure, generate a natural-language description of the structure",the name of an anatomical structure,anatomical structure name,text,"['form a natural-language question', 'fine-tune on questions derived from held-out structures']","['natural-language question formation', 'task-specific fine-tuning on held-out structures']",natural-language query,text_native_token_stream,structured_biological_prompt_or_task_scaffold,conversational interface,tokenizer_sequence,instruction_or_query,actual_model_input,"To evaluate TISSUENARRATOR's ability to apply biological prior knowledge and learned spatial knowledge in a Q&A setting, we constructed a proof-of-concept dataset covering three tasks: given the name of an anatomical structure, (1) return the top 5 most abundant cell types, (2) list the top 20 highly expressed genes, and (3) generate a natural-language description of the structure. Details of data curation and task examples are provided in Supplementary Note D. We split the dataset by structure name, fine-tuned TISSUENARRATOR, and evaluated the model on questions derived from held-out structures. TISSUENARRATOR generalizes to unseen anatomical structure names in natural language queries by building on the pretrained knowledge of its LLM backbone. For example, it can generate the exact top five cell types for the Dorsal peduncular area ( Fig. 5A) and also produces a coherent, biologically grounded paragraph describing cranial nerves ( Fig. 5B), These examples highlight the model's ability to link spatial context with natural language explanations, a bridge between data-driven cell modeling and user-friendly querying. Moreover, fine-tuning TISSUENARRATOR outperformed directly fine-tuning Qwen-4B-Base . This suggests that the spatial sentence training stage not only teaches the model cell generation, but also enables a deeper spatial understanding that transfers to Q&A tasks ( Supplementary Note D).",TISSUENARRATOR enables interactive Q&A about spatial regions,Fig. 5B,text_plus_figure,,['full_2026-07-06__rec_000063::route_008'],['dense::full_2026-07-06__rec_000063::0002'],"[3, 4, 8, 11, 13]","['#/pictures/0', '#/texts/123', '#/texts/124', '#/texts/125', '#/texts/126', '#/texts/129', '#/texts/130', '#/texts/131', '#/texts/196', '#/texts/198']",['verbatim'],False,True,False,True,True,True,
accepted_input_route,route_9a2e2f038920,config_a5406ac959eb,model_f8e766fddf66,study_f6eff70c6863,full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,PROCYON-INSTRUCT instruction example,PROCYON,fine_tuning,"retrieval, QA, and phenotype generation tasks",protein-phenotype pair,protein-phenotype pair,mixed,"[""rephrase the original descriptions using OpenAI's GPT models"", 'create an instruction tuning example that consists of a natural language task definition, associated protein inputs, and an expected answer']","['rephrase original descriptions', 'instruction tuning example construction']","a natural language task definition, associated protein inputs, and an expected answer",text_native_token_stream,structured_biological_prompt_or_task_scaffold,multimodal instruction tuning dataset,tokenizer_sequence,paired_alignment_supervision,paired_alignment_input,"For each protein-phenotype pair, we create an instruction tuning example that consists of a natural language task definition, associated protein inputs, and an expected answer",PROCYON-INSTRUCT dataset with 33 million protein-phenotype instructions,Figure 1c,explicit_text,,['full_2026-07-06__rec_000086::route_001'],[],"[4, 5]","['#/texts/47', '#/texts/50', '#/texts/51']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_440ad7fad63b,config_f42dcc13c120,model_b1f724b128da,study_f6eff70c6863,full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,Protein retrieval query prompt,PROCYON-SPLIT,evaluation,protein retrieval,natural language prompt,natural language prompt,text,['the LLM-processed prompt projected into the unified latent space by a query connector'],"['LLM processing', 'projection into unified latent space']",the LLM-processed prompt projected into the unified latent space,text_native_token_stream,plain_language_prompt_or_question,the natural language prompt is then processed by the LLM and projected into the unified latent space by a query connector,query_bottleneck,instruction_or_query,actual_model_input,the natural language prompt is then processed by the LLM and projected into the unified latent space by a query connector,PROCYON model architecture,Figure 1b,explicit_text,,['full_2026-07-06__rec_000086::route_002'],['dense::full_2026-07-06__rec_000086::0052'],"[3, 4, 12, 13, 16, 17]","['#/texts/36', '#/texts/37', '#/texts/38', '#/texts/43', '#/texts/44', '#/texts/45', '#/texts/96', '#/texts/99']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_de75413d9ba2,config_f42dcc13c120,model_b1f724b128da,study_f6eff70c6863,full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,Protein retrieval protein sequence,PROCYON-SPLIT,evaluation,protein retrieval,protein sequences,protein sequence,protein,"['the protein language model processes protein sequences', 'projects them into the unified latent space via a retrieval-specific projector']","['protein language model processing', 'projection into unified latent space']",protein-sequence embeddings projected into the unified latent space,discrete_biological_symbol_stream,native_biological_token_stream,the protein language model processes protein sequences and projects them into the unified latent space via a retrieval-specific projector,shared_latent_alignment,biological_payload,actual_model_input,the protein language model processes protein sequences and projects them into the unified latent space via a retrieval-specific projector,PROCYON model architecture,Figure 1b,explicit_text,,['full_2026-07-06__rec_000086::route_003'],['dense::full_2026-07-06__rec_000086::0052'],"[3, 4, 12, 13, 16, 17]","['#/texts/36', '#/texts/37', '#/texts/38', '#/texts/43', '#/texts/44', '#/texts/45', '#/texts/96', '#/texts/99']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_caa6f466af38,config_d9c453530470,model_b1f724b128da,study_f6eff70c6863,full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,Phenotype generation text prompt,PROCYON-SPLIT,evaluation,phenotype generation,the user's prompt,user prompt,text,['the text is tokenized via a standard text tokenizer'],['text tokenization'],text tokenized via a standard text tokenizer,text_native_token_stream,plain_language_prompt_or_question,the text is tokenized via a standard text tokenizer,tokenizer_sequence,instruction_or_query,actual_model_input,the text is tokenized via a standard text tokenizer,PROCYON model architecture,Figure 1b,explicit_text,,['full_2026-07-06__rec_000086::route_004'],"['dense::full_2026-07-06__rec_000086::0049', 'dense::full_2026-07-06__rec_000086::0050', 'dense::full_2026-07-06__rec_000086::0051']","[4, 17, 18]","['#/pictures/3', '#/texts/43', '#/texts/44', '#/texts/45', '#/texts/549', '#/texts/551']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_c4afa80469f5,config_d9c453530470,model_b1f724b128da,study_f6eff70c6863,full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,Phenotype generation protein sequence,PROCYON-SPLIT,evaluation,phenotype generation,protein sequence,protein sequence,protein,['the protein sequence is encoded via the modality-specific encoders'],['modality-specific encoding'],protein sequence encoded via the modality-specific encoders,discrete_biological_symbol_stream,native_biological_token_stream,the protein sequence and structure are encoded via the modality-specific encoders,concatenation,biological_payload,actual_model_input,the protein sequence and structure are encoded via the modality-specific encoders,PROCYON model architecture,Figure 1b,explicit_text,,['full_2026-07-06__rec_000086::route_005'],"['dense::full_2026-07-06__rec_000086::0049', 'dense::full_2026-07-06__rec_000086::0050', 'dense::full_2026-07-06__rec_000086::0051']","[4, 17, 18]","['#/pictures/3', '#/texts/43', '#/texts/44', '#/texts/45', '#/texts/549', '#/texts/551']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_4c1c9b303c55,config_d9c453530470,model_b1f724b128da,study_f6eff70c6863,full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,Phenotype generation protein structure,PROCYON-SPLIT,evaluation,phenotype generation,protein structure,protein structure,protein structure,['the protein structure is encoded via the modality-specific encoders'],['modality-specific encoding'],protein structure encoded via the modality-specific encoders,geometric_or_diffusion_state_carrier,coordinate_backbone_or_shape_conditioning,the protein sequence and structure are encoded via the modality-specific encoders,concatenation,no_text_on_this_route,actual_model_input,the protein sequence and structure are encoded via the modality-specific encoders,PROCYON model architecture,Figure 1b,explicit_text,,['full_2026-07-06__rec_000086::route_006'],"['dense::full_2026-07-06__rec_000086::0049', 'dense::full_2026-07-06__rec_000086::0050', 'dense::full_2026-07-06__rec_000086::0051']","[4, 17, 18]","['#/pictures/3', '#/texts/43', '#/texts/44', '#/texts/45', '#/texts/549', '#/texts/551']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_9d3af98fe18f,config_2f56a8eaf38c,model_f8e766fddf66,study_f6eff70c6863,full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,Protein function retrieval prompt,PROCYON,inference,protein function retrieval,a natural language prompt about catalytic proteins in glycolysis,natural language prompt,text,[],[],the LLM-processed prompt projected into the unified latent space,text_native_token_stream,plain_language_prompt_or_question,the LLM-processed prompt projected into the unified latent space by a query connector,query_bottleneck,instruction_or_query,actual_model_input,retrieving catalytic proteins in glycolysis,Figure 1: Overview of PROCYON model architecture and PROCYON-INSTRUCT dataset,Figure 1a,explicit_text,,['full_2026-07-06__rec_000086::route_012'],[],"[16, 17]","['#/texts/291', '#/texts/292', '#/texts/293', '#/texts/294', '#/texts/295', '#/texts/296', '#/texts/297', '#/texts/298']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_5d20ca16ef9b,config_54ef93b735da,model_f8e766fddf66,study_f6eff70c6863,full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,Domain based protein retrieval prompt,PROCYON,inference,domain based protein retrieval,a natural language prompt about proteins with SH3 domains,natural language prompt,text,[],[],the LLM-processed prompt projected into the unified latent space,text_native_token_stream,plain_language_prompt_or_question,the LLM-processed prompt projected into the unified latent space by a query connector,query_bottleneck,instruction_or_query,actual_model_input,proteins with SH3 domains,Figure 1: Overview of PROCYON model architecture and PROCYON-INSTRUCT dataset,Figure 1a,explicit_text,,['full_2026-07-06__rec_000086::route_013'],[],"[16, 17]","['#/texts/291', '#/texts/292', '#/texts/293', '#/texts/294', '#/texts/295', '#/texts/296', '#/texts/297', '#/texts/298']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_3e07d92b7f4a,config_e5d13f421ef7,model_f8e766fddf66,study_f6eff70c6863,full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,Protein interaction prediction prompt,PROCYON,inference,protein interaction prediction,a natural language prompt about interacting proteins involved in autophagy,natural language prompt,text,[],[],the LLM-processed prompt projected into the unified latent space,text_native_token_stream,plain_language_prompt_or_question,the LLM-processed prompt projected into the unified latent space by a query connector,query_bottleneck,instruction_or_query,actual_model_input,interacting proteins involved in autophagy,Figure 1: Overview of PROCYON model architecture and PROCYON-INSTRUCT dataset,Figure 1a,explicit_text,,['full_2026-07-06__rec_000086::route_014'],[],"[16, 17]","['#/texts/291', '#/texts/292', '#/texts/293', '#/texts/294', '#/texts/295', '#/texts/296', '#/texts/297', '#/texts/298']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_35c4dd0a1c2f,config_f27afc5252c3,model_f8e766fddf66,study_f6eff70c6863,full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,Disease associated protein retrieval prompt,PROCYON,inference,disease associated protein retrieval,a natural language prompt about proteins involved in Parkinson's disease pathology,natural language prompt,text,[],[],the LLM-processed prompt projected into the unified latent space,text_native_token_stream,plain_language_prompt_or_question,the LLM-processed prompt projected into the unified latent space by a query connector,query_bottleneck,instruction_or_query,actual_model_input,proteins involved in Parkinson's disease pathology,Figure 1: Overview of PROCYON model architecture and PROCYON-INSTRUCT dataset,Figure 1a,explicit_text,,['full_2026-07-06__rec_000086::route_015'],[],"[16, 17]","['#/texts/291', '#/texts/292', '#/texts/293', '#/texts/294', '#/texts/295', '#/texts/296', '#/texts/297', '#/texts/298']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_18a49a03ed5f,config_ef318b451e47,model_f8e766fddf66,study_f6eff70c6863,full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,GO Function,ProCyon,fine_tuning,PROCYON-INSTRUCT dataset,GO Function,GO Function source records,structured biological database record,"['database curation', 'instruction templating']","['curation', 'instruction templating']",instruction tuning example,text_native_token_stream,structured_biological_prompt_or_task_scaffold,instruction templating,placeholder_replacement,paired_alignment_supervision,actual_model_input,instruction tuning example,Results,Figure 1c,text_plus_figure,,[],['dense::full_2026-07-06__rec_000086::0009'],[5],['#/texts/50'],['verbatim'],False,False,True,True,True,True,"{'audit': 'F6.1_taxonomy_aware_2026-08-17', 'model': 'gpt-5.4-mini', 'decision': 'revise_fields', 'changed_fields': ['carrier_family', 'carrier_subtype', 'evidence_quote', 'evidence_status', 'fusion_topology', 'insertion_or_fusion_verbatim', 'lifecycle_phase', 'model_visible_form_verbatim', 'section_heading', 'source_modality_normalized', 'source_object_normalized', 'source_object_verbatim', 'supporting_figure_or_table', 'task_or_configuration_verbatim', 'text_role', 'transformation_chain_normalized', 'transformation_chain_verbatim', 'uncertainty'], 'confidence': 'high', 'rationale': 'This label is grounded in Figure 1c as one of the source databases curated into PROCYON-INSTRUCT, and the caption states that those pairs were turned into instruction tuning examples. It is therefore a fine-tuning source-to-model route, not an evaluation peptide route.'}"
