cluster_id,title,abstract,regression_group,decision_run_a,decision_run_b,scope_boundary_run_a,scope_boundary_run_b,rationale_run_a,rationale_run_b
benchmark:7,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,"A bstract Single-cell RNA sequencing has transformed our understanding of cellular diversity, yet current single-cell foundation models (scFMs) remain limited in their scalability, flexibility across diverse tasks, and ability to natively integrate textual information. In this work, we build upon the Cell2Sentence (C2S) framework, which represents scRNA-seq profiles as textual “cell sentences,” to train Large Language Models (LLMs) on a corpus comprising over one billion tokens of transcriptomic data, biological text, and metadata. Scaling the model to 27 billion parameters yields consistent improvements in predictive and generative capabilities and supports advanced downstream tasks that require synthesis of information across multi-cellular contexts. Targeted fine-tuning with modern reinforcement learning techniques produces strong performance in perturbation response prediction, natural language interpretation, and complex biological reasoning. This predictive strength enabled a dual-context virtual screen that nominated the kinase inhibitor silmitasertib (CX-4945) as a candidate for context-selective upregulation of antigen presentation. Experimental assessment in human cell models unseen during training supported this prediction, demonstrating that C2S-Scale can effectively guide the discovery of context-conditioned biology. C2S-Scale unifies transcriptomic and textual data at unprecedented scales, surpassing both specialized single-cell models and general-purpose LLMs to provide a platform for next-generation single-cell analysis and the development of “virtual cells.”",benchmark_boundary_case,,,,,,
benchmark:12,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,"Abstract
                
                  Causal models of cellular systems hold the promise to empower broad biological discovery, including the systematic identification of novel targets for drug discovery. Predicting how genetic and pathway perturbations reshape gene expression across diverse cellular contexts is a prerequisite for building generalizable cellular foundation models. However, current methods typically fail to extrapolate beyond their training distributions because they rely predominantly on observational expression atlases rather than interventional perturbation data. We present X-Atlas/Pisces, the largest genome-wide CRISPRi Perturb-seq compendium to date, comprising 25.6 million perturbed single-cell transcriptomes across 16 biologically diverse contexts, including widely used cell lines, induced pluripotent stem cells (iPSCs), resting and CD3/CD28 activated Jurkat T lymphoma cells, and multi-lineage differentiating iPSCs. Leveraging this resource, we develop X-Cell, a diffusion language model that predicts perturbation responses by iteratively refining control-to-perturbed state transitions through cross-attention to multi-modal biological priors derived from natural language, protein language models, interaction networks, genetic dependency maps, and morphological profiles. X-Cell outperforms existing state-of-the-art models by up to five-fold on key metrics such as Pearson
                  Δ
                  (correlation between predicted and observed perturbation-induced log-fold changes), and demonstrates zero-shot prediction of T cell inactivating perturbations in stimulated Jurkat cells. We scale X-Cell to 4.9 billion parameters (X-Cell-Ultra), the largest causal perturbation model to date. We demonstrate for the first time that perturbation prediction follows power-law scaling with an exponent matching large language models. X-Cell-Ultra demonstrates zero-shot generalization to novel biological contexts, including unseen iPSC-derived melanocyte progenitors and primary human CD4
                  +
                  T cells from multiple donors, and outperforms all baselines after self-supervised test-time adaptation. These results demonstrate that coordinated scaling of causal perturbation data and model capacity yields foundation models capable of generalizable perturbation prediction across cellular contexts, with potential applications for improving computational target identification, validation, and context-specific therapeutic prioritization.",benchmark_boundary_case,,,,,,
benchmark:8,scGPT: toward building a foundation model for single-cell multi-omics using generative AI,"Generative pretrained models have achieved remarkable success in various domains such as language and computer vision. Specifically, the combination of large-scale diverse datasets and pretrained transformers has emerged as a promising approach for developing foundation models. Drawing parallels between language and cellular biology (in which texts comprise words; similarly, cells are defined by genes), our study probes the applicability of foundation models to advance cellular biology and genetic research. Using burgeoning single-cell sequencing data, we have constructed a foundation model for single-cell biology, scGPT, based on a generative pretrained transformer across a repository of over 33 million cells. Our findings illustrate that scGPT effectively distills critical biological insights concerning genes and cells. Through further adaptation of transfer learning, scGPT can be optimized to achieve superior performance across diverse downstream applications. This includes tasks such as cell type annotation, multi-batch integration, multi-omic integration, perturbation response prediction and gene network inference. Pretrained using over 33 million single-cell RNA-sequencing profiles, scGPT is a foundation model facilitating a broad spectrum of downstream single-cell analysis tasks by transfer learning.",benchmark_boundary_case,,,,,,
3469,ADAM-1: An AI Reasoning and Bioinformatics Model for Alzheimer's Disease Detection and Microbiome-Clinical Data Integration,"large language model (LLM) framework designed to integrate and analyze multimodal data,   By leveraging the agentic system with LLM, ADAM-1 produces insights from diverse data",include_decision_unstable,UNCERTAIN,INCLUDE,,,"The abstract describes an LLM framework for integrating multimodal data but does not specify if it is a new generative model or a wrapper, nor clarify the text-bio bridge. Hence multiple criteria remain unclear.","The title and abstract describe ADAM-1 as an LLM framework integrating microbiome-clinical data (bio modality) and using LLM (text component) to produce insights, indicating a generative model. Paper type is primary model paper; foundation model evidence is unclear due to lack of specification."
3741,Abstract 4213: Generative genomics accurately predicts cancer gene expression,"AI models capable of predicting experimental outcomes could accelerate biomedical research by circumventing fundamental constraints of laboratory experimentation and clinical trials. We developed GEM-1 (Generate Expression Model-1), a generative genomics framework that models the diversity of real-world gene expression experiments and accurately predicts future experimental results. We trained GEM-1 using 470,691 bulk RNA-seq samples from 24,715 datasets in the NCBI Sequence Read Archive, spanning diverse tissues, diseases, and over 18,000 distinct perturbations. An automated metadata agent harmonized fragmented experimental descriptions using large language models. GEM-1 employs a deep latent variable model that partitions experimental metadata into biological, technical, and perturbational components, using pretrained foundation model embeddings to enable generalization to novel perturbations. Testing on holdout data deposited after training, GEM-1 achieved pseudoreplicate-level accuracy (pearson correlation of gene rank across samples, r_gene, of 0.65-0.75) for previously observed contexts and maintained strong performance for completely novel genetic (r_gene = 0.58-0.63) and chemical perturbations (r_gene = 0.52-0.68). The model correctly predicted 63% and 70% of enriched gene sets for novel genetic and chemical perturbations, respectively. We extended GEM-1 to single-cell data using 41.5 million cells, achieving comparable performance to established models for cell type annotation while enabling interpretable biological feature inference. We demonstrated clinical utility by generating synthetic cohorts that accurately recapitulated key biological phenomena: SYNTH-TEx (5,300 healthy tissue samples matching GTEx patterns), SYNTH-interferon (200 samples correctly modeling lupus interferon dysregulation), and SYNTH-cancer (10,523 samples exhibiting known molecular features of cancer). We show that GEM-1 can simulate novel perturbations on specific patient samples, an ability we term ""reference conditioning"". This approach represents a significant advance toward AI systems that can predict experimental outcomes before physical experiments are conducted, shortcutting fundamental limitations in experimental speed and clinical trial recruitment and potentially revolutionizing drug development and personalized medicine.
 
 
 Gregory Koytiger, Alice M. Walsh, Vaishali Marar, Kayla A. Johnson, Max Highsmith, Alexander R. Abbas, Andrew Stirn, Ariel Brumbaugh, Alex David, Darren Hui, Jeffrey Kahn, Sheng-Yong Niu, Liza J. Ray, Candace Savonen, Stein Setvik, Jeffrey T. Leek, Robert K. Bradley. Generative genomics accurately predicts cancer gene expression [abstract]. In: Proceedings of the American Association for Cancer Research Annual Meeting 2026; Part 1 (Regular Abstracts); 2026 Apr 17-22; San Diego, CA. Philadelphia (PA): AACR; Cancer Res 2026;86(7 Suppl):Abstract nr 4213.",include_decision_unstable,INCLUDE,EXCLUDE,,,"GEM-1 is a generative genomics model trained on RNA-seq data and uses pretrained LLM embeddings from experimental metadata to condition predictions, establishing a substantive text-bio bridge. | The abstract explicitly describes GEM-1 as a generative genomics framework using a deep latent variable model trained on large-scale transcriptomic data, with evidence of broad pretraining and transferable representations.","The abstract describes GEM-1, a newly developed generative model for predicting gene expression from experimental metadata, making it a primary model paper. Text component is absent in the model's output, but the text-bio bridge is present via metadata harmonization and pretrained embeddings. Scope reviewer's 'application_wrapper' classification is overridden as the paper presents an original model, not a wrapper."
2378,Adding layers of information to scRNA-seq data using pre-trained language models,"Abstract
                Pre-trained language models promise to enrich analyses of single-cell data with additional layers of information leveraging large text corpora. Yet, it is still unclear how to achieve optimal alignment with the primary quantitative single-cell data. To address this, we construct text-based training datasets from both scRNA-seq data and biomedical literature targeted to the experimental setting at hand. We then jointly train language models on both information sources to learn a common, literature-enriched representation. Our examples on functionality, disease associations, and temporal trajectories show the potential of knowledge-augmented embeddings as a generalizable and interpretable strategy for enriching single-cell analysis pipelines.",include_decision_unstable,UNCERTAIN,INCLUDE,,,"Abstract describes jointly training language models on scRNA-seq and biomedical literature, indicating a primary model paper with bio and text components and a bridge. However, it does not explicitly state the model is generative (e.g., masked LMs are not generative), so generative status is unclear.","The abstract describes constructing datasets and jointly training language models on scRNA-seq and biomedical literature, which constitutes a primary model contribution rather than a wrapper application. Language models are inherently generative, and the training explicitly bridges text and biological data, satisfying all inclusion criteria."
2191,BioVERSE: Representation Alignment of Biomedical Modalities to LLMs for Multi-Modal Reasoning,"Recent advances in large language models (LLMs) and biomedical foundation models (BioFMs) have achieved strong results in biological text reasoning, molecular modeling, and single-cell analysis, yet they remain siloed in disjoint embedding spaces, limiting cross-modal reasoning. We present BIOVERSE (Biomedical Vector Embedding Realignment for Semantic Engagement), a two-stage approach that adapts pretrained BioFMs as modality encoders and aligns them with LLMs through lightweight, modality-specific projection layers. The approach first aligns each modality to a shared LLM space through independently trained projections, allowing them to interoperate naturally, and then applies standard instruction tuning with multi-modal data to bring them together for downstream reasoning. By unifying raw biomedical data with knowledge embedded in LLMs, the approach enables zero-shot annotation, cross-modal question answering, and interactive, explainable dialogue. Across tasks spanning cell-type annotation, molecular description, and protein function reasoning, compact BIOVERSE configurations surpass larger LLM baselines while enabling richer, generative outputs than existing BioFMs, establishing a foundation for principled multi-modal biomedical reasoning.",include_decision_unstable,INCLUDE,EXCLUDE,,,"The abstract describes BioVERSE as a two-stage approach that aligns pretrained biomedical foundation models with LLMs via projection layers, enabling cross-modal reasoning and zero-shot annotation, which constitutes a primary model paper with substantive text-bio bridge. | The abstract describes a novel alignment and instruction-tuning system that leverages pretrained foundation models and produces generative outputs, but it does not explicitly characterize the system itself as a foundation model.","The abstract describes adapting pretrained BioFMs and LLMs via lightweight projection layers, which is a wrapper-style approach rather than introducing a new foundation model. Generative outputs are explicitly mentioned, confirming generative model presence."
3378,"CASSIA: a multi-agent large language model for reference free, interpretable, and automated cell annotation of single-cell RNA-sequencing data","Abstract
                Cell type annotation is an essential step in single-cell RNA-sequencing analysis, and numerous annotation methods are available. Most require a combination of computational and domain-specific expertise, and they frequently yield inconsistent results that can be challenging to interpret. Large language models have the potential to expand accessibility while reducing manual input and improving accuracy, but existing approaches suffer from hyperconfidence, hallucinations, and lack of reasoning. To address these limitations, we developed CASSIA for automated, accurate, and interpretable cell annotation of single-cell RNA-sequencing data. As demonstrated in analyses of over 970 cell types, CASSIA improves annotation accuracy in benchmark datasets as well as complex and rare cell populations, and also provides users with reasoning and quality assessment to ensure interpretability, guard against hallucinations, and calibrate confidence.",include_decision_unstable,EXCLUDE,INCLUDE,,,"The abstract describes CASSIA as a multi-agent system leveraging existing LLMs for cell annotation, not a new foundational model, so it is an application wrapper. Per policy, wrapper-style use sets text_bio_bridge_present to no.","The abstract describes CASSIA as a multi-agent large language model for cell annotation, indicating a primary model paper with generative capabilities, bio modality (scRNA-seq), text component (LLM), and text-bio bridge (annotation). Foundation model evidence is unclear as it does not specify reliance on a pre-trained foundation model."
1969,Cell2Text: Multimodal LLM for Generating Single-Cell Descriptions from RNA-Seq Data,"Single-cell RNA sequencing has transformed biology by enabling the measurement of gene expression at cellular resolution, providing information for cell types, states, and disease contexts. Recently, single-cell foundation models have emerged as powerful tools for learning transferable representations directly from expression profiles, improving performance on classification and clustering tasks. However, these models are limited to discrete prediction heads, which collapse cellular complexity into predefined labels that fail to capture the richer, contextual explanations biologists need. We introduce Cell2Text, a multimodal generative framework that translates scRNA-seq profiles into structured natural language descriptions. By integrating gene-level embeddings from single-cell foundation models with pretrained large language models, Cell2Text generates coherent summaries that capture cellular identity, tissue origin, disease associations, and pathway activity, generalizing to unseen cells. Empirically, Cell2Text outperforms baselines on classification accuracy, demonstrates strong ontological consistency using PageRank-based similarity metrics, and achieves high semantic fidelity in text generation. These results demonstrate that coupling expression data with natural language offers both stronger predictive performance and inherently interpretable outputs, pointing to a scalable path for label-efficient characterization of unseen cells.",include_decision_unstable,EXCLUDE,INCLUDE,,,"The abstract presents Cell2Text as a framework that integrates existing single-cell foundation models with pretrained LLMs, not as a new foundation model itself, so it is an application wrapper. Bio modality, text component, text-bio bridge, and generative status are clearly present.","Cell2Text is a multimodal generative framework that translates scRNA-seq profiles into structured natural language descriptions, integrating gene-level embeddings with a pretrained LLM. This constitutes a primary model paper with a clear text-bio bridge. | The abstract introduces Cell2Text, a generative framework that produces text descriptions from scRNA-seq data, clearly indicating a generative model. However, evidence that Cell2Text itself is a foundation model is unclear as it relies on existing foundation models as components."
3934,Central-to-Local Adaptive Generative Diffusion Framework for Improving Gene Expression Prediction in Data-Limited Spatial Transcriptomics,"to jointly condition on pathology images and GPT-derived pathology report summaries,   and single-cell resolution, limiting its capacity to fully capture fine-grained gene expression.",include_decision_unstable,INCLUDE,EXCLUDE,,,"Title describes a generative diffusion framework for gene expression prediction; abstract mentions conditioning on GPT-derived pathology report summaries and pathology images, indicating text and bio modalities with a bridge. Generative model is explicit; foundation model status unclear from abstract. Paper type is primary model paper, not a wrapper, review, or benchmark.","Abstract describes a generative diffusion framework that conditions on GPT-derived pathology report summaries to predict gene expression, indicating an application wrapper using an existing LLM; text conditions bio prediction, so text-bio bridge is present."
1245,CoC: Chain-of-Cancer Based on Cross-Modal Autoregressive Traction for Survival Prediction,"Survival prediction aims to evaluate the risk level of cancer patients. Existing methods primarily rely on pathology and genomics data, either individually or in combination. From the perspective of cancer pathogenesis, epigenetic changes, such as methylation data, could also be crucial for this task. Furthermore, no previous endeavors have utilized textual descriptions to guide the prediction. To this end, we are the first to explore the use of four modalities, including three clinical modalities and language, for conducting survival prediction. In detail, we are motivated by the Chain-of-Thought (CoT) to propose the Chain-of-Cancer (CoC) framework, focusing on intra-learning and inter-learning. We encode the clinical data as the raw features, which remain domain-specific knowledge for intra-learning. In terms of inter-learning, we use language to prompt the raw features and introduce an Autoregressive Mutual Traction module for synergistic representation. This tailored framework facilitates joint learning among multiple modalities. Our approach is evaluated across five public cancer datasets, and extensive experiments validate the effectiveness of our methods and proposed designs, leading to producing state-of-the-art  results. Codes will be released ( https://github.com/haipengzhou856/CoC ).",include_decision_unstable,INCLUDE,EXCLUDE,,,"The abstract describes a novel framework (CoC) that integrates clinical biological modalities with language (textual descriptions) for survival prediction, indicating a primary model with a substantive text-bio bridge. | The abstract describes an autoregressive module for cross-modal representation, which is a generative mechanism. No evidence of broad pretraining or transferable representations.","The abstract describes a survival prediction model that uses language as an input modality, but the task is discriminative (risk level prediction) with no mention of generating text, so it is not a generative model. The paper is a primary model paper, not a wrapper or review."
1349,GALAX: Graph-Augmented Language Model for Explainable Reinforcement-Guided Subgraph Reasoning in Precision Medicine,"In precision medicine, quantitative multi-omic features, topological context, and textual biological knowledge play vital roles in identifying disease-critical signaling pathways and targets. Existing pipelines capture only part of these-numerical omics ignore topological context, text-centric LLMs lack quantitative grounded reasoning, and graph-only models underuse node semantics and the generalization of LLMs-limiting mechanistic interpretability. Although Process Reward Models (PRMs) aim to guide reasoning in LLMs, they remain limited by unreliable intermediate evaluation, and vulnerability to reward hacking with computational cost. These gaps motivate integrating quantitative multi-omic signals, topological structure with node annotations, and literature-scale text via LLMs, using subgraph reasoning as the principle bridge linking numeric evidence, topological knowledge and language context. Therefore, we propose GALAX (Graph Augmented LAnguage model with eXplainability), an innovative framework that integrates pretrained Graph Neural Networks (GNNs) into Large Language Models (LLMs) via reinforcement learning guided by a Graph Process Reward Model (GPRM), which generates disease-relevant subgraphs in a step-wise manner initiated by an LLM and iteratively evaluated by a pretrained GNN and schema-based rule check, enabling process-level supervision without explicit labels. As an application, we also introduced Target-QA, a benchmark combining CRISPR-identified targets, multi-omic profiles, and biomedical graph knowledge across diverse cancer cell lines, which enables GNN pretraining for supervising step-wise graph construction and supports long-context reasoning over text-numeric graphs (TNGs), providing a scalable and biologically grounded framework for explainable, reinforcement-guided subgraph reasoning toward reliable and interpretable target discovery in precision medicine.",include_decision_unstable,EXCLUDE,INCLUDE,,,"The abstract proposes GALAX, a novel framework integrating GNNs into LLMs for subgraph reasoning, using multi-omic data, topological context, and textual biological knowledge, with explicit text-bio bridge. | The abstract describes a framework for subgraph reasoning using LLMs and GNNs, but the generative output is subgraphs, not text; no evidence of a generative text architecture or foundation-model characteristics for the proposed model.","The abstract proposes GALAX, a novel framework integrating pretrained GNNs into LLMs, clearly describing a new generative model (LLM) for subgraph reasoning, not a wrapper or review. Despite the architecture reviewer's uncertainty, the evidence supports primary model paper and generative status."
