action,reason,cluster_id,source_db,title,doi,matched_with_db,matched_with_title
NEW,No match found,34,pubmed,Artificial Intelligence-Enhanced Multiparametric MRI and VI-RADS in Bladder Cancer: Current Evidence,10.3390/cancers18091322,,
NEW,No match found,35,pubmed,Machine learning empowers precise discovery of disease-resistance genes in plants.,10.1093/plphys/kiag276,,
NEW,No match found,36,pubmed,Explainable deep learning approaches and clinical insights for cancer biomarker identification.,10.3389/fonc.2026.1810793,,
NEW,No match found,37,pubmed,"Computational paradigms for antimicrobial resistance prediction: integrating multi-omics, structural",10.1093/bib/bbag219,,
NEW,No match found,38,pubmed,iS2C2: a cointelligent platform for mechanistic discovery of disease cellular crosstalk.,10.1038/s41392-026-02691-8,,
NEW,No match found,39,pubmed,CT-TADB predicts TAD boundaries without Hi-C by integrating DNA sequences and epigenomic features.,10.1038/s41540-026-00734-y,,
NEW,No match found,40,pubmed,Artificial intelligence in chronic kidney disease: Bibliometric and visual analysis of trends and fu,10.1177/20552076261446519,,
NEW,No match found,41,pubmed,Integrating protein and DNA embeddings for improving genome-wide transcription factor binding site p,10.1093/nargab/lqag047,,
NEW,No match found,42,pubmed,Cross-Species Plant Single-Cell Analysis: Community Challenges and Shared Solutions.,10.1093/jxb/erag218,,
NEW,No match found,43,pubmed,CAPTAIN: a multimodal foundation model pretrained on co-assayed single-cell RNA and protein.,10.1038/s41467-026-72882-y,,
NEW,No match found,44,pubmed,Single-cell data integration across weakly linked modalities.,10.1371/journal.pcbi.1014231,,
NEW,No match found,45,pubmed,"Deep-learning-assisted simulation of a cortical circuit: integrating anatomy, physiology and functio",10.64898/2026.03.13.711751,,
NEW,No match found,46,pubmed,Generative AI-assisted Bayesian-frequentist Hybrid Inference in Single-cell RNA Sequencing Analysis ,10.64898/2026.04.17.26351142,,
NEW,No match found,47,pubmed,EvoRMD: integrating biological context and evolutionary RNA language models for interpretable predic,10.1186/s13059-026-04097-9,,
NEW,No match found,48,pubmed,Spatial AI in cancer: mapping immune evasion topology through multi-modal omics and deep learning.,10.3389/fonc.2026.1762907,,
NEW,No match found,49,pubmed,Enterocutaneous Fistula-Associated Sepsis and Mortality: Development and Validation of a Multimodal ,10.2196/79985,,
NEW,No match found,50,pubmed,Cell type annotation for scATAC-seq via DNA large language model and graph domain adaptation.,10.1371/journal.pcbi.1014226,,
NEW,No match found,51,pubmed,M-GNN: A Topology-Enhanced Multi-Modal Graph Neural Network for Cancer Driver Gene Prediction.,10.3390/metabo16040268,,
NEW,No match found,52,pubmed,An Interpretable Omics-to-Image Transformer Framework for Cancer Prognosis Prediction.,10.34133/csbj.0069,,
NEW,No match found,53,pubmed,GR2ST: spatial transcriptomics prediction based on graph-enhanced multimodal contrastive learning.,10.1093/bioinformatics/btag209,,
NEW,No match found,54,pubmed,Adversarial validation of in silico perturbation profiles for intelligence-associated genes in human,10.1016/j.compbiolchem.2026.109079,,
NEW,No match found,55,pubmed,Fusing imaging and metabolic modeling via multimodal deep learning in ovarian cancer.,10.1016/j.cels.2026.101594,,
NEW,No match found,56,pubmed,A multimodal approach integrating NK cell-associated gene signatures and pathomics to predict colon ,10.1038/s41598-026-49584-y,,
NEW,No match found,57,pubmed,Generalizable deep-learning-based mRNA-protein interaction prediction strongly depends on protein di,10.1186/s13321-026-01197-3,,
NEW,No match found,58,pubmed,Coherent cross-modal generation of synthetic biomedical data to advance multimodal precision medicin,10.1371/journal.pcbi.1013455,,
NEW,No match found,59,pubmed,Contrastive multimodal deep learning for survival prediction in grade 2/3 gliomas.,10.1093/jncics/pkag039,,
NEW,No match found,60,pubmed,End-to-End Multimodal Multiple Instance Learning for Cancer Histopathology Classification with Dual-,10.1007/s10916-026-02379-0,,
NEW,No match found,61,pubmed,Decoding immunotherapy response through computational modeling.,10.1038/s41467-026-71364-5,,
NEW,No match found,62,pubmed,A deep learning-based digital biopsy for predicting early recurrence in gastric cancer.,10.1038/s41467-026-71347-6,,
NEW,No match found,63,pubmed,Evaluating the Utilities of Foundation Models in Single-Cell Data Analysis.,10.1002/advs.202514490,,
NEW,No match found,64,pubmed,MuTriM: A multiscale deep learning model integrating longitudinal radiomics and pathomic features fo,10.1016/j.ejca.2026.116679,,
NEW,No match found,65,pubmed,Association of Circulating T Cell and Tumor Microenvironment Profiles with Immune Checkpoint Blockad,10.1158/1078-0432.CCR-25-3419,,
NEW,No match found,66,pubmed,MultiSP deciphers tissue structure and multicellular communication from spatial multi-omics data.,10.1016/j.xgen.2026.101141,,
NEW,No match found,67,pubmed,Digitalomics: Towards Artificial Intelligence / Machine Learning-Based Precision Cardiovascular Medi,10.1253/circj.CJ-24-0865,,
NEW,No match found,68,scopus,A multimodal data-based model for breast cancer diagnosis,10.1016/j.cmpb.2026.109288,,
MERGE,DOI match: 10.1371/journal.pcbi.1014231,44,scopus,Single-cell data integration across weakly linked modalities,10.1371/journal.pcbi.1014231,pubmed,Single-cell data integration across weakly linked modalities.
NEW,No match found,69,scopus,Artificial intelligence and the evolution of pathology: Scaling from digital diagnostics to multimod,10.1016/j.ibmed.2026.100386,,
MERGE,DOI match: 10.1253/circj.cj-24-0865,67,scopus,Digitalomics: Towards Artificial Intelligence / Machine Learning-Based Precision Cardiovascular Medi,10.1253/circj.CJ-24-0865,pubmed,Digitalomics: Towards Artificial Intelligence / Machine Learning-Based Precision Cardiovascular Medi
NEW,No match found,70,scopus,"Integrating Artificial Intelligence With Droplet-Based Microfluidics: Advances, Challenges, and Emer",10.1002/aisy.202501074,,
MERGE,DOI match: 10.1093/bib/bbag248,20,scopus,Identifying batch-integrated domains from spatial transcriptomics via graph autoencoder with contras,10.1093/bib/bbag248,pubmed,Identifying batch-integrated domains from spatial transcriptomics via graph autoencoder with contras
NEW,No match found,71,scopus,Cell-o1: training LLMs to solve single-cell reasoning puzzles with reinforcement learning,10.1093/bioinformatics/btag208,,
MERGE,DOI match: 10.3390/cancers18091322,34,scopus,Artificial Intelligence-Enhanced Multiparametric MRI and VI-RADS in Bladder Cancer: Current Evidence,10.3390/cancers18091322,pubmed,Artificial Intelligence-Enhanced Multiparametric MRI and VI-RADS in Bladder Cancer: Current Evidence
MERGE,DOI match: 10.3390/biomedicines14051110,18,scopus,Ligand–Receptor Interaction Combined with Histopathology Improves Glioma Prognostic Model,10.3390/biomedicines14051110,pubmed,Ligand-Receptor Interaction Combined with Histopathology Improves Glioma Prognostic Model.
NEW,No match found,72,scopus,Rapid Proteome-Wide Discovery of Protein–Protein Interactions With ppIRIS,10.1002/advs.202521310,,
MERGE,DOI match: 10.1093/nargab/lqag047,41,scopus,Integrating protein and DNA embeddings for improving genome-wide transcription factor binding site p,10.1093/nargab/lqag047,pubmed,Integrating protein and DNA embeddings for improving genome-wide transcription factor binding site p
NEW,No match found,73,scopus,Fine-tuning protein language models enhances the identification and interpretation of the transcript,10.1016/j.ailsci.2026.100173,,
MERGE,DOI match: 10.1093/bib/bbag229,31,scopus,"Artificial Intelligence in genomics: a comprehensive survey of methods, resources, challenges, and p",10.1093/bib/bbag229,pubmed,"Artificial Intelligence in genomics: a comprehensive survey of methods, resources, challenges, and p"
MERGE,DOI match: 10.1093/bib/bbag219,37,scopus,"Computational paradigms for antimicrobial resistance prediction: integrating multi-omics, structural",10.1093/bib/bbag219,pubmed,"Computational paradigms for antimicrobial resistance prediction: integrating multi-omics, structural"
NEW,No match found,74,scopus,ProteomeLM: A proteome-scale language model enables accurate and rapid prediction of protein–protein,10.1073/pnas.2524201123,,
NEW,No match found,75,scopus,Reprogramming cancer therapeutics through artificial intelligence-guided drug repurposing: Computati,10.1016/j.ailsci.2026.100168,,
MERGE,DOI match: 10.3390/bioengineering13050577,17,scopus,"Pathology Foundation Models: Evolution, Current Landscape, Challenges and Opportunities from a Techn",10.3390/bioengineering13050577,pubmed,"Pathology Foundation Models: Evolution, Current Landscape, Challenges and Opportunities from a Techn"
NEW,No match found,76,scopus,Integrating Envirotyping and Phenomics for AI-Enabled Multi-Environment Genomic Prediction in Crop B,10.3390/agronomy16101019,,
NEW,No match found,77,scopus,SARS-CoV-2 Nsp1 suppresses the canonical NF-κB pathway by promoting ubiquitin-dependent degradation ,10.1371/journal.ppat.1014191,,
NEW,No match found,78,scopus,"Enhancing Drug Response Prediction in Epilepsy with Emerging Multimodal Models: Focus on Clinical, P",10.1007/s40263-026-01295-8,,
NEW,No match found,79,scopus,Deep Learning-Based Prediction of Pathogenicity for ABL1 Protein Variants Using Sequence Representat,10.3233/SHTI260210,,
MERGE,DOI match: 10.1016/j.jot.2026.101118,22,scopus,From undruggable to degradable: A deep learning-enabled framework for precision orthopaedic protein ,10.1016/j.jot.2026.101118,pubmed,From undruggable to degradable: A deep learning-enabled framework for precision orthopaedic protein 
MERGE,DOI match: 10.1016/j.xgen.2026.101141,66,scopus,MultiSP deciphers tissue structure and multicellular communication from spatial multi-omics data,10.1016/j.xgen.2026.101141,pubmed,MultiSP deciphers tissue structure and multicellular communication from spatial multi-omics data.
MERGE,DOI match: 10.1093/jncics/pkag039,59,scopus,Contrastive multimodal deep learning for survival prediction in grade 2/3 gliomas,10.1093/jncics/pkag039,pubmed,Contrastive multimodal deep learning for survival prediction in grade 2/3 gliomas.
NEW,No match found,80,scopus,DeepKEGG-Agent: A Dialogue-Driven LLM-based Framework for Automated Multi-Omics Modeling in Cancer O,10.1145/3789938.3789956,,
NEW,No match found,81,scopus,"Machine learning and deep learning for breast cancer: A decade systematic review of detection, class",10.1016/j.imu.2026.101756,,
MERGE,DOI match: 10.1093/bioinformatics/btag209,53,scopus,GR2ST: spatial transcriptomics prediction based on graph-enhanced multimodal contrastive learning,10.1093/bioinformatics/btag209,pubmed,GR2ST: spatial transcriptomics prediction based on graph-enhanced multimodal contrastive learning.
MERGE,DOI match: 10.21769/bioprotoc.5676,28,scopus,Workflow for Fine-Tuning and Evaluating DNA Language Models for Specific Genomics Issues,10.21769/BioProtoc.5676,pubmed,Workflow for Fine-Tuning and Evaluating DNA Language Models for Specific Genomics Issues.
MERGE,DOI match: 10.3390/ijms27094028,33,scopus,Next-Generation Artificial Intelligence Strategies for Mechanistic Cancer Target Discovery and Drug ,10.3390/ijms27094028,pubmed,Next-Generation Artificial Intelligence Strategies for Mechanistic Cancer Target Discovery and Drug 
NEW,No match found,82,scopus,A Review of Artificial Intelligence Applications in Baijiu Research: From Experience to Data,10.3390/fermentation12050233,,
NEW,No match found,83,scopus,Quantifying new threats to health and biomedical literature integrity from rapidly scaled publicatio,10.1016/j.jclinepi.2026.112203,,
MERGE,DOI match: 10.1016/j.ejca.2026.116679,64,scopus,MuTriM: A multiscale deep learning model integrating longitudinal radiomics and pathomic features fo,10.1016/j.ejca.2026.116679,pubmed,MuTriM: A multiscale deep learning model integrating longitudinal radiomics and pathomic features fo
NEW,No match found,84,scopus,"Deep learning-based multimodal fusion of imaging, pathology, and CTCs for early diagnosis of pediatr",10.1016/j.bspc.2026.109558,,
NEW,No match found,85,scopus,Artificial Intelligence for Spatial Immunometabolic Analysis of the Tumor Microenvironment: Current ,10.3390/cimb48050476,,
NEW,No match found,86,scopus,"Machine Learning and Artificial Intelligence in Nutrition Research: Analytical Methods, Applications",10.1016/j.tjnut.2026.101528,,
NEW,No match found,87,scopus,"Graph-Based Framework for Anti-Cancer Drug-Target Interaction Prediction using Proteomics, Chemical ",10.1145/3794209.3794279,,
NEW,No match found,88,scopus,ac4C modification sites prediction in human mRNA: a complete review,10.1093/bib/bbag263,,
MERGE,DOI match: 10.3390/ijms27104436,16,scopus,Toward a Molecular Reclassification of Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Integrati,10.3390/ijms27104436,pubmed,Toward a Molecular Reclassification of Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Integrati
NEW,No match found,89,scopus,TLSFinder: Identifying Tertiary Lymphoid Structure in Spatial Transcriptomics Data using a Deep Lear,10.1145/3796551.3796561,,
MERGE,DOI match: 10.1177/20552076261446519,40,semantic_scholar,Artificial intelligence in chronic kidney disease: Bibliometric and visual analysis of trends and fu,10.1177/20552076261446519,pubmed,Artificial intelligence in chronic kidney disease: Bibliometric and visual analysis of trends and fu
NEW,No match found,90,semantic_scholar,Prior-Guided Multi-Omic Transformers for Single-Cell Gene Regulatory Network Inference,10.1145/3770855.3818945,,
NEW,No match found,91,semantic_scholar,SMART: A Spectral Transfer Approach to Multi-Task Learning,,,
NEW,No match found,92,semantic_scholar,Exploring artificial intelligence for variant calling: A comprehensive review of tools and approache,10.30574/wjarr.2026.30.1.0877,,
NEW,No match found,93,semantic_scholar,miDGD: a multi-modal deep generative model predicts microRNA expression from bulk or single-cell mRN,10.64898/2026.05.29.727918,,
NEW,No match found,94,semantic_scholar,A Multi-modal LLM-Knowledge Fusion Framework for Predicting Single-cell Genetic Perturbation Effects,10.64898/2026.04.24.720560,,
NEW,No match found,95,semantic_scholar,SRSA-VAE: Self-Attention-Based Feature Learning for Single-Cell Multimodal Clustering,10.64898/2026.05.06.723212,,
NEW,No match found,96,semantic_scholar,SpaMode: A Broadly Applicable Framework for Deciphering Spatial Multi‐Omics Using Multimodal Mixture,10.1002/advs.75478,,
NEW,No match found,97,semantic_scholar,Privacy-Preserving Federated AI for Early CKD Detection and Progression Analysis,10.55041/ijcope.v2i5.461,,
NEW,No match found,98,semantic_scholar,OsteoFGRNet: Osteopontin-Driven Expression Profiling for Early Fetal Growth Restriction Analysis,10.1109/ACCESS.2025.3640590,,
NEW,No match found,99,semantic_scholar,Towards Label-Free Single-Cell Phenotyping Using Multi-Task Learning,,,
NEW,No match found,100,semantic_scholar,Benchmarking long-context genome language models on biosynthetic gene clusters,10.64898/2026.05.12.724296,,
NEW,No match found,101,semantic_scholar,Decoding cardiac homeostasis and injury: the evolving landscape of spatial transcriptomics,10.3389/fcell.2026.1772507,,
NEW,No match found,102,semantic_scholar,GATHER: Convergence-Centric Hyper-Entity Retrieval for Zero-Shot Cell-Type Annotation,10.1145/3805712.3809935,,
NEW,No match found,103,semantic_scholar,"Artificial intelligence in cardio-oncology: decoding mechanisms, predicting toxicity, and personaliz",10.3389/fcvm.2026.1761811,,
NEW,No match found,104,semantic_scholar,3002-LB: Multimodal AI System to Infer the Progression of Type 1 Diabetes,10.2337/db26-3002-lb,,
NEW,No match found,105,semantic_scholar,Spatiotemporal Deep Video-Phenomapping Decodes Microvascular Rarefaction in Renovascular Hypertensio,10.34133/research.1339,,
NEW,No match found,106,semantic_scholar,Integrating Artificial Intelligence For Targeted Drug Delivery And Therapeutic Optimization,10.25258/ijddt.16.28s.64,,
NEW,No match found,107,semantic_scholar,The Dark Regulome: Disentangling Predictability from Regulation in Genomic Foundation Models,,,
NEW,No match found,108,semantic_scholar,A Correspondence-Driven Framework for Un-paired Spatial Multi-Omics Integrative Analysis,10.1101/2025.09.14.676067,,
NEW,No match found,109,semantic_scholar,Explainable Artificial Intelligence in Multimodal Malaria Prediction: A Systematic Review and Roadma,10.30871/jaic.v10i2.12347,,
NEW,No match found,110,semantic_scholar,"Foundations of Machine Learning and Its Applications in Healthcare: A Review of Methods, Clinical Im",10.65021/mwsj.v2.i1.35,,
NEW,No match found,111,semantic_scholar,ConvergeCELL: An end-to-end platform from patient transcriptomics to therapeutic hypotheses,10.64898/2026.05.07.723555,,
NEW,No match found,112,semantic_scholar,Linking spatial biology and clinical histology via Haiku,,,
NEW,No match found,113,semantic_scholar,"Advancement of deep learning models with whole slide image in diagnosis, subtyping and prognosis for",10.1088/2516-1091/ae7860,,
NEW,No match found,114,semantic_scholar,Pathogen-specific antimicrobial activity prediction with biological large language model-based metho,10.64898/2026.05.23.727347,,
NEW,No match found,115,semantic_scholar,Single-Cell Cross-Modal Transfer by Adversarial Fine-Tuning of Foundation Models,,,
NEW,No match found,116,semantic_scholar,PlantGFM: A Genomic Foundation Model for Discovery and Creation of Plant Genes,10.1002/advs.75772,,
NEW,No match found,117,semantic_scholar,DamageFormer: a damage-aware multimodal deep learning framework for DNA lesion identification from n,10.64898/2026.05.14.725245,,
NEW,No match found,118,semantic_scholar,Deep single-cell decoding of human pancreatic islets reveals T2D β-cell gene expression defects,10.1038/s44318-026-00744-w,,
MERGE,DOI match: 10.3389/fonc.2026.1848190,0,semantic_scholar,The translational paradox of AI in hepatocellular carcinoma: from algorithmic over-engineering to re,10.3389/fonc.2026.1848190,pubmed,The translational paradox of AI in hepatocellular carcinoma: from algorithmic over-engineering to re
NEW,No match found,119,semantic_scholar,Decoding murine corneal epithelial specification and homeostasis by single-cell spatial transcriptom,10.64898/2026.05.08.723186,,
NEW,No match found,120,semantic_scholar,Topology-aware reconstruction of cellular state landscapes from microscopy using self-supervised lea,10.64898/2026.05.30.728966,,
NEW,No match found,121,semantic_scholar,Harnessing deep learning for the discovery of latent patterns in multi-omics medical data,10.53388/mdm202609004,,
NEW,No match found,122,semantic_scholar,DposFinder: an interpretable transformer model for predicting phage-derived polysaccharide depolymer,10.1186/s13073-026-01657-3,,
NEW,No match found,123,semantic_scholar,Leveraging Large Language Models for Single-Cell Foundation Models: Gene Expression Prompting for Ce,10.1109/icassp55912.2026.11462727,,
NEW,No match found,124,semantic_scholar,PhAME: Phenotype-Aware Molecular Editing via Latent Diffusion,,,
NEW,No match found,125,semantic_scholar,NLP-Driven Gradient Boosting Ensemble Framework for Automated Viral Genome Classification in Large-S,10.1109/RMKMATE69073.2026.11518573,,
NEW,No match found,126,semantic_scholar,AI for Scientific Discovery in Omics Data-Driven Precision Medicine.,,,
NEW,No match found,127,semantic_scholar,Integrating Histology with Spatial Molecular Programs Using a Multimodal Foundation Model,10.64898/2026.06.01.729028,,
NEW,No match found,128,semantic_scholar,Bridging the Modality Bottleneck in Pathology MIL through Virtual Molecular Staining,,,
NEW,No match found,129,semantic_scholar,CD-Former: A Cross-modal Dual-interaction Transformer with Whole-Slide Image Pyramids and Genomics f,10.1109/tcsvt.2026.3672108,,
MERGE,DOI match: 10.64898/2026.05.22.727257,3,semantic_scholar,Molecular Characterization of T-Lineage Acute Lymphoblastic Leukemia by an Optimal-Transport Based M,10.64898/2026.05.22.727257,pubmed,Molecular Characterization of T-Lineage Acute Lymphoblastic Leukemia by an Optimal-Transport Based M
NEW,No match found,130,semantic_scholar,Artificial Intelligence in Surgery: Current Applications and Future Prospects,10.63946/ehdi/18696,,
NEW,No match found,131,semantic_scholar,Systematic contextual biases in SegmentNT potentially relevant to other nucleotide transformer model,10.1101/2025.04.09.647946,,
MERGE,DOI match: 10.3390/fermentation12050233,82,semantic_scholar,A Review of Artificial Intelligence Applications in Baijiu Research: From Experience to Data,10.3390/fermentation12050233,scopus,A Review of Artificial Intelligence Applications in Baijiu Research: From Experience to Data
NEW,No match found,132,semantic_scholar,Transferable spatial omics deconvolution with SpaRank,10.64898/2026.05.09.723936,,
NEW,No match found,133,semantic_scholar,Deep Learning for Liver Disease and Hepatocellular Carcinoma: A Comprehensive Review of Segmentation,10.1109/ICKECS70176.2026.11527523,,
NEW,No match found,134,semantic_scholar,Artificial Intelligence in Tumor Evolution: Understanding Cancer Complexity Through Multi-Modal Data,10.3390/cells15111031,,
NEW,No match found,135,semantic_scholar,Artificial intelligence (AI) foundation model as a predictor of efficacy of next-generation checkpoi,10.1200/jco.2026.44.16_suppl.2535,,
NEW,No match found,136,semantic_scholar,Artificial Intelligence and Deep Learning for Antimicrobial Resistance Prediction: A Scoping Review ,10.1109/ACCESS.2026.3698372,,
MERGE,DOI match: 10.1093/bioinformatics/btag209,53,semantic_scholar,GR2ST: spatial transcriptomics prediction based on graph-enhanced multimodal contrastive learning,10.1093/bioinformatics/btag209,pubmed,GR2ST: spatial transcriptomics prediction based on graph-enhanced multimodal contrastive learning.
NEW,No match found,137,semantic_scholar,Decoding Single-Cell Omics of Perturbation Responses Using DeSCOPE,10.64898/2026.04.13.718147,,
NEW,No match found,138,semantic_scholar,"Back to BERT in 2026: ModernGENA as a Strong, Efficient Baseline for DNA Foundation Models",10.64898/2026.04.21.719816,,
MERGE,DOI match: 10.3390/ijms27104436,16,semantic_scholar,Toward a Molecular Reclassification of Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Integrati,10.3390/ijms27104436,pubmed,Toward a Molecular Reclassification of Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Integrati
NEW,No match found,139,semantic_scholar,Artificial intelligence–based predictive models for recurrence and recurrence-free survival in gastr,10.1200/jco.2026.44.16_suppl.11536,,
NEW,No match found,140,semantic_scholar,Multimodal immunoprofiling of peripheral blood using foundation models of the immune system for pred,10.1200/jco.2026.44.16_suppl.2533,,
NEW,No match found,141,semantic_scholar,A Systematic Literature Review of Generative AI Approaches for Synthetic Clinical Data Generation: B,10.5220/0014769700004070,,
NEW,No match found,142,semantic_scholar,Estimating individual benefit from adjuvant chemotherapy in hormone receptor–positive breast cancer ,10.1200/jco.2026.44.16_suppl.551,,
NEW,No match found,143,semantic_scholar,"Enhanced Multimodal Transformer for Treatment-Resistant Depression Prediction Using Synthetic fMRI, ",10.4236/oalib.1114447,,
NEW,No match found,144,semantic_scholar,Intervention-Aware Multiscale Representation Learning from Imaging Phenomics and Perturbation Transc,,,
NEW,No match found,145,semantic_scholar,Mechanism-Aware Prediction of Tissue-Specific Drug Activity via Multi-Modal Biological Graphs,,,
NEW,No match found,146,semantic_scholar,An LLM-driven pipeline for proteomics-based detection and structural modeling of post-translational ,10.64898/2026.05.01.722279,,
NEW,No match found,147,semantic_scholar,Genetically Aligned Patient Representations Improve Hematological Diagnosis,,,
NEW,No match found,148,semantic_scholar,STEM-LM: Spatio-Temporal Ecological Modeling via Masked Language Model for Joint Species Distributio,10.64898/2026.05.13.724718,,
MERGE,DOI match: 10.3390/agronomy16101019,76,semantic_scholar,Integrating Envirotyping and Phenomics for AI-Enabled Multi-Environment Genomic Prediction in Crop B,10.3390/agronomy16101019,scopus,Integrating Envirotyping and Phenomics for AI-Enabled Multi-Environment Genomic Prediction in Crop B
NEW,No match found,149,semantic_scholar,CodonMoE: DNA language models for codon-dependent mRNA prediction,10.1093/bioinformatics/btag285,,
NEW,No match found,150,semantic_scholar,Evaluating Post-hoc Explanations of the Transformer-based Genome Language Model DNABERT-2,,,
NEW,No match found,151,semantic_scholar,Decoding Hierarchical Cell-Cell Communication in Spatial Multi-Omics with CellSTIC,10.64898/2026.05.27.728114,,
NEW,No match found,152,semantic_scholar,RVQ-Alpha: Bridging Single-Cell Transcriptomics and Large Language Models via Discrete Tokenization ,10.64898/2026.04.20.719773,,
NEW,No match found,153,semantic_scholar,Mapping histamine pathway networks in the human brain across cognition and psychiatric disorders,10.1038/s44220-026-00637-1,,
NEW,No match found,154,semantic_scholar,Multi-Modal Deep Learning Integrates Spatial Topologies and Sequential Motifs to Identify Class I HD,10.64898/2026.04.22.720196,,
NEW,No match found,155,semantic_scholar,Synergizing multi-omics and artificial intelligence to unravel gut microbiome complexity: A review,10.36922/imo025490068,,
NEW,No match found,156,semantic_scholar,Construction of deep learning tumor prognosis risk assessment model based on genomic and clinical da,10.65102/is2026227,,
