record_id,title,doi,final_decision,final_code,uncertainty_reason,final_source,final_rationale,evidence_snippet,scope_primary_exclusion_code,scope_uncertainty_reason,architecture_primary_exclusion_code,architecture_uncertainty_reason
rec_000013,HisCMCL: Cross-Modal Contrastive Learning with Hierarchical Multi-Scale Fusion for Spatial Expression Prediction.,10.1093/bioinformatics/btag342,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000014,"Generative artificial intelligence in animal genomics for smart agriculture: Applications, challenges, and future prospects.",10.1016/j.vas.2026.100702,EXCLUDE,review_editorial,foundation_model_evidence_unclear,adjudicator,"The abstract is explicitly a review of generative AI in animal genomics, discussing architectures and sequence design rather than reporting a new model. It supports bio/text bridging at the conceptual level, but does not identify a specific foundation model.","""This review focuses on the shift from predictive to generative modelling paradigms"" and ""biological sequence design""",review_editorial,none,review_editorial,none
rec_000015,KRAS,10.1186/s11658-026-00947-3,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000016,AI-driven insights into protein misfolding and innate immunity in neurodegenerative diseases.,10.3389/fimmu.2026.1814357,EXCLUDE,review_editorial,mixed_signals,adjudicator,"This is a review of AI applications in neurodegenerative disease, not an original text-bio model paper. It discusses existing tools such as AlphaFold and multimodal AI, but no specific generative foundation model is described.","""This article systematically reviews the latest applications of artificial intelligence""",review_editorial,none,review_editorial,none
rec_000017,"Toward a Molecular Reclassification of Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Integrating Multi-Omics, Machine Learning, and Precision Medicine.",10.3390/ijms27104436,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000018,"Pathology Foundation Models: Evolution, Current Landscape, Challenges and Opportunities from a Technical and Clinical Perspective.",10.3390/bioengineering13050577,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000019,Ligand-Receptor Interaction Combined with Histopathology Improves Glioma Prognostic Model.,10.3390/biomedicines14051110,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000020,Identifying batch-integrated domains from spatial transcriptomics via graph autoencoder with contrastive learning based on cross-modality and data augmentation.,10.1093/bib/bbag248,EXCLUDE,EC2_no_text_component,generative_status_unclear,adjudicator,"This is a primary spatial transcriptomics graph autoencoder with histology and gene-expression inputs. The abstract does not show a text/language component, so it falls outside the text-bio scope.","""spatial transcriptomics"" and ""graph contrastive autoencoder framework"" with ""histology information""",EC2_no_text_component,none,EC3_not_generative,generative_status_unclear
rec_000021,A fine-tuned genomic language model adds complementary nucleotide-context information to missense variant interpretation.,10.64898/2026.05.06.723362,INCLUDE,none,none,adjudicator,"The abstract explicitly describes a genomic language model, with multi-species pretraining and zero-shot use of the pretrained model. It directly links nucleotide-context modeling to variant interpretation.","""genomic language models""; ""multi-species pretraining""; ""zero-shot scoring from the same pretrained model""",none,none,EC3_not_generative,generative_status_unclear
rec_000022,From undruggable to degradable: A deep learning-enabled framework for precision orthopaedic protein degradation.,10.1016/j.jot.2026.101118,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000023,Modeling strategies for,10.1093/bioadv/vbag123,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000024,Semantic embedding of variant effect annotations enables rapid and accurate pathogenicity prediction with VUS.Life.,10.1038/s41598-026-54844-y,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000025,Multimodal data-driven prediction of postoperative recurrence and survival in hepatocellular carcinoma: a narrative review.,10.21037/jgo-2025-aw-848,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000026,A generative framework for predicting cellular morphological and transcriptomic perturbation responses.,10.1016/j.crmeth.2026.101459,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
rec_000027,Workflow for Fine-Tuning and Evaluating DNA Language Models for Specific Genomics Issues.,10.21769/BioProtoc.5676,EXCLUDE,application_wrapper,none,adjudicator,"The abstract presents a step-by-step protocol for preparing data, fine-tuning, and evaluating the existing DNABERT-2 model rather than a new model. This is a workflow around a pretrained DNA language model.","""step-by-step computational protocol"" for ""fine-tuning the official DNABERT-2 model""",application_wrapper,none,application_wrapper,generative_status_unclear
rec_000028,"Machine Learning in Nonischemic Cardiomyopathy: Phenotyping, Mechanism Discovery, and Clinical Applications.",10.1097/CRD.0000000000001281,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000029,Current trends and future directions of artificial intelligence in lung cancer diagnosis.,10.21147/j.issn.1000-9604.2026.02.03,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000030,"Artificial Intelligence in genomics: a comprehensive survey of methods, resources, challenges, and prospects.",10.1093/bib/bbag229,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000031,Multimodal interpretable deep learning for transcriptome-informed precision oncology and drug mechanism analysis.,10.1038/s41746-026-02735-x,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000032,Next-Generation Artificial Intelligence Strategies for Mechanistic Cancer Target Discovery and Drug Development: A State-of-the-Art Review.,10.3390/ijms27094028,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000033,"Artificial Intelligence-Enhanced Multiparametric MRI and VI-RADS in Bladder Cancer: Current Evidence, Clinical Opportunities and Barriers to Translation.",10.3390/cancers18091322,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000034,Machine learning empowers precise discovery of disease-resistance genes in plants.,10.1093/plphys/kiag276,UNCERTAIN,none,foundation_model_evidence_unclear,adjudicator,"The abstract proposes ESM-LRR and a downstream predictor for plant disease-resistance genes, so it is a primary bio-text model paper. However, the abstract does not explicitly establish broad foundation-model evidence beyond calling it a protein language model.","""ESM-LRR, a deep protein language model"" and ""We developed R-Predictor""",none,none,none,mixed_signals
rec_000035,Explainable deep learning approaches and clinical insights for cancer biomarker identification.,10.3389/fonc.2026.1810793,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000036,"Computational paradigms for antimicrobial resistance prediction: integrating multi-omics, structural modeling, and foundation artificial intelligence systems.",10.1093/bib/bbag219,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000037,iS2C2: a cointelligent platform for mechanistic discovery of disease cellular crosstalk.,10.1038/s41392-026-02691-8,EXCLUDE,application_wrapper,foundation_model_evidence_unclear,adjudicator,"The abstract describes a platform that uses LLMs to contextualize omics outputs and generate hypotheses, but it reads as an application built around existing models rather than a new foundational model. The abstract does not clearly show broad pretraining or other FM-style evidence for the platform itself.","""synergizes... computational algorithms with the contextual reasoning capabilities of LLMs"" to ""generate biologically interpretable hypotheses""",application_wrapper,none,application_wrapper,foundation_model_evidence_unclear
rec_000038,CT-TADB predicts TAD boundaries without Hi-C by integrating DNA sequences and epigenomic features.,10.1038/s41540-026-00734-y,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000039,Artificial intelligence in chronic kidney disease: Bibliometric and visual analysis of trends and future directions.,10.1177/20552076261446519,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000040,Cross-Species Plant Single-Cell Analysis: Community Challenges and Shared Solutions.,10.1093/jxb/erag218,EXCLUDE,benchmark_resource,none,adjudicator,"This is a workshop/community resource paper that reports priority challenges and introduces PlantSCHub, a portal aggregating protocols, datasets, and tutorials. It does not present a candidate generative text-bio model.","""we report outcomes from the 2025 Summer Workshop""; ""we established PlantSCHub, a community-curated web portal""",review_editorial,none,benchmark_resource,none
rec_000041,Single-cell data integration across weakly linked modalities.,10.1371/journal.pcbi.1014231,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000042,"Deep-learning-assisted simulation of a cortical circuit: integrating anatomy, physiology and function.",10.64898/2026.03.13.711751,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000043,Generative AI-assisted Bayesian-frequentist Hybrid Inference in Single-cell RNA Sequencing Analysis for Genes Associated with Alzheimer's Disease.,10.64898/2026.04.17.26351142,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000044,EvoRMD: integrating biological context and evolutionary RNA language models for interpretable prediction of RNA modifications.,10.1186/s13059-026-04097-9,EXCLUDE,EC3_not_generative,none,adjudicator,"EvoRMD is presented as a new framework that combines RNA language model embeddings with biological metadata for prediction. The abstract describes a predictive classifier, not a generative architecture.","""combines RNA language model embeddings with structured metadata""; ""A shared multiclass classifier produces context conditioned predictions""",none,none,application_wrapper,none
rec_000045,Spatial AI in cancer: mapping immune evasion topology through multi-modal omics and deep learning.,10.3389/fonc.2026.1762907,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000046,Enterocutaneous Fistula-Associated Sepsis and Mortality: Development and Validation of a Multimodal Artificial Intelligence Prediction Model.,10.2196/79985,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000047,Cell type annotation for scATAC-seq via DNA large language model and graph domain adaptation.,10.1371/journal.pcbi.1014226,EXCLUDE,EC3_not_generative,none,adjudicator,"scLLMDA is a new scATAC-seq annotation framework that uses a pretrained DNA language model plus graph domain adaptation. The abstract supports a downstream predictive system, not a generative model or FM-level paper.","""via DNA large language model and graph domain adaptation""; ""uses a pretrained DNA-specific language model""",none,none,application_wrapper,none
rec_000048,M-GNN: A Topology-Enhanced Multi-Modal Graph Neural Network for Cancer Driver Gene Prediction.,10.3390/metabo16040268,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000049,An Interpretable Omics-to-Image Transformer Framework for Cancer Prognosis Prediction.,10.34133/csbj.0069,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000050,GR2ST: spatial transcriptomics prediction based on graph-enhanced multimodal contrastive learning.,10.1093/bioinformatics/btag209,EXCLUDE,EC2_no_text_component,none,adjudicator,GR2ST is a spatial transcriptomics prediction model that aligns histology images with gene expression. The abstract does not describe any text or language-model component.,"""predict spatial transcriptomics""; ""aligns histology images with gene expression representations""",EC2_no_text_component,none,EC3_not_generative,foundation_model_evidence_unclear
rec_000051,Adversarial validation of in silico perturbation profiles for intelligence-associated genes in human prefrontal cortex.,10.1016/j.compbiolchem.2026.109079,EXCLUDE,application_wrapper,none,adjudicator,"The paper develops an adversarial-validation framework and applies it to Geneformer and scGPT perturbation outputs. That is a validation wrapper around existing foundation-model claims, not a new text-bio model.","""developed a reproducible adversarial-validation framework""; ""applied it to... Geneformer-based in silico gene-deletion perturbations""",application_wrapper,none,EC3_not_generative,paper_type_unclear
rec_000052,Fusing imaging and metabolic modeling via multimodal deep learning in ovarian cancer.,10.1016/j.cels.2026.101594,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000053,A multimodal approach integrating NK cell-associated gene signatures and pathomics to predict colon adenocarcinoma prognosis.,10.1038/s41598-026-49584-y,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000054,Generalizable deep-learning-based mRNA-protein interaction prediction strongly depends on protein diversity.,10.1186/s13321-026-01197-3,EXCLUDE,benchmark_resource,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,benchmark_resource,none,benchmark_resource,none
rec_000055,Contrastive multimodal deep learning for survival prediction in grade 2/3 gliomas.,10.1093/jncics/pkag039,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000056,End-to-End Multimodal Multiple Instance Learning for Cancer Histopathology Classification with Dual-Attention Fusion.,10.1007/s10916-026-02379-0,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000057,Decoding immunotherapy response through computational modeling.,10.1038/s41467-026-71364-5,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000058,A deep learning-based digital biopsy for predicting early recurrence in gastric cancer.,10.1038/s41467-026-71347-6,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000059,A multimodal data-based model for breast cancer diagnosis,10.1016/j.cmpb.2026.109288,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000060,Rapid Proteome-Wide Discovery of Protein–Protein Interactions With ppIRIS,10.1002/advs.202521310,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000061,ProteomeLM: A proteome-scale language model enables accurate and rapid prediction of protein–protein interactions and gene essentiality across taxa,10.1073/pnas.2524201123,EXCLUDE,EC3_not_generative,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,none,none,EC3_not_generative,none
rec_000062,Integrating Envirotyping and Phenomics for AI-Enabled Multi-Environment Genomic Prediction in Crop Breeding,10.3390/agronomy16101019,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000063,SARS-CoV-2 Nsp1 suppresses the canonical NF-κB pathway by promoting ubiquitin-dependent degradation of TAK1 kinase,10.1371/journal.ppat.1014191,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000064,"Enhancing Drug Response Prediction in Epilepsy with Emerging Multimodal Models: Focus on Clinical, Pharmacologic, and Genomic Factors",10.1007/s40263-026-01295-8,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000065,Deep Learning-Based Prediction of Pathogenicity for ABL1 Protein Variants Using Sequence Representation,10.3233/SHTI260210,EXCLUDE,EC2_no_text_component,foundation_model_evidence_unclear,adjudicator,"The abstract is about amino-acid sequence-based pathogenicity prediction, not a text/bio model. It mentions Prot-BERT, but only as an evaluated sequence model, so foundation-model evidence is not decisive.",“using amino acid sequence representations” and “Prot-BERT were evaluated”,EC2_no_text_component,none,EC3_not_generative,foundation_model_evidence_unclear
rec_000066,A Review of Artificial Intelligence Applications in Baijiu Research: From Experience to Data,10.3390/fermentation12050233,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000067,Artificial Intelligence for Spatial Immunometabolic Analysis of the Tumor Microenvironment: Current Evidence and Future Directions,10.3390/cimb48050476,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000068,ac4C modification sites prediction in human mRNA: a complete review,10.1093/bib/bbag263,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000069,Prior-Guided Multi-Omic Transformers for Single-Cell Gene Regulatory Network Inference,10.1145/3770855.3818945,EXCLUDE,EC2_no_text_component,none,adjudicator,This is a multi-omic Transformer for GRN inference from transcriptomic and chromatin data. The abstract gives no textual or language component and no evidence of a foundation model.,“prior-guided multi-omic Transformer framework” for “paired single-cell transcriptomic and chromatin accessibility data”,EC2_no_text_component,none,EC3_not_generative,foundation_model_evidence_unclear
rec_000070,SMART: A Spectral Transfer Approach to Multi-Task Learning,,EXCLUDE,EC1_no_bio_modality,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC1_no_bio_modality,none,EC3_not_generative,none
rec_000071,Exploring artificial intelligence for variant calling: A comprehensive review of tools and approaches,10.30574/wjarr.2026.30.1.0877,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000072,miDGD: a multi-modal deep generative model predicts microRNA expression from bulk or single-cell mRNA expression,10.64898/2026.05.29.727918,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
rec_000073,A Multi-modal LLM-Knowledge Fusion Framework for Predicting Single-cell Genetic Perturbation Effects,10.64898/2026.04.24.720560,EXCLUDE,EC3_not_generative,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,none,none,EC3_not_generative,none
rec_000074,SRSA-VAE: Self-Attention-Based Feature Learning for Single-Cell Multimodal Clustering,10.64898/2026.05.06.723212,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
rec_000075,SpaMode: A Broadly Applicable Framework for Deciphering Spatial Multi‐Omics Using Multimodal Mixture of Disentangled Experts,10.1002/advs.75478,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000076,Privacy-Preserving Federated AI for Early CKD Detection and Progression Analysis,10.55041/ijcope.v2i5.461,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000077,Towards Label-Free Single-Cell Phenotyping Using Multi-Task Learning,,EXCLUDE,application_wrapper,none,adjudicator,"The core system performs image-based cell classification and protein-expression regression. The LLM is only used downstream to generate biologically grounded summaries, so this is wrapper-style use rather than a substantive text-bio model.",“jointly performs WBC classification and continuous protein-expression regression” and “incorporate a Large Language Model (LLM) that generates concise ... summaries”,application_wrapper,none,EC3_not_generative,mixed_signals
rec_000078,Benchmarking long-context genome language models on biosynthetic gene clusters,10.64898/2026.05.12.724296,EXCLUDE,benchmark_resource,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,benchmark_resource,none,benchmark_resource,none
rec_000079,Decoding cardiac homeostasis and injury: the evolving landscape of spatial transcriptomics,10.3389/fcell.2026.1772507,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000080,GATHER: Convergence-Centric Hyper-Entity Retrieval for Zero-Shot Cell-Type Annotation,10.1145/3805712.3809935,EXCLUDE,application_wrapper,none,adjudicator,"The method is a graph retriever for zero-shot cell-type annotation with a single LLM call per sample. That supports an application wrapper around external LLM reasoning, not a generative text-bio foundation model.",“with only a single LLM call per sample” and “selected evidence entirely without LLM involvement during retrieval”,application_wrapper,none,EC3_not_generative,none
rec_000081,"Artificial intelligence in cardio-oncology: decoding mechanisms, predicting toxicity, and personalizing cancer therapy",10.3389/fcvm.2026.1761811,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000082,3002-LB: Multimodal AI System to Infer the Progression of Type 1 Diabetes,10.2337/db26-3002-lb,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000083,Integrating Artificial Intelligence For Targeted Drug Delivery And Therapeutic Optimization,10.25258/ijddt.16.28s.64,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000084,The Dark Regulome: Disentangling Predictability from Regulation in Genomic Foundation Models,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000085,"Explainable Artificial Intelligence in Multimodal Malaria Prediction: A Systematic Review and Roadmap Integrating Climate Change, Parasite Genomics, and Public Health Decision Support",10.30871/jaic.v10i2.12347,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000086,"Foundations of Machine Learning and Its Applications in Healthcare: A Review of Methods, Clinical Impact, and Open Challenges",10.65021/mwsj.v2.i1.35,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
