record_id,candidate_id,source_corpus,title,status,section_count,missing_targets,rejected_full_document_sections,data_source_headings,input_representation_headings,data_source_chars,input_representation_chars,selected_full_text_sections_chars,provenance_unresolved,graph_summary
full_2026-07-06__rec_003227,full_2026-07-06__rec_003227,uncertain,CELLama: cell embedding leveraging language model abilities for analyzing cell types and spatial relationship in tumor,ok,1,,0,Sentence generation for each cell data and embedding using sentence transformer,,5996,0,6113,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_003227/screening_evidence_summary.json
full_2026-07-06__rec_003429,full_2026-07-06__rec_003429,include,BOTANIC-0: a series of foundation models for plant genomic data,ok,2,,0,"4 Methods > 4.1 Pre-training > 4.1.1 Offline data creation, splitting and processing","4 Methods > 4.1 Pre-training > 4.1.2 Online tokenization, data augmentation and masking",3306,992,4512,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_003429/screening_evidence_summary.json
full_2026-07-06__rec_003620,full_2026-07-06__rec_003620,uncertain,ST-Align: Multi-Scale Image-Gene Foundation Modeling for Spatial Transcriptomics via Spot-Niche Alignment,ok,2,,0,4 EXPERIMENTS AND RESULTS > 4.2 BASELINE METHODS AND EVALUATION METRICS,2 RELATED WORK > 2.3 IMAGE-GENE RESOURCES FOR SPATIAL TRANSCRIPTOMICS,799,933,1915,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_003620/screening_evidence_summary.json
july_update_2026-07-06__rec_000060,july_update_2026-07-06__rec_000060,include,CellTosg2Sequence: A Unified Text-Omics-Signaling-Graph Large Language Model for Single-Cell Analysis,ok,2,,0,1 Introduction,3 Methods > 3.1 Cell Sentence Representation and Prompt Format,3620,910,4649,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/july_update_2026-07-06__rec_000060/screening_evidence_summary.json
june_update_2026-06-10__rec_000092,june_update_2026-06-10__rec_000092,include,PlantGFM: A Genomic Foundation Model for Discovery and Creation of Plant Genes,ok,2,,0,PlantGFM: A Genomic Foundation Model for Discovery and Creation of Plant Genes > ABSTRACT,PlantGFM: A Genomic Foundation Model for Discovery and Creation of Plant Genes > 2 Results > 2.4 De Novo Gene Generation,1464,5588,7304,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/june_update_2026-06-10__rec_000092/screening_evidence_summary.json
full_2026-07-06__rec_000060,full_2026-07-06__rec_000060,include,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,ok,2,,0,Introduction,Task formulation and text prompts,5409,886,6383,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/full_2026-07-06__rec_000060/screening_evidence_summary.json
full_2026-07-06__rec_000619,full_2026-07-06__rec_000619,include,Large-scale multi-omic biosequence transformers for modeling protein–nucleic acid interactions,ok,2,,0,Large-scale multi-omic biosequence transformers for modeling protein-nucleic acid interactions > Abstract > Methods > Training data,Large-scale multi-omic biosequence transformers for modeling protein-nucleic acid interactions > Abstract > Methods > Architecture and training,1577,2647,4541,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/full_2026-07-06__rec_000619/screening_evidence_summary.json
full_2026-07-06__rec_001187,full_2026-07-06__rec_001187,uncertain,Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery,ok,2,,0,Results > Data collection and training,Methods > Data collection and processing,8910,4139,13170,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/full_2026-07-06__rec_001187/screening_evidence_summary.json
full_2026-07-06__rec_001218,full_2026-07-06__rec_001218,include,Any-to-Any Learning in Computational Pathology via Triplet Multimodal Pretraining,ok,2,,0,7 Conclusion,3 Method > 3.1 Problem Formulation,20425,1005,21519,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/full_2026-07-06__rec_001218/screening_evidence_summary.json
full_2026-07-06__rec_001534,full_2026-07-06__rec_001534,include,GENERator: A Long-Context Generative Genomic Foundation Model,ok,2,,0,4 Methods > 4.1 Data Preparation,4 Methods > 4.5 Variant Effect Prediction > 4.5.3 Cis-Regulatory Element Design,4046,4452,8652,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/full_2026-07-06__rec_001534/screening_evidence_summary.json
full_2026-07-06__rec_001761,full_2026-07-06__rec_001761,include,Generative design and construction of functional plasmids with a DNA language model,ok,2,,0,Generative design and construction of functional plasmids with a DNA language model > Methods > Dataset Curation > Sources and Scope,Generative design and construction of functional plasmids with a DNA language model > Methods > Sampling Procedure (Generation Focus) > Prompting Strategy,1468,1316,3113,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/full_2026-07-06__rec_001761/screening_evidence_summary.json
full_2026-07-06__rec_001881,full_2026-07-06__rec_001881,uncertain,"End-to-end multitask learning, from protein language to protein features without alignments",ok,2,,0,"End-to-end multitask learning, from protein language to protein features without alignments > Data","End-to-end multitask learning, from protein language to protein features without alignments > Deep biology multi-task learning (DBMTL)",5757,3290,9322,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/full_2026-07-06__rec_001881/screening_evidence_summary.json
full_2026-07-06__rec_002483,full_2026-07-06__rec_002483,include,Generative single-cell transcriptomics via large language models,ok,1,,0,Data curation and preprocessing,,1007,0,1076,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/full_2026-07-06__rec_002483/screening_evidence_summary.json
full_2026-07-06__rec_003072,full_2026-07-06__rec_003072,uncertain,Pre-training of single-cell language models through genetic pathway learning,ok,2,,0,5. Conclusion > References > C. Dataset Description,5. Conclusion > References > Algorithm 2 Permutation-Invariant Embedding,229,397,792,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/full_2026-07-06__rec_003072/screening_evidence_summary.json
full_2026-07-06__rec_003083,full_2026-07-06__rec_003083,include,scWGBS-GPT: a foundation model for capturing long-range CPG dependencies in single-cell whole-genome bisulfite sequencing to enhance epigenetic analysis,ok,2,,0,2 Results > 2.5 Reference-Free Deconvolution of Heterogeneous Bulk DNA Methylation Profiles by scDNAm-GPT,2 Results > 2.1 The overview of scDNAm-GPT,5085,7485,12760,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/full_2026-07-06__rec_003083/screening_evidence_summary.json
full_2026-07-06__rec_003466,full_2026-07-06__rec_003466,include,ELISA: An Interpretable Hybrid Generative AI Agent for Expression-Grounded Discovery in Single-Cell Genomics,ok,2,,0,2 Materials and Methods > 2.1 Datasets,2 Materials and Methods > 2.2 System architecture,580,541,1251,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/full_2026-07-06__rec_003466/screening_evidence_summary.json
full_2026-07-06__rec_003627,full_2026-07-06__rec_003627,uncertain,Towards Spatial Transcriptomics-driven Pathology Foundation Models,ok,2,,0,Towards Spatial Transcriptomics-driven Pathology Foundation Models > Online Methods > Datasets & Processing,Towards Spatial Transcriptomics-driven Pathology Foundation Models > Results,5888,30114,36228,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/full_2026-07-06__rec_003627/screening_evidence_summary.json
july_update_2026-07-06__rec_000073,july_update_2026-07-06__rec_000073,include,Generating antimicrobial peptides via genomic transfer learning,ok,2,,0,Generating antimicrobial peptides via genomic transfer learning > II. METHODS > B. Generative Model > 6. AMPSphere-pre-trained GPT,Generating antimicrobial peptides via genomic transfer learning > II. METHODS > B. Generative Model > 2. Shared Training Implementation,1102,1178,2588,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/july_update_2026-07-06__rec_000073/screening_evidence_summary.json
june_update_2026-06-10__rec_000118,june_update_2026-06-10__rec_000118,include,CodonMoE: DNA language models for codon-dependent mRNA prediction,ok,2,,0,A Technical appendices and supplementary material > A.7 Additional introduction of DNA backbones > A.7.5 HyenaDNA,3 Methodology,1305,6923,8397,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_01/june_update_2026-06-10__rec_000118/screening_evidence_summary.json
full_2026-07-06__rec_000063,full_2026-07-06__rec_000063,include,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,ok,1,,0,TISSUENARRATOR: Generative Modeling of Spatial Transcriptomics with Large Language Models > Results > Overview of generative modeling in TISSUENARRATOR,,2935,0,3124,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_000063/screening_evidence_summary.json
full_2026-07-06__rec_000626,full_2026-07-06__rec_000626,include,Probing genomic language models: Nucleotide Generative Pretrained Transformer and the role of pretraining in learned representations,ok,2,,0,Probing genomic language models: Nucleotide Generative Pretrained Transformer and the role of pretraining in learned representations > Methods > Datasets,Probing genomic language models: Nucleotide Generative Pretrained Transformer and the role of pretraining in learned representations > Results,2497,38815,41650,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_000626/screening_evidence_summary.json
full_2026-07-06__rec_001200,full_2026-07-06__rec_001200,uncertain,Systematic discovery of single-cell protein networks in cancer with Shusi,ok,2,,0,Data collection and preprocessing > Single-cell RNA sequencing of cancer cell lines,Model Framework > Feature Extraction Module,678,993,1840,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_001200/screening_evidence_summary.json
full_2026-07-06__rec_001289,full_2026-07-06__rec_001289,include,scGPT: Towards Building a Foundation Model for Single-Cell Multi-omics Using Generative AI,ok,2,,0,1 Reference mapping,11 Comparison to existing approaches,4745,4865,9708,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_001289/screening_evidence_summary.json
full_2026-07-06__rec_001617,full_2026-07-06__rec_001617,include,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning,ok,2,,0,3 CellPuzzles : Batch-Level Reasoning for Cell Type Annotation,5 Experiments > 5.1 Configuration,2711,1091,3940,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_001617/screening_evidence_summary.json
full_2026-07-06__rec_001773,full_2026-07-06__rec_001773,include,Omni-DNA: A Unified Genomic Foundation Model for Cross-Modal and Multi-Task Learning,ok,2,,0,7. Conclusion > References > F. Functional Annotation Generation,3. Approach > 3.2. Cross-modal Multi-task Finetuning > Algorithm 1 Cross-modal Multi-task Finetuning,1226,3865,5298,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_001773/screening_evidence_summary.json
full_2026-07-06__rec_001897,full_2026-07-06__rec_001897,uncertain,CodonMoE: DNA Language Models for mRNA Analyses,ok,2,,0,3 Methodology > 3.2 CodonMoE is a universal approximator at the codon level,3 Methodology,2827,6923,9881,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_001897/screening_evidence_summary.json
full_2026-07-06__rec_002496,full_2026-07-06__rec_002496,include,scGPT: toward building a foundation model for single-cell multi-omics using generative AI,ok,2,,0,4 Influence of pre-training data size,12 Evaluation Metric Calculations > Supplementary Figures,2664,8551,11352,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_002496/screening_evidence_summary.json
full_2026-07-06__rec_003087,full_2026-07-06__rec_003087,include,scKEPLM: Knowledge enhanced large-scale pre-trained language model for single-cell transcriptomics,ok,2,,0,3 Methods > 3.1 scKEPLM architecture and pretraining > 3.1.1 Knowledge construction and representation,3 Methods > 3.1 scKEPLM architecture and pretraining > 3.1.2 Sequence encoder and knowledge encoder,3461,1154,4859,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_003087/screening_evidence_summary.json
full_2026-07-06__rec_003090,full_2026-07-06__rec_003090,uncertain,OKR-Cell: Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training,ok,2,,0,4 Methods > 4.2 Training Data Curation > 4.2.1 LLM-enriched Textual Corpus Curation,4 Methods > 4.2 Training Data Curation > 4.2.1 LLM-enriched Textual Corpus Curation > (3) RAG enhanced Textual Descriptions Generation.,4083,2359,6703,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_003090/screening_evidence_summary.json
full_2026-07-06__rec_003258,full_2026-07-06__rec_003258,uncertain,Foundation model for biomedical graphs: Integrating knowledge graphs and protein structures to large language models,ok,2,,0,Foundation Model for Biomedical Graphs: Integrating Knowledge Graphs and Protein Structures to Large Language Models > Abstract,2.3 Sequence Encoder,1029,427,1646,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_003258/screening_evidence_summary.json
full_2026-07-06__rec_003509,full_2026-07-06__rec_003509,include,Poisoning the Genome: Targeted Backdoor Attacks on DNA Foundation Models,ok,1,,0,3 Methods > 3.2 Backdoor installation during fine-tuning > Data and poisoning protocol,,1835,0,1959,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_003509/screening_evidence_summary.json
full_2026-07-06__rec_003644,full_2026-07-06__rec_003644,uncertain,Toward a universal foundation model for graph-structured data,ok,2,,0,4 Methods > 4.5 Pretraining protocol,4 Methods > 4.2 Structural prompt construction,931,1804,2860,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/full_2026-07-06__rec_003644/screening_evidence_summary.json
july_update_2026-07-06__rec_000074,july_update_2026-07-06__rec_000074,include,CellOS: Learning a World Model of Cellular State through Joint Embedding Prediction,ok,2,,0,3 Methodology > 3.1 Overview of CellOS,3 Methodology > 3.3 Expression View: Expression-ranked Cell Sentences,2771,1679,4600,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/july_update_2026-07-06__rec_000074/screening_evidence_summary.json
june_update_2026-06-10__rec_000121,june_update_2026-06-10__rec_000121,include,RVQ-Alpha: Bridging Single-Cell Transcriptomics and Large Language Models via Discrete Tokenization and Verifiable Reinforcement Learning,ok,2,,0,4 Experimental Setup > 4.3 Datasets,3 Method > 3.4 Multi-Stage Training Pipeline > Stage 1: Continued Pretraining,3592,1302,5049,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_02/june_update_2026-06-10__rec_000121/screening_evidence_summary.json
full_2026-07-06__rec_000086,full_2026-07-06__rec_000086,include,ProCyon: A multimodal foundation model for protein phenotypes.,ok,2,,0,PROCYON model architecture > PROCYON-INSTRUCT dataset with 33 million protein-phenotype instructions,Main,3094,5837,9078,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/full_2026-07-06__rec_000086/screening_evidence_summary.json
full_2026-07-06__rec_000709,full_2026-07-06__rec_000709,include,Protein-nucleic acid language model-assisted design of precise and compact adenine base editor,ok,2,,0,ARTICLE IN PRESS > Fig.  1:  The  construction  of  the  Protein-Nucleic  Acid  constrained Language Model,ARTICLE IN PRESS,857,6160,7182,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/full_2026-07-06__rec_000709/screening_evidence_summary.json
full_2026-07-06__rec_001277,full_2026-07-06__rec_001277,uncertain,WITHDRAWN: OKR-Cell: Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training,ok,2,,0,2 Results > 2.1 Method Overview > 2.1.2 Pre-training Objective and Pipeline,4 Methods > 4.1 Single-cell RNA-seq encoder > 4.1.2 Model Architecture and Inference,1654,2240,4096,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/full_2026-07-06__rec_001277/screening_evidence_summary.json
full_2026-07-06__rec_001291,full_2026-07-06__rec_001291,include,Unsupervised Whole-Genome Representation Learning Captures Bacterial Phenotypes,ok,2,,0,2 METHODS > 2.3 K-NEAREST NEIGHBOURS BACDIVE PHENOTYPE PREDICTION > 2.3.1 DOWNLOADING DATA AND CHOOSING PHENOTYPES TO PREDICT,2 METHODS > 2.1 DATASET CREATION,1146,3725,5071,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/full_2026-07-06__rec_001291/screening_evidence_summary.json
full_2026-07-06__rec_001618,full_2026-07-06__rec_001618,include,A foundational model for joint sequence-function multi-species modeling at scale for long-range genomic prediction,ok,2,,0,2. Results > 2.1. Pre-training NTv3 on genomic sequences up to 1 million nucleotides spanning all domains of life,4. Methods > 4.2 Pre-training on Genomes > 4.10.1. Interpretability Methods,7841,7304,15376,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/full_2026-07-06__rec_001618/screening_evidence_summary.json
full_2026-07-06__rec_001838,full_2026-07-06__rec_001838,include,Cell2Text: Multimodal LLM for Generating Single-Cell Descriptions from RNA-Seq Data,ok,2,,0,A DATASET CONSTRUCTION DETAILS > A.2 PATHWAY ACTIVITY ANALYSIS,3 METHODOLOGY,1187,8782,10087,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/full_2026-07-06__rec_001838/screening_evidence_summary.json
full_2026-07-06__rec_001935,full_2026-07-06__rec_001935,uncertain,dnaGrinder: a lightweight and high-capacity genomic foundation model,ok,2,,0,7 Conclusion,2 Methods > 2.1 Model,15665,12835,28576,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/full_2026-07-06__rec_001935/screening_evidence_summary.json
full_2026-07-06__rec_002511,full_2026-07-06__rec_002511,include,Generative pretraining from large-scale transcriptomes: Implications for single-cell deciphering and clinical translation,ok,1,,0,Abstract,,1167,0,1213,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/full_2026-07-06__rec_002511/screening_evidence_summary.json
full_2026-07-06__rec_003091,full_2026-07-06__rec_003091,uncertain,Tabula: A Tabular Self-Supervised Foundation Model for Single-Cell Transcriptomics,ok,1,,0,TABULA: A Tabular Self-Supervised Foundation Model for Single-Cell Transcriptomics > 3.2 TABULA Model Architecture,,9245,0,9397,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/full_2026-07-06__rec_003091/screening_evidence_summary.json
full_2026-07-06__rec_003121,full_2026-07-06__rec_003121,include,A long range foundation model for zero-shot predictions in single-cell and spatial transcriptomics data,ok,1,,0,5 DISCUSSION AND CONCLUSIONS > A DATASETS,,3793,0,3872,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/full_2026-07-06__rec_003121/screening_evidence_summary.json
full_2026-07-06__rec_003514,full_2026-07-06__rec_003514,include,Designing mRNA coding sequence via multimodal reverse translation language modeling with Pro2RNA,ok,2,,0,Dataset collection and curation,Model architecture,1027,292,1411,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/full_2026-07-06__rec_003514/screening_evidence_summary.json
full_2026-07-06__rec_003649,full_2026-07-06__rec_003649,uncertain,HitAnno: Atlas-level cell type annotation based on scATAC-seq data via a hierarchical language model,ok,2,,0,HitAnno: Atlas-level cell type annotation based on scATACseq data via a hierarchical language model > Results > HitAnno supports scalable atlas-level training and annotation,HitAnno: Atlas-level cell type annotation based on scATACseq data via a hierarchical language model > Discussion > Methods 387 > Model architecture of HitAnno,6089,5884,12347,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/full_2026-07-06__rec_003649/screening_evidence_summary.json
july_update_2026-07-06__rec_000085,july_update_2026-07-06__rec_000085,include,DNA Language Models: An Assessment of Pre-Training for Fine-Tuning Tasks,ok,2,,0,3 Training Scheme > 3.1 Pre-Training dataset,3 Training Scheme > 3.2 Masked Language Modelling,603,1496,2235,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/july_update_2026-07-06__rec_000085/screening_evidence_summary.json
june_update_2026-06-10__rec_000133,june_update_2026-06-10__rec_000133,include,GenNA: Conditional generation of nucleotide sequences guided by natural-language annotations,ok,2,,0,GenNA: Conditional generation of nucleotide sequences guided by natural-language annotations > Results > Architecture and pretraining of the GenNA foundation model,GenNA: Conditional generation of nucleotide sequences guided by natural-language annotations > Methods > Sequence-function semantic consistency evaluation 441,3134,5967,9465,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_03/june_update_2026-06-10__rec_000133/screening_evidence_summary.json
full_2026-07-06__rec_000031,full_2026-07-06__rec_000031,uncertain,CLAMP: predicting specific protein-mediated chromatin loops in diverse species with a chromatin accessibility language model.,ok,2,,0,CLAMP: predicting specific protein-mediated chromatin loops in diverse species with a chromatin accessibility language model > Methods > Data collection and preprocessing > Pre-training dataset,CLAMP: predicting specific protein-mediated chromatin loops in diverse species with a chromatin accessibility language model > Results > Overview of CLAMP,874,3169,4433,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_000031/screening_evidence_summary.json
full_2026-07-06__rec_000090,full_2026-07-06__rec_000090,include,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,ok,2,,0,4 Methods > 4.4 C2S-Scale architecture and pretraining > 4.4.5 Training Setup,4 Methods > 4.3 Multi-Task Dataset Creation,4354,2789,7306,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_000090/screening_evidence_summary.json
full_2026-07-06__rec_000771,full_2026-07-06__rec_000771,include,"A multimodal conversational agent for DNA, RNA and protein tasks",ok,2,,0,"A multimodal conversational agent for DNA, RNA and protein tasks > Methods > Genomics instructions datasets","A multimodal conversational agent for DNA, RNA and protein tasks > Results > Transforming DNA foundation models into conversational agents with ChatNT",3284,6552,10136,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_000771/screening_evidence_summary.json
