record_id,title,model_id,model_name,route_id,route_label,current_carrier_family,current_carrier_subtype,current_evidence_quote,current_section_heading,overall_sufficiency,recommended_action,field_issues,unsupported_assertions,concise_rationale,confidence
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,PROCYON,route_7b76d04a0605,UniProt,text_native_token_stream,serialized_biological_context_or_ordered_profile,UniProt,Discussion,partial,revise_fields,carrier_family_and_subtype=partially_supported | insertion_or_fusion=partially_supported,The serialized-profile subtype is inferred rather than explicit. | The route-specific insertion mechanism is not isolated.,"The source domain is explicit, but the carrier subtype and fusion details are only partially grounded.",medium
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,ProCyon,route_7d3bbc8ca354,Drugbank Transporter,discrete_biological_symbol_stream,native_biological_token_stream,Drugbank Transporter,Discussion,insufficient,manual_full_text_review,lifecycle_phase=unsupported | source_object=unsupported | model_visible_form=unsupported | carrier_family_and_subtype=unsupported | fusion_topology=unclear | input_status=unclear,A peptide-specific Drugbank Transporter route is not established in the document. | The exact model input composition is not grounded.,"The label exists in the paper, but the evaluation-time peptide coding is not supported.",low
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,PROCYON,route_935a12c569e2,OMIM,text_native_token_stream,serialized_biological_context_or_ordered_profile,OMIM,Discussion,partial,revise_fields,carrier_family_and_subtype=partially_supported | insertion_or_fusion=partially_supported,The serialized-profile subtype is inferred rather than explicit. | The route-specific insertion mechanism is not isolated.,"The source domain is explicit, but the carrier subtype and route-level insertion details are over-specified.",medium
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,ProCyon,route_ba110b719918,GtoP,discrete_biological_symbol_stream,native_biological_token_stream,GtoP,Discussion,insufficient,manual_full_text_review,lifecycle_phase=unsupported | source_object=unsupported | model_visible_form=unsupported | carrier_family_and_subtype=unsupported | fusion_topology=unclear | input_status=unclear,A peptide-specific GtoP route is not established in the document. | The exact model input composition is not grounded.,"The label exists in the paper, but the evaluation-time peptide coding is not supported.",low
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,PROCYON,route_e03e955f25bb,interaction,text_native_token_stream,structured_biological_prompt_or_task_scaffold,"interaction , covering protein-protein and protein-peptide interactions",PROCYON-INSTRUCT dataset with 33 million protein-phenotype instructions,partial,revise_fields,carrier_family_and_subtype=partially_supported,The carrier subtype is more specific than the paper warrants.,"The interaction-domain fine-tuning route is grounded, but the carrier subtype is slightly over-specified.",medium
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,PROCYON,route_f42fa0ac09e5,therapeutics,text_native_token_stream,structured_biological_prompt_or_task_scaffold,"therapeutics , covering protein-drug associations",PROCYON-INSTRUCT dataset with 33 million protein-phenotype instructions,partial,revise_fields,carrier_family_and_subtype=partially_supported,The carrier subtype is more specific than the paper warrants.,"The therapeutics fine-tuning route is grounded, but the carrier subtype is over-specified relative to the paper.",medium
full_2026-07-06__rec_000950,Illuminating protein space with a programmable generative model,model_efc702564a41,Chroma,route_ccd3934eda3c,fold class conditioning,geometric_or_diffusion_state_carrier,symbolic_structural_constraint,"protein semantics, such as secondary structure, fold class",Programmability,partial,revise_fields,carrier_family_and_subtype=partially_supported,carrier_family_and_subtype = geometric_or_diffusion_state_carrier,"The paper clearly supports fold-class semantic conditioning at inference time via classifier-guided sampling conditioners, but the coded carrier family overstates the representation mechanism; the supported mechanism is a symbolic structural constraint rather than a geometric or diffusion-state carrier.",high
full_2026-07-06__rec_001074,BIOREASON: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,model_0e0c28b60ee7,BIOREASON,route_0bb6ee8832aa,BIOREASON PFN1 case study question route,text_native_token_stream,plain_language_prompt_or_question,consider its analysis of a PFN1 allele on chromosome 17 within the pathway Actin(monomeric) // PFN1* // Actin(filamentous).,5.5 Case Study,partial,revise_fields,fusion_topology=unsupported,fusion_topology = tokenizer_sequence,"The route is real and the prompt-level text fields are well grounded, but the exact fusion topology is overstated: the paper supports a text prompt integrated into BIOREASON, not the specific label 'tokenizer_sequence' for this case study route.",high
full_2026-07-06__rec_001187,Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery,model_860d9511b312,P3GPT,route_6ef939c09098,GO-term binary classifiers on P3GPT gene embeddings,dense_continuous_carrier,pooled_or_aggregated_embedding,"Ying, K. et al. ClockBase: a comprehensive platform for biological age profiling in human and mouse. 2023.02.28.530532 Preprint at https://doi.org/10.1101/2023.02.28.530532 (2023).",Results > P3GPT entities are associated with biological processes,partial,revise_fields,carrier_family_and_subtype=partially_supported,pooled_or_aggregated_embedding,"The paper fully supports the embedding-to-GO-classifier evaluation route, but not the pooled/aggregated subtype. Retain the route with a field revision on carrier subtype.",high
full_2026-07-06__rec_001343,A General Single-Cell Analysis Framework via Conditional Diffusion Generative Models,model_2a4d0a37a0ad,scDiff,route_c88dc1223aa2,cell type deconvolution,dense_continuous_carrier,direct_projected_embedding,"This task typically requires some external reference, in most cases using annotated scRNA-seq data as a reference",D FURTHER DETAILS OF SINGLE-CELL TASKS,partial,revise_fields,lifecycle_phase=unsupported | model_visible_form=unsupported | carrier_family_and_subtype=unsupported | insertion_or_fusion=partially_supported | fusion_topology=unsupported | input_status=unsupported,lifecycle_phase = evaluation | model_visible_form = mixed-cell spatial transcriptomics data | carrier_family_and_subtype = dense_continuous_carrier / direct_projected_embedding | fusion_topology = side_or_generative_conditioning | input_status = actual_model_input,"The appendix clearly defines deconvolution and its external reference, but scDiff does not evaluate this route and the carrier/fusion specifics are not established, so the route needs field revision rather than full retention.",high
full_2026-07-06__rec_001343,A General Single-Cell Analysis Framework via Conditional Diffusion Generative Models,model_2a4d0a37a0ad,scDiff,route_fe676aa8da45,modality prediction,dense_continuous_carrier,direct_projected_embedding,Modality prediction aims to estimate expression levels of target modality from the input modality.,D FURTHER DETAILS OF SINGLE-CELL TASKS,partial,revise_fields,lifecycle_phase=unsupported | carrier_family_and_subtype=partially_supported,lifecycle_phase = evaluation | carrier_family_and_subtype = dense_continuous_carrier / direct_projected_embedding,"The modality-prediction formulation is explicit and the concatenation route is grounded, but the evaluation claim and the narrow carrier subtype are overcommitted.",high
full_2026-07-06__rec_001381,Language-Enhanced Representation Learning for Single-Cell Transcriptomics,model_ffaa8b52273c,scMMGPT,route_0e7af367b8f6,scMMGPT batch correction and clustering,dense_continuous_carrier,direct_projected_embedding,"Batch Effect Correction and Cell Clustering (§4.1.2). These tasks evaluate the quality of cell representations derived from the model. Specifically, we leverage the fully pre-trained scLLM ( i.e., scGPT) from both stages for zero-shot cell feature extraction. Formally, given a set of cells { x ( i ) } , we obtain their representations as c ( i ) = scGPT ( x ( i ) ) , which are then utilized for clustering.",3.4 Adapting scMMGPT to Downstream Tasks,partial,revise_fields,,"""fusion_topology"": ""shared_latent_alignment""","The downstream embedding-extraction route is grounded, but the coded topology overreaches: the paper describes direct feature extraction for clustering, not shared-latent fusion.",high
full_2026-07-06__rec_001381,Language-Enhanced Representation Learning for Single-Cell Transcriptomics,model_58c5ce11b66a,scGPT,route_18f47c655714,scGPT cell representation learning,discrete_biological_symbol_stream,multi_track_structural_symbol_stream,"Each cell is represented as a vector derived from the raw count matrix X ∈ N N × M , where X ij denotes the expression level of gene j in cell i . Since absolute gene expression values can vary across measurement platforms, we apply row-wise normalization before feeding into the model:",3.2 Cell Representation Learning & Language Generation with Pre-Trained Models,partial,revise_fields,model_visible_form=unsupported | carrier_family_and_subtype=partially_supported,"""model_visible_form"": ""raw count matrix X ∈ N N × M"" | ""carrier_subtype"": ""multi_track_structural_symbol_stream""","The paper clearly supports the pretraining route and preprocessing, but the visible carrier should be revised away from the raw count matrix; the carrier subtype is also overstated.",high
full_2026-07-06__rec_002327,OmniNA: A foundation model for nucleotide sequences,model_74758c50e662,OmniNA,route_9c4898db67f0,OmniNA saturation mutation scoring,text_native_token_stream,serialized_biological_context_or_ordered_profile,We quantify mutation effects using log-likelihood (LL) differences between mutated ( s mut ) and wild-type ( s WT ) nucleotide sequences,Saturation mutation analysis,partial,revise_fields,carrier_family_and_subtype=partially_supported | insertion_or_fusion=unsupported,carrier subtype as 'serialized_biological_context_or_ordered_profile' | insertion_or_fusion as an explicit insertion/fusion operation,"The mutation-scoring route is clearly present in the paper, but the carrier subtype is overstated and the fusion-related fields are not established.",high
full_2026-07-06__rec_002327,OmniNA: A foundation model for nucleotide sequences,model_74758c50e662,OmniNA,route_b382ae08863d,OmniNA mutation-effect prediction in distinct genomic contexts,text_native_token_stream,serialized_biological_context_or_ordered_profile,We defined the effect score of a mutation as the OmniNA-1.7B estimated LL between mutated and wild-type nucleotide sequences,Discriminating mutation effects in distinct genomic contexts with OmniNA,partial,revise_fields,carrier_family_and_subtype=partially_supported | insertion_or_fusion=unsupported,carrier subtype as 'serialized_biological_context_or_ordered_profile' | insertion_or_fusion as an explicit insertion/fusion operation,"The evaluation-time mutation-effect route is explicit, but the carrier subtype and fusion-related fields are not established by the paper.",high
full_2026-07-06__rec_003043,Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research,model_fa94e391fe47,Geneverse,route_c450584a8acc,gene function description training,text_native_token_stream,plain_language_prompt_or_question,generation of descriptions for gene functions,Abstract,partial,revise_fields,model_visible_form=unsupported | insertion_or_fusion=unsupported | fusion_topology=unsupported | text_role=partially_supported,model_visible_form = gene functional description data | insertion_or_fusion = finetuned LLMs | fusion_topology = tokenizer_sequence,"The paper supports a real text-native fine-tuning route for gene-function description generation, but the current coding overstates the model-visible carrier and adds an unsupported fusion topology. Retain the route with field revisions that separate source data from prompt text.",medium
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_3c62ea9d84a1,X-Cell-Ultra,route_2b4d0b79d9e9,D2 Stim8hr context route,text_native_token_stream,structured_biological_prompt_or_task_scaffold,D2 Stim8hr,"2.5 X-Cell-Ultra follows universal neural scaling laws, charting a path to further performance gains by increasing compute and data",partial,revise_fields,model_visible_form=unsupported | carrier_family_and_subtype=unsupported | insertion_or_fusion=unsupported | fusion_topology=unsupported | text_role=unsupported | input_status=unsupported,model_visible_form=D2 Stim8hr as the model-facing form | carrier_family=text_native_token_stream | carrier_subtype=structured_biological_prompt_or_task_scaffold | insertion_or_fusion=D2 Stim8hr as an insertion step | fusion_topology=tokenizer_sequence | text_role=metadata_or_context | input_status=actual_model_input,"The donor/context label is visible in Figure 5D, but the paper does not ground it as a serialized text carrier or insertion topology.",high
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_3c62ea9d84a1,X-Cell-Ultra,route_2f2691a4449a,D3 Stim48hr context route,dense_continuous_carrier,direct_projected_embedding,D3 Stim48hr,"2.5 X-Cell-Ultra follows universal neural scaling laws, charting a path to further performance gains by increasing compute and data",partial,revise_fields,model_visible_form=unsupported | carrier_family_and_subtype=unsupported | insertion_or_fusion=unsupported | fusion_topology=unsupported | text_role=unsupported | input_status=unsupported,model_visible_form=D3 Stim48hr as the model-facing form | carrier_family=text_native_token_stream | carrier_subtype=structured_biological_prompt_or_task_scaffold | insertion_or_fusion=D3 Stim48hr as an insertion step | fusion_topology=tokenizer_sequence | text_role=metadata_or_context | input_status=actual_model_input,"The context label is visible in Figure 5D, but the paper does not ground it as a serialized text carrier or insertion topology.",high
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_4361ad5c9fbb,X-Cell,route_35251c451da2,iPSC evaluation input,dense_continuous_carrier,direct_projected_embedding,"On the held-out iPSC-200 perturbations, X-Cell predictions progressively aligned with observed transcriptional responses",2.3 X-Cell generalizes perturbation effects across cellular contexts,partial,revise_fields,model_visible_form=partially_supported | fusion_topology=unclear,model_visible_form=cell-line transcriptome as the exact serialized model-facing form,"The held-out iPSC benchmark is explicit and the dense encoder is described, but the exact serialization wording is inferential rather than stated.",high
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_4361ad5c9fbb,X-Cell,route_4e7ca98b2c81,Melanocyte progenitor holdout route,text_native_token_stream,serialized_biological_context_or_ordered_profile,Perturbations targeting the melanocyte cell type were held out entirely based on cell type annotations from the iPSC Multi-Diff screen,4.1.7 Evaluation Datasets,partial,revise_fields,carrier_family_and_subtype=unsupported | insertion_or_fusion=unsupported | fusion_topology=unsupported,"The paper does not say the 1,341-gene holdout is serialized as ordinary text tokens. | The paper does not specify a route-level insertion/fusion mechanism for this held-out set.","The cell-type holdout is explicit, but the exact carrier mechanism for the gene list is not; that makes the representation fields only partially grounded.",high
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_4361ad5c9fbb,X-Cell,route_610bc0b9c6bb,Human primary T cells evaluation route,text_native_token_stream,serialized_biological_context_or_ordered_profile,"For each donor, we evaluated a subset of 291 key T cell activation regulators",4.1.7 Evaluation Datasets,partial,revise_fields,carrier_family_and_subtype=unsupported | insertion_or_fusion=unsupported | fusion_topology=unsupported,carrier_family=text_native_token_stream | carrier_subtype=serialized_biological_context_or_ordered_profile | insertion_or_fusion=We selected donors D2 and D3 for evaluation as fusion | fusion_topology=tokenizer_sequence,"The dataset description is supported, but the route overclaims a text-token carrier that the paper never describes.",high
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_3c62ea9d84a1,X-Cell-Ultra,route_8a01f73645e7,D3 Rest context route,text_native_token_stream,structured_biological_prompt_or_task_scaffold,D3 Rest,"2.5 X-Cell-Ultra follows universal neural scaling laws, charting a path to further performance gains by increasing compute and data",partial,revise_fields,model_visible_form=unsupported | carrier_family_and_subtype=unsupported | insertion_or_fusion=unsupported | fusion_topology=unsupported | text_role=unsupported | input_status=unsupported,model_visible_form=D3 Rest as the model-facing form | carrier_family=text_native_token_stream | carrier_subtype=structured_biological_prompt_or_task_scaffold | insertion_or_fusion=D3 Rest as an insertion step | fusion_topology=tokenizer_sequence | text_role=metadata_or_context | input_status=actual_model_input,"The evaluation context is explicit, but the paper does not ground it as the model-facing carrier or prompt structure.",high
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_3c62ea9d84a1,X-Cell-Ultra,route_a11110cf2aec,X-Cell-Ultra pretraining on X-Atlas/Pisces,text_native_token_stream,structured_biological_prompt_or_task_scaffold,X-Cell scales from 55M parameters (X-Cell) to 4.9B parameters (X-Cell-Ultra),2.2 X-Atlas captures conserved and context-dependent regulatory networks,partial,revise_fields,carrier_family_and_subtype=unsupported,carrier_family=text_native_token_stream | carrier_subtype=structured_biological_prompt_or_task_scaffold,"The scaling and conditioning story is grounded, but the carrier is not text-native; that field should be revised.",high
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_4361ad5c9fbb,X-Cell,route_af4e8d16f2af,K562 evaluation input,dense_continuous_carrier,direct_projected_embedding,"which introduces a distributional shift towards essential gene knockdowns across four cell lines (K562, RPE1, HepG2, and Jurkat)",2.3 X-Cell generalizes perturbation effects across cellular contexts,partial,revise_fields,model_visible_form=partially_supported | carrier_family_and_subtype=unsupported | insertion_or_fusion=unsupported | fusion_topology=unsupported,carrier_family=dense_continuous_carrier as direct_projected_embedding | insertion_or_fusion=fine-tuning the model on the Replogle-Nadig dataset as fusion | fusion_topology=unclear,"The dataset and K562 inclusion are grounded, but the carrier and fusion fields are over-specified beyond the paper.",high
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_3c62ea9d84a1,X-Cell-Ultra,route_cb00fd160f0d,D2 Rest context route,text_native_token_stream,structured_biological_prompt_or_task_scaffold,D2 Rest,"2.5 X-Cell-Ultra follows universal neural scaling laws, charting a path to further performance gains by increasing compute and data",partial,revise_fields,model_visible_form=unsupported | carrier_family_and_subtype=unsupported | insertion_or_fusion=unsupported | fusion_topology=unsupported | text_role=unsupported | input_status=unsupported,model_visible_form=D2 Rest as the model-facing form | carrier_family=text_native_token_stream | carrier_subtype=structured_biological_prompt_or_task_scaffold | insertion_or_fusion=D2 Rest as an insertion step | fusion_topology=tokenizer_sequence | text_role=metadata_or_context | input_status=actual_model_input,"The context label is visible, but the paper does not ground it as the model-facing carrier or prompt structure.",high
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_4361ad5c9fbb,X-Cell,route_d2c0253519a7,HEK293T evaluation input,dense_continuous_carrier,direct_projected_embedding,"X-Cell was continually pre-trained on the X-Atlas/Pisces perturbation corpus spanning four cell types (HCT116, HEK293T, HepG2, and iPSC),",2.3 X-Cell generalizes perturbation effects across cellular contexts,partial,revise_fields,model_visible_form=partially_supported | carrier_family_and_subtype=unsupported | insertion_or_fusion=unsupported | fusion_topology=unsupported,carrier_family=dense_continuous_carrier as direct_projected_embedding | insertion_or_fusion=continually pre-trained on the corpus as fusion | fusion_topology=unclear,"The pretraining corpus membership is grounded, but the route overstates the carrier mechanism and route-level fusion details.",high
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_3c62ea9d84a1,X-Cell-Ultra,route_e0fbfe069c31,D2 Stim48hr context route,dense_continuous_carrier,direct_projected_embedding,D2 Stim48hr,"2.5 X-Cell-Ultra follows universal neural scaling laws, charting a path to further performance gains by increasing compute and data",partial,revise_fields,model_visible_form=unsupported | carrier_family_and_subtype=unsupported | insertion_or_fusion=unsupported | fusion_topology=unsupported | text_role=unsupported | input_status=unsupported,model_visible_form=D2 Stim48hr as the model-facing form | carrier_family=text_native_token_stream | carrier_subtype=structured_biological_prompt_or_task_scaffold | insertion_or_fusion=D2 Stim48hr as an insertion step | fusion_topology=tokenizer_sequence | text_role=metadata_or_context | input_status=actual_model_input,"The evaluation context is explicit, but the paper does not establish it as a text-native model input.",high
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_3c62ea9d84a1,X-Cell-Ultra,route_f278942a47d6,D3 Stim8hr context route,text_native_token_stream,structured_biological_prompt_or_task_scaffold,D3 Stim8hr,"2.5 X-Cell-Ultra follows universal neural scaling laws, charting a path to further performance gains by increasing compute and data",partial,revise_fields,model_visible_form=unsupported | carrier_family_and_subtype=unsupported | insertion_or_fusion=unsupported | fusion_topology=unsupported | text_role=unsupported | input_status=unsupported,model_visible_form=D3 Stim8hr as the model-facing form | carrier_family=text_native_token_stream | carrier_subtype=structured_biological_prompt_or_task_scaffold | insertion_or_fusion=D3 Stim8hr as an insertion step | fusion_topology=tokenizer_sequence | text_role=metadata_or_context | input_status=actual_model_input,"The evaluation context is explicit, but the paper does not ground it as the model-facing carrier or prompt structure.",high
full_2026-07-06__rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,model_4361ad5c9fbb,X-Cell,route_f5893401e356,Tahoe subset evaluation route,text_native_token_stream,serialized_biological_context_or_ordered_profile,The remaining final subset has 50 cell lines and 12 drug perturbations.,4.1.7 Evaluation Datasets,partial,revise_fields,carrier_family_and_subtype=unsupported | insertion_or_fusion=unsupported | fusion_topology=unsupported,carrier_family=text_native_token_stream | carrier_subtype=serialized_biological_context_or_ordered_profile | insertion_or_fusion=We filtered the drug conditions as a fusion step | fusion_topology=tokenizer_sequence,"The Tahoe benchmark construction is explicit, but the route overstates text-native carrier mechanics that are not in the paper.",high
full_2026-07-06__rec_003629,Phenotype-Guided In Silico Molecular Generation Using Large Language Models,model_a2ae3a8f5414,GEMGen,route_1306d62b8271,KEAP1 CRISPR perturbation signature generation,text_native_token_stream,structured_biological_prompt_or_task_scaffold,"Among the compounds generated for the KEAP1 perturbation, 35.2% were present in the  L1000  dataset  ( Fig.  S7 ).  Leveraging  their  known  transcriptomic  profiles  from L1000,  we  evaluated  these  molecules  by  assessing  NRF2  downstream  gene induction  and  ranking  based  on  their  magnitude  of  induction. As  expected,  highscoring molecules (>0.6) ranked above random L1000 compounds ( Fig. 4f; Methods ), demonstrating  GEMGen's ability  to  recover  and  prioritize  phenotype-recapitulating molecules.",GEMGen identifies new KEAP1 inhibitors,partial,revise_fields,carrier_family_and_subtype=partially_supported | fusion_topology=partially_supported | text_role=unsupported,text_role = instruction_or_query,"The KEAP1 path is explicitly grounded as a transcriptomic-to-compound generation and validation route. The main overreach is the input role, and the carrier/topology coding should be narrowed to text-serialized phenotype conditioning.",high
full_2026-07-06__rec_003629,Phenotype-Guided In Silico Molecular Generation Using Large Language Models,model_14bc733e1633,compound-phenotype scoring model,route_221414b2ba08,Scoring-based prioritization of GEMGen-generated compounds,text_native_token_stream,structured_biological_prompt_or_task_scaffold,a compound-phenotype scoring model to prioritize GEMGen-generated molecules according to their likelihood of reproducing a given transcriptional signature.,Scoring-based prioritization of GEMGen-generated compounds,partial,revise_fields,carrier_family_and_subtype=partially_supported | fusion_topology=partially_supported | text_role=unsupported,text_role = paired_alignment_supervision,"The scorer route is explicitly described and evaluated, but the text-role tag is wrong and the carrier/topology labels should be narrowed because the paper gives prompt-response text plus a classification head, not the specific coded form.",high
july_update_2026-07-06__rec_000060,CellTosg2Sequence: A Unified Text-Omics-Signaling-Graph Large Language Model for Single-Cell Analysis,model_8b27781d1156,CellTosg2Sequence,route_1640cf949003,HCA test split cell sentence,text_native_token_stream,serialized_biological_context_or_ordered_profile,"Cells with h ≤ 7 go to train, h =8 to validation, and h =9 to test.",3.2.1 Single-cell expression corpus,partial,revise_fields,fusion_topology=unsupported,fusion_topology = tokenizer_sequence,"The HCA test route is real and materially grounded, but the coded fusion topology is not explicitly established in the paper.",high
july_update_2026-07-06__rec_000060,CellTosg2Sequence: A Unified Text-Omics-Signaling-Graph Large Language Model for Single-Cell Analysis,model_8b27781d1156,CellTosg2Sequence,route_55a22722eb6a,HCA validation split cell sentence,text_native_token_stream,serialized_biological_context_or_ordered_profile,h =8 to validation,3.2.1 Single-cell expression corpus,partial,revise_fields,fusion_topology=unsupported,fusion_topology = tokenizer_sequence,"The validation route is clearly grounded, but the claimed fusion topology is not directly supported by the paper.",high
